TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4PLUS_MATPTINC,TELIG_MATPTINC,KS1APS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_MATPTINC,READ_PROGSCORE_EM_ADJ_WGTAVG,READ_PROGSCORE_ADJ_UPPER,READ_PROGSCORE_ADJ_LOWER,WRIT_PROGSCORE_EM_ADJ_WGTAVG,WRIT_PROGSCORE_ADJ_UPPER,WRIT_PROGSCORE_ADJ_LOWER,MAT_PROGSCORE_EM_ADJ_WGTAVG,MAT_PROGSCORE_ADJ_UPPER,MAT_PROGSCORE_ADJ_LOWER,READ_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,READ_PROGSCORE_ADJ_UPPER_FSM6CLA1A,READ_PROGSCORE_ADJ_LOWER_FSM6CLA1A,WRIT_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,WRIT_PROGSCORE_ADJ_UPPER_FSM6CLA1A,WRIT_PROGSCORE_ADJ_LOWER_FSM6CLA1A,MAT_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,MAT_PROGSCORE_ADJ_UPPER_FSM6CLA1A,MAT_PROGSCORE_ADJ_LOWER_FSM6CLA1A,READ_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,READ_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,READ_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,WRIT_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,WRIT_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,WRIT_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,MAT_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,MAT_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,MAT_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,PRWM_EXP_WGTAVG,PRWM_EXP_WGTAVG_FSM6CLA1A,PRWM_EXP_WGTAVG_NOTFSM6CLA1A,READ_PROGSCORE_BANDING,WRIT_PROGSCORE_BANDING,MAT_PROGSCORE_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,TELIG_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202223,AcademicYear,Multi-academy trust,THE HOWARD PARTNERSHIP TRUST,3493,TR01121,7597068,10058685,South East,140348;141347;142999;143000;146264,5,5,2,3,0,0,5,284,7.7,SUPPMAT,SUPPMAT,17%,25%,0.7,1.4,-0.1,-1.4,-0.7,-2.1,0,0.8,-0.7,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,51%,SUPPMAT,SUPPMAT,Average,Below average,Average,140348;141347;142999;143000;146264,5,2,3,0,284,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,THE SPRING PARTNERSHIP TRUST,3496,TR00996,7656245,10058824,London,136920;140533;141117;141291;141613,5,5,4,1,0,0,5,275,7.9,30%,70%,10%,27%,-0.5,0.2,-1.3,-0.6,0.1,-1.4,-0.4,0.3,-1.1,-2.6,-1.3,-4,-1,0.4,-2.3,-3.3,-2,-4.6,0.4,1.4,-0.5,-0.5,0.4,-1.4,0.9,1.8,0,55%,31%,66%,Average,Average,Average,136920;140533;141117;141291;141613,5,4,1,0,275,30%,70%
202223,AcademicYear,Multi-academy trust,HULL COLLABORATIVE ACADEMY TRUST,3502,TR01126,8542806,10055359,Yorkshire and the Humber,139513;139525;139579;139799;139838;139848;139850;139886;140245;140830;141720;141933;142440;144471,14,14,10,4,0,0,14,721,7.6,43%,57%,18%,19%,0.9,1.3,0.4,1.9,2.3,1.4,1.2,1.7,0.8,0.7,1.4,0,1.2,1.8,0.5,0.5,1.1,-0.2,1,1.6,0.3,2.4,3,1.8,1.8,2.4,1.3,64%,54%,73%,Above average,Above average,Above average,139513;139525;139579;139799;139838;139848;139850;139886;140245;140830;141720;141933;142440;144471;148714,15,11,4,0,756,42%,58%
202223,AcademicYear,Multi-academy trust,INNOVATE MULTI ACADEMY TRUST,3527,TR02684,9071405,10060820,East Midlands,141073;141077;141079;141080,4,4,4,0,0,0,4,109,7.7,26%,74%,3%,18%,-1,0.2,-2.2,NELIG,NELIG,NELIG,-2.5,-1.4,-3.7,-1.6,0.9,-4.1,NELIG,NELIG,NELIG,-3.5,-1.2,-5.8,-0.8,0.6,-2.2,NELIG,NELIG,NELIG,-2.2,-0.9,-3.5,31%,19%,35%,Average,Well below average,Below average,141073;141077;141079;141080;149281;149282,6,6,0,0,141,22%,78%
202223,AcademicYear,Multi-academy trust,WADE DEACON TRUST,3528,TR01148,8278808,10060154,North West,141538;143878;144617;145613;146115,5,5,3,2,0,0,5,187,7.3,48%,52%,4%,28%,0.6,1.5,-0.3,1.2,2.1,0.3,-0.4,0.5,-1.2,0.4,1.8,-0.9,1.3,2.6,0,-0.1,1.1,-1.4,0.7,2,-0.6,1.1,2.3,-0.1,-0.6,0.6,-1.7,58%,48%,66%,Average,Above average,Average,141538;143878;144617;145613;146115,5,3,2,0,187,48%,52%
202223,AcademicYear,Multi-academy trust,INSPIRATION TRUST,3531,TR01149,8179349,10060032,East of England,138793;139929;141358;141359;142871,5,5,0,4,1,0,5,195,7.4,48%,52%,27%,16%,-0.2,0.7,-1.2,1.9,2.8,1,1.5,2.3,0.6,-0.2,1.1,-1.5,1.5,2.7,0.2,0.7,2,-0.5,-0.2,1.1,-1.6,2.3,3.6,1,2.2,3.5,0.9,65%,49%,78%,Average,Above average,Above average,138793;139929;141358;141359;142871,5,0,4,1,195,48%,52%
202223,AcademicYear,Multi-academy trust,INSPIRE LEARNING PARTNERSHIP,3533,TR02981,9202445,10060871,South East,139619;139947;141474,3,3,2,1,0,0,3,173,7.5,55%,45%,9%,24%,0.5,1.5,-0.4,-0.6,0.3,-1.5,-1.5,-0.7,-2.4,0.8,2.1,-0.5,-1.3,0,-2.5,-2,-0.8,-3.2,0.3,1.7,-1.2,0.2,1.6,-1.1,-0.9,0.4,-2.3,56%,45%,70%,Average,Average,Below average,139619;139947;141474;148004,4,2,2,0,258,45%,55%
202223,AcademicYear,Multi-academy trust,INSPIRE MULTI ACADEMY TRUST,3534,TR01151,8287012,10060167,North East,139103;139389;139391;142996;142997,5,5,3,2,0,0,5,158,7.6,54%,46%,5%,23%,0,1,-1,-0.8,0.1,-1.8,-0.7,0.2,-1.7,-0.7,0.7,-2,-1.8,-0.5,-3,-1.8,-0.6,-3.1,0.8,2.3,-0.7,0.3,1.7,-1.1,0.6,2.1,-0.8,60%,47%,75%,Average,Average,Average,139103;139389;139391;142996;142997,5,3,2,0,158,54%,46%
202223,AcademicYear,Multi-academy trust,IRONSTONE ACADEMY TRUST,3538,TR02666,9040348,10060801,North East,140918;140919;143478;143479;145046;146403,6,6,6,0,0,0,6,228,7.8,39%,61%,1%,19%,-0.1,0.7,-1,0.3,1.1,-0.5,-0.7,0.1,-1.5,-0.9,0.4,-2.2,-0.3,0.9,-1.6,-2.4,-1.2,-3.6,0.4,1.4,-0.7,0.7,1.7,-0.3,0.4,1.4,-0.6,62%,44%,73%,Average,Average,Average,140918;140919;143478;143479;145046;146403,6,6,0,0,228,39%,61%
202223,AcademicYear,Multi-academy trust,INFINITY ACADEMIES TRUST,3539,TR01154,8358124,10060289,East Midlands,139296;142764;146869;146916;147447,5,5,4,1,0,0,5,158,7.6,SUPPMAT,SUPPMAT,22%,20%,0,1,-1.1,-0.5,0.4,-1.5,-1.5,-0.6,-2.5,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,52%,SUPPMAT,SUPPMAT,Average,Average,Below average,139296;142764;146869;146916;147447;148372;148373;149272,8,7,1,0,284,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,WESTCOUNTRY SCHOOLS TRUST,3547,TR01159,7398467,10057945,South West,136380;136561;136562;136635;137963;142688;142788;143067;143412;143473;143474;144896;144933;145907;146254,15,14,13,1,1,2,13,636,7.9,SUPPMAT,SUPPMAT,1%,16%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,136380;136561;136562;136635;137963;141232;142688;142788;143067;143412;143473;143474;144896;144933;145907;146254;148871;148872;148873,19,16,2,1,739,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,ST. JOHN PAUL II MULTI ACADEMY COMPANY,3566,TR01174,8706247,10060612,West Midlands,140525;140528;140529;146268;146298;147109,6,6,4,2,0,0,6,241,7.8,29%,71%,22%,17%,1.3,2.2,0.5,0.4,1.2,-0.4,1.4,2.2,0.6,1.5,3.1,0,1,2.5,-0.5,0.2,1.7,-1.2,1.2,2.2,0.2,0.2,1.1,-0.8,1.9,2.8,0.9,62%,53%,65%,Above average,Average,Above average,140525;140528;140529;146268;146298;147109;147669,7,5,2,0,301,28%,72%
202223,AcademicYear,Multi-academy trust,THE KEMNAL ACADEMIES TRUST,3586,TR01192,7348231,10058343,South East,136599;137136;137529;138001;138049;138050;138071;138402;138434;138436;138438;138453;138618;138645;138648;138972;138994;139021;139070;139273;139639;139683;139958;140411;141195;141199;142723;143122;144881,29,29,7,22,0,0,29,1434,7.5,44%,56%,18%,25%,0,0.3,-0.4,1.1,1.4,0.8,0.3,0.6,-0.1,-0.5,0,-1,0.6,1.1,0.1,-0.7,-0.2,-1.1,0.4,0.8,-0.1,1.5,1.9,1.1,1,1.4,0.6,62%,51%,70%,Average,Above average,Average,136599;137136;137529;138001;138049;138050;138071;138402;138434;138436;138438;138453;138618;138645;138648;138972;138994;139021;139070;139273;139639;139683;139958;140411;141195;141199;142723;143122;144881,29,7,22,0,1434,44%,56%
202223,AcademicYear,Multi-academy trust,KENT CATHOLIC SCHOOLS' PARTNERSHIP,3594,TR01197,8176019,10060024,South East,140520;140641;140873;140980;141065;141067;141156;141157;141386;141471;141472;141497;141532;141580;141629;142156;142162;144420;144836,19,19,17,2,0,0,19,741,7.9,24%,76%,24%,15%,0.5,0.9,0,-0.3,0.2,-0.7,-0.3,0.1,-0.8,-1.3,-0.4,-2.3,-1.5,-0.6,-2.4,-2.5,-1.6,-3.4,1,1.6,0.5,0.1,0.6,-0.4,0.4,0.9,-0.1,62%,43%,68%,Average,Average,Average,140520;140641;140873;140980;141065;141067;141156;141157;141386;141471;141472;141497;141532;141580;141629;142156;142162;144420;144836;149261,20,18,2,0,771,23%,77%
202223,AcademicYear,Multi-academy trust,EDUCATION SOUTH WEST,3643,TR01237,7451553,10058417,South West,136200;137528;138733;141284;141286;141287;141624,7,7,6,1,0,0,7,168,7.7,SUPPMAT,SUPPMAT,3%,22%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,136200;137528;138733;141284;141286;141287;141624,7,6,1,0,168,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,KINGSWAY COMMUNITY TRUST,3652,TR01246,8339302,10060266,North West,140130;140137;140692,3,3,2,0,1,0,3,151,8.2,50%,50%,59%,12%,-1.2,-0.1,-2.2,-1,0,-1.9,-1.2,-0.2,-2.1,-1.2,0.3,-2.7,-1.3,0.1,-2.7,-1.8,-0.4,-3.1,-1.1,0.3,-2.6,-0.6,0.8,-2,-0.5,0.8,-1.9,68%,58%,77%,Below average,Average,Below average,140130;140137;140692,3,2,0,1,151,50%,50%
202223,AcademicYear,Multi-academy trust,L.E.A.D. ACADEMY TRUST,3670,TR01262,8296921,10060187,East Midlands,137443;137525;137526;137550;137786;137978;138999;139232;140239;140303;140544;141334;141556;141586;142787;143964;143965;143970;143997;144612;145357;145358,22,22,15,7,0,0,22,1178,7.8,41%,59%,28%,19%,-0.5,-0.1,-0.9,0.7,1,0.3,-0.3,0,-0.7,-1.3,-0.7,-1.9,-0.6,0,-1.1,-1.3,-0.7,-1.8,0.1,0.5,-0.4,1.5,2,1,0.4,0.8,-0.1,63%,51%,71%,Below average,Above average,Average,137443;137525;137526;137550;137786;137978;138999;139232;140239;140303;140544;141334;141556;141586;142787;143964;143965;143970;143997;144612;145357;145358,22,15,7,0,1178,41%,59%
202223,AcademicYear,Multi-academy trust,THE LAIDLAW SCHOOLS TRUST,3677,TR01268,5735093,10058196,North East,135423;138212;140788;144447;144970;145477,6,6,3,3,0,0,6,328,7.1,58%,42%,40%,25%,-0.2,0.6,-0.9,2.5,3.2,1.8,1.2,1.8,0.5,0.2,1.1,-0.8,2.1,3,1.3,1.2,2.1,0.3,-0.7,0.5,-1.8,3,4.1,1.9,1.1,2.2,0,54%,49%,61%,Average,Above average,Above average,135423;138212;140788;144447;144970;145477;149225,7,4,3,0,359,55%,45%
202223,AcademicYear,Multi-academy trust,AN DARAS MULTI ACADEMY TRUST,3698,TR01286,8156955,10059966,South West,140513;140514;142551;142564;142804;144384;145758;147494,8,8,8,0,0,1,7,133,7.6,SUPPMAT,SUPPMAT,14%,20%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,140513;140514;142551;142564;142804;144384;145758;147494,8,8,0,0,133,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,LDBS ACADEMIES TRUST,3703,TR01289,8182235,10060039,London,139169;139175;139177;139240;140601;141017;141672,7,7,3,3,1,0,7,241,8,40%,60%,67%,13%,0,0.9,-0.8,1.3,2.1,0.4,0.7,1.5,-0.1,0.6,2,-0.8,2.1,3.4,0.8,0.3,1.6,-1,-0.3,0.8,-1.4,0.7,1.8,-0.4,0.9,2,-0.1,64%,63%,66%,Average,Above average,Average,139169;139175;139177;139240;140601;141017;141672,7,3,3,1,241,40%,60%
202223,AcademicYear,Multi-academy trust,LDBS FRAYS ACADEMY TRUST,3705,TR01290,8335073,10060257,London,139275;139302;139306;140484;147023,5,5,2,3,0,0,5,231,7.4,31%,69%,30%,26%,-0.1,0.8,-0.9,0.3,1.2,-0.5,-0.1,0.8,-0.9,-1.2,0.3,-2.7,-0.7,0.8,-2.2,-2,-0.5,-3.4,0.4,1.5,-0.6,0.8,1.8,-0.2,0.8,1.8,-0.1,50%,30%,59%,Average,Average,Average,139275;139302;139306;140484;147023;147805;149352,7,4,3,0,381,24%,76%
202223,AcademicYear,Multi-academy trust,LEARNING ACADEMY PARTNERSHIP (SOUTH WEST),3710,TR01293,7713540,10059171,South West,137304;138047;142251;142287;144070;144073;144074;145347,8,7,7,1,0,0,8,190,7.9,SUPPMAT,SUPPMAT,10%,11%,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,137304;138047;142251;142287;144070;144073;144074;145347;148490;148987;149326,11,9,2,0,249,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,LEARNING IN HARMONY MULTI ACADEMY TRUST,3714,TR02883,9148738,10046984,London,137393;141296;142267;142708;143337;143338;143883;144694,8,8,8,0,0,0,8,714,7.8,40%,60%,46%,14%,-0.8,-0.3,-1.2,0.7,1.1,0.2,-0.2,0.3,-0.6,-0.6,0.1,-1.4,0.7,1.5,0,-0.8,-0.1,-1.5,-0.8,-0.2,-1.4,0.6,1.2,0,0.2,0.8,-0.4,60%,50%,66%,Below average,Above average,Average,137393;141296;142267;142708;143337;143338;143883;144694;148825,9,9,0,0,766,38%,62%
202223,AcademicYear,Multi-academy trust,LEARNING PATHWAYS ACADEMY,3715,TR01296,7984238,10059678,East of England,138028;138575;140396,3,3,1,2,0,0,3,286,7.8,35%,65%,13%,22%,-0.5,0.2,-1.3,0.7,1.4,-0.1,1.6,2.3,0.9,-1.3,-0.1,-2.6,0.5,1.7,-0.7,0.6,1.8,-0.6,-0.1,0.9,-1,0.8,1.7,-0.1,2.2,3,1.3,58%,47%,64%,Average,Average,Above average,138028;138575;140396,3,1,2,0,286,35%,65%
202223,AcademicYear,Multi-academy trust,LEE CHAPEL MULTI ACADEMY TRUST,3718,TR01298,7673871,10058913,East of England,137108;138604;143125;143127;143128,5,5,1,4,0,0,5,395,8,40%,60%,17%,12%,0.7,1.4,0.1,3.2,3.8,2.6,1.6,2.2,1,-0.3,0.7,-1.3,2.5,3.5,1.6,0.5,1.4,-0.4,1.4,2.3,0.6,3.7,4.4,2.9,2.4,3.2,1.6,75%,65%,81%,Above average,Well above average,Above average,137108;138604;143125;143127;143128,5,1,4,0,395,40%,60%
202223,AcademicYear,Multi-academy trust,RISE MULTI ACADEMY TRUST,3722,TR01301,8138372,10059914,East Midlands,139194;139200;139349;140317;140850;140909;140910;140912;140913;141222;141468;144109,12,12,8,4,0,0,12,309,7.8,27%,73%,4%,20%,-0.6,0.1,-1.3,0,0.7,-0.6,-0.6,0.2,-1.3,-2.5,-1.1,-3.9,-1.9,-0.6,-3.2,-1.2,0.3,-2.6,0,0.9,-0.8,0.7,1.5,-0.1,-0.4,0.5,-1.2,62%,38%,70%,Average,Average,Average,138902;139194;139200;139349;140317;140850;140909;140910;140912;140913;141222;141468;143608;143610;143611;144109;144310;145084;148905,19,14,5,0,428,28%,72%
202223,AcademicYear,Multi-academy trust,LEIGH ACADEMIES TRUST,3725,TR01302,2336587,10058151,South East,137119;137881;137882;137990;138195;139615;141534;141553;142188;142517;142586;147280;147409;148116,14,14,8,6,0,1,13,661,7.8,SUPPMAT,SUPPMAT,15%,15%,1.4,1.9,0.9,1.3,1.8,0.9,1.9,2.4,1.5,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,70%,SUPPMAT,SUPPMAT,Above average,Above average,Above average,137119;137881;137882;137990;138195;139615;141534;141553;142188;142517;142586;147280;147409;148116,14,8,6,0,661,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,LEIGH TRUST,3727,TR01303,8779660,10060672,West Midlands,138799;140502;140656;141319;146701,5,5,2,3,0,1,4,433,7.3,55%,45%,95%,23%,0.4,1,-0.2,0.5,1.1,-0.1,1.5,2.1,0.9,0.7,1.6,-0.1,0.6,1.4,-0.2,1.7,2.5,0.9,0,1,-0.9,0.5,1.4,-0.4,1.2,2,0.3,55%,57%,53%,Average,Average,Above average,138799;140502;140656;141319;146701,5,2,3,0,433,55%,45%
202223,AcademicYear,Multi-academy trust,LINCOLN ANGLICAN ACADEMY TRUST,3746,TR01318,8737412,10060638,East Midlands,137811;138324;140185;140343;140988;140991;143256;143258;143259;143281;144119;145436;145527;147520,14,14,9,5,0,1,13,398,7.8,38%,62%,11%,16%,-1.9,-1.3,-2.5,-0.7,0,-1.3,-1.5,-0.9,-2.1,-2.4,-1.4,-3.4,-0.6,0.3,-1.6,-2.2,-1.2,-3.1,-1.6,-0.8,-2.4,-0.7,0.1,-1.4,-1.1,-0.3,-1.9,54%,40%,63%,Below average,Average,Below average,137811;138282;138324;140185;140343;140988;140991;143256;143258;143259;143281;144119;145436;145527;147520;148307;148405,17,12,5,0,518,36%,64%
202223,AcademicYear,Multi-academy trust,LION ACADEMY TRUST,3759,TR02896,9161091,10061213,London,138690;139724;140405;141209;144349;144350;146413;146414;146415,9,9,1,7,1,0,9,627,7.8,41%,59%,52%,15%,2.6,3.1,2,3.1,3.6,2.6,3,3.5,2.5,1.6,2.4,0.8,2.2,3,1.5,2,2.7,1.2,3.2,3.9,2.6,3.7,4.4,3.1,3.8,4.4,3.1,77%,70%,83%,Above average,Well above average,Above average,138690;139724;140405;141209;144349;144350;146413;146414;146415,9,1,7,1,627,41%,59%
202223,AcademicYear,Multi-academy trust,LIONHEART EDUCATIONAL TRUST,3760,TR00158,8473899,10055191,East Midlands,139739;140725;140746,3,3,3,0,0,1,2,204,8.1,SUPPMAT,SUPPMAT,13%,15%,0.8,1.7,0,-0.1,0.8,-0.9,1.6,2.4,0.8,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,70%,SUPPMAT,SUPPMAT,Average,Average,Above average,138891;139739;140725;140746,4,4,0,0,291,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,ENDEAVOUR ACADEMY TRUST,3765,TR01329,8245853,10060107,South West,138900;139116;144892,3,3,2,1,0,0,3,135,7.6,49%,51%,30%,22%,-3.6,-2.5,-4.7,-2.2,-1.2,-3.3,-3,-1.9,-4,-5.3,-3.8,-6.9,-2.8,-1.4,-4.3,-4.5,-3.1,-6,-1.8,-0.2,-3.4,-1.5,0,-3.1,-1.4,0.2,-2.9,40%,27%,52%,Well below average,Below average,Below average,138900;139116;144892,3,2,1,0,135,49%,51%
202223,AcademicYear,Multi-academy trust,LUMEN LEARNING TRUST,3805,TR01362,8670599,10060587,South East,140034;140250;143371;146682;147678,5,5,3,2,0,1,4,325,7.8,27%,73%,24%,18%,0.1,0.9,-0.6,-0.8,-0.1,-1.5,0.5,1.1,-0.2,0.4,1.8,-1,-1.6,-0.3,-2.9,-0.7,0.6,-1.9,0,0.9,-0.8,-0.5,0.3,-1.3,0.9,1.6,0.1,60%,46%,65%,Average,Below average,Average,140034;140250;143371;146682;147678,5,3,2,0,325,27%,73%
202223,AcademicYear,Multi-academy trust,MALTBY LEARNING TRUST,3834,TR01382,7033915,10058279,Yorkshire and the Humber,140583;141366;141729;141731,4,4,3,1,0,0,4,159,8,30%,70%,4%,21%,-1.5,-0.5,-2.5,-0.6,0.3,-1.6,-1.1,-0.2,-2,-3.9,-2,-5.7,-1.3,0.5,-3.1,-2.5,-0.7,-4.2,-0.5,0.7,-1.7,-0.3,0.8,-1.4,-0.6,0.5,-1.7,62%,46%,68%,Below average,Average,Below average,140583;141366;141729;141731,4,3,1,0,159,30%,70%
202223,AcademicYear,Multi-academy trust,NENE EDUCATION TRUST,3847,TR01391,7816548,10059380,East Midlands,139552;140030;143076;146208;146913,5,5,2,3,0,0,5,189,7.9,SUPPMAT,SUPPMAT,6%,16%,-2.2,-1.2,-3.1,-1.4,-0.5,-2.3,-1.9,-1,-2.7,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,51%,SUPPMAT,SUPPMAT,Below average,Below average,Below average,139552;140030;143076;146208;146913;148611,6,3,3,0,278,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,MARCHES ACADEMY TRUST,3855,TR01398,7680422,10058925,West Midlands,141368;144983;146897;147539;147830,5,5,2,3,0,1,4,136,7.9,34%,66%,4%,21%,-2,-0.9,-3.1,-2,-1,-3.1,-3.4,-2.4,-4.4,-3.2,-1.4,-5,-4.1,-2.3,-5.8,-4.2,-2.5,-5.9,-1.3,0.1,-2.6,-0.8,0.5,-2.1,-2.9,-1.7,-4.2,51%,38%,58%,Below average,Below average,Well below average,141368;144983;146897;147539;147830,5,2,3,0,136,34%,66%
202223,AcademicYear,Multi-academy trust,THE MEAD ACADEMY TRUST,3884,TR01419,8024396,10059737,South West,138133;139260;140223,3,3,1,2,0,0,3,138,7.2,26%,74%,14%,33%,-1.1,-0.1,-2.2,-1,0,-2.1,-1.4,-0.4,-2.4,-3.7,-1.6,-5.8,-3.2,-1.2,-5.2,-3.5,-1.5,-5.4,-0.3,1,-1.5,-0.3,0.9,-1.5,-0.7,0.5,-1.9,44%,19%,53%,Below average,Average,Below average,138133;139260;140223,3,1,2,0,138,26%,74%
202223,AcademicYear,Multi-academy trust,MERCIA LEARNING TRUST,3899,TR02564,8119703,10059864,Yorkshire and the Humber,140596;141339;142274,3,3,2,1,0,0,3,180,7.7,43%,57%,33%,19%,-0.5,0.5,-1.4,0.8,1.8,-0.1,0.2,1,-0.7,-1.3,0.2,-2.7,0,1.4,-1.4,-0.5,0.8,-1.9,0.1,1.4,-1.1,1.5,2.7,0.3,0.7,1.9,-0.5,63%,51%,72%,Average,Average,Average,140596;141339;142274,3,2,1,0,180,43%,57%
202223,AcademicYear,Multi-academy trust,MIDSOMER NORTON SCHOOLS PARTNERSHIP,3910,TR01435,7365778,10031575,South West,136804;140452;141149;141767;142941;142942;144281;144830;145021;146069;146396;146409;146424;146447;147173;147890,16,15,14,2,0,1,15,405,7.9,25%,75%,2%,22%,0.3,0.9,-0.3,1,1.6,0.4,0.2,0.8,-0.4,0.3,1.5,-1,1.2,2.4,0,0,1.2,-1.2,0.3,1.1,-0.4,1,1.6,0.3,0.2,0.9,-0.4,68%,44%,75%,Average,Above average,Average,136804;140452;141149;141767;142941;142942;144281;144830;145021;146069;146396;146409;146424;146447;147173;147890,16,14,2,0,405,25%,75%
