TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4PLUS_MATPTINC,TELIG_MATPTINC,KS1APS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_MATPTINC,READ_PROGSCORE_EM_ADJ_WGTAVG,READ_PROGSCORE_ADJ_UPPER,READ_PROGSCORE_ADJ_LOWER,WRIT_PROGSCORE_EM_ADJ_WGTAVG,WRIT_PROGSCORE_ADJ_UPPER,WRIT_PROGSCORE_ADJ_LOWER,MAT_PROGSCORE_EM_ADJ_WGTAVG,MAT_PROGSCORE_ADJ_UPPER,MAT_PROGSCORE_ADJ_LOWER,READ_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,READ_PROGSCORE_ADJ_UPPER_FSM6CLA1A,READ_PROGSCORE_ADJ_LOWER_FSM6CLA1A,WRIT_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,WRIT_PROGSCORE_ADJ_UPPER_FSM6CLA1A,WRIT_PROGSCORE_ADJ_LOWER_FSM6CLA1A,MAT_PROGSCORE_EM_ADJ_WGTAVG_FSM6CLA1A,MAT_PROGSCORE_ADJ_UPPER_FSM6CLA1A,MAT_PROGSCORE_ADJ_LOWER_FSM6CLA1A,READ_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,READ_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,READ_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,WRIT_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,WRIT_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,WRIT_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,MAT_PROGSCORE_EM_ADJ_WGTAVG_NOTFSM6CLA1A,MAT_PROGSCORE_ADJ_UPPER_NOTFSM6CLA1A,MAT_PROGSCORE_ADJ_LOWER_NOTFSM6CLA1A,PRWM_EXP_WGTAVG,PRWM_EXP_WGTAVG_FSM6CLA1A,PRWM_EXP_WGTAVG_NOTFSM6CLA1A,READ_PROGSCORE_BANDING,WRIT_PROGSCORE_BANDING,MAT_PROGSCORE_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,TELIG_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202223,AcademicYear,Multi-academy trust,ALL SAINTS CATHOLIC COLLEGIATE,2112,TR00048,8709352,10060614,West Midlands,140287;140296;140297;140298,4,4,4,0,0,0,4,148,7.7,33%,67%,31%,20%,0.1,1.2,-0.9,0.5,1.5,-0.5,0.4,1.4,-0.6,-1.7,0.1,-3.5,-1.1,0.6,-2.8,-1.6,0.1,-3.3,1.1,2.3,-0.2,1.4,2.6,0.1,1.4,2.6,0.2,66%,57%,71%,Average,Average,Average,140287;140296;140297;140298,4,4,0,0,148,33%,67%
202223,AcademicYear,Multi-academy trust,AMBITIONS ACADEMIES TRUST,2128,TR02316,7977940,10059666,South West,138860;138990;141671;141745;145496;146796,6,6,1,5,0,0,6,423,7.8,38%,62%,21%,16%,-0.5,0.1,-1.1,0.1,0.7,-0.5,-0.3,0.3,-0.9,-1.8,-0.8,-2.8,0.1,1.1,-0.9,-1.8,-0.9,-2.8,0.4,1.2,-0.4,0.1,0.9,-0.7,0.7,1.5,-0.1,58%,40%,69%,Average,Average,Average,138860;138990;141671;141745;145496;146796,6,1,5,0,423,38%,62%
202223,AcademicYear,Multi-academy trust,AQUINAS CHURCH OF ENGLAND EDUCATION TRUST LIMITED,2143,TR00322,7525735,10058512,London,139984;140648;140729;141352;141529;141567;141896;143097;146826,9,9,7,2,0,0,9,370,7.9,26%,74%,18%,22%,1.2,1.9,0.6,0.9,1.6,0.3,0.5,1.2,-0.1,-0.5,0.8,-1.8,-0.6,0.6,-1.9,-1.9,-0.7,-3.1,1.8,2.6,1.1,1.5,2.2,0.7,1.4,2.1,0.7,65%,34%,75%,Above average,Above average,Average,139984;140648;140729;141352;141529;141567;141896;143097;146826,9,7,2,0,370,26%,74%
202223,AcademicYear,Multi-academy trust,ARK SCHOOLS,2157,TR00081,5112090,10044534,London,131752;135242;135584;135600;137114;137323;137331;137578;138397;138518;138680;139645;139699;139713;139815;139820;139830;141020;141021;141022;141752;142110;144083;146214,24,24,2,17,5,0,24,1407,7.9,SUPPMAT,SUPPMAT,44%,15%,0.9,1.3,0.6,1.5,1.8,1.1,1.7,2,1.4,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,75%,SUPPMAT,SUPPMAT,Above average,Above average,Above average,131752;135242;135584;135600;137114;137323;137331;137578;138397;138518;138680;139645;139699;139713;139815;139820;139830;141020;141021;141022;141752;142110;144083;146214,24,2,17,5,1407,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,THE ARTHUR TERRY LEARNING PARTNERSHIP,2166,TR00089,7730920,10034759,West Midlands,138590;139452;139465;139520;145538;146130;146457;146513;147826,9,9,7,2,0,1,8,375,7.9,27%,73%,18%,16%,-0.1,0.5,-0.8,1.2,1.8,0.6,-0.5,0.1,-1.1,0,1.3,-1.3,1.2,2.4,-0.1,-1.1,0.1,-2.3,-0.2,0.6,-1,1.2,1.9,0.5,-0.3,0.4,-1,60%,42%,66%,Average,Above average,Average,138590;139452;139465;139520;145538;146130;146457;146513;147758;147826;148316;148748;148749,13,10,3,0,554,30%,70%
202223,AcademicYear,Multi-academy trust,ASHLEY HILL MULTI ACADEMY TRUST,2177,TR02469,8163445,10059985,South East,138635;141295;144249,3,3,3,0,0,0,3,63,8.2,19%,81%,2%,27%,-1.4,0.2,-3.1,-3,-1.4,-4.6,-2,-0.5,-3.6,-5.2,-1.6,-8.7,-3.6,-0.2,-7,-2.9,0.5,-6.2,-0.4,1.4,-2.3,-2.9,-1.1,-4.6,-1.8,-0.1,-3.5,54%,33%,59%,Average,Well below average,Below average,138635;141295;144249,3,3,0,0,63,19%,81%
202223,AcademicYear,Multi-academy trust,ASPIRATIONS ACADEMIES TRUST,2186,TR00103,7867577,10059468,London,138501;139298;139692;140158;140718;141089;145119;147264,8,8,2,6,0,0,8,526,7.8,SUPPMAT,SUPPMAT,25%,19%,0,0.5,-0.6,1.4,1.9,0.9,1,1.5,0.5,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,68%,SUPPMAT,SUPPMAT,Average,Above average,Above average,138501;139298;139692;140158;140718;141089;145119;147264,8,2,6,0,526,SUPPMAT,SUPPMAT
202223,AcademicYear,Multi-academy trust,ASPIRE ACADEMIES TRUST,2189,TR02430,8187216,10060045,East of England,136857;137238;138507;144909;144959;146123,6,6,4,2,0,0,6,322,7.6,25%,75%,22%,23%,1.2,1.9,0.5,-1.3,-0.6,-2,0.6,1.2,-0.1,-0.7,0.7,-2.1,-3.7,-2.4,-5,-3,-1.7,-4.3,1.8,2.6,1,-0.4,0.3,-1.2,1.8,2.6,1,57%,28%,67%,Above average,Below average,Average,136857;137238;138507;144909;144959;146123,6,4,2,0,322,25%,75%
202223,AcademicYear,Multi-academy trust,ASPIRE ACADEMY TRUST,2192,TR00579,7387540,10058372,South West,136318;136597;137076;137142;137183;137758;138963;139073;139960;140318;140897;141283;141322;141528;142144;142303;142389;143099;143165;143171;143778;144062;145077;145965;146077;147079,26,25,19,6,1,0,26,781,7.6,33%,67%,3%,22%,-0.6,-0.1,-1,0,0.4,-0.4,-0.2,0.2,-0.6,-1.6,-0.8,-2.4,-0.4,0.3,-1.1,-1.2,-0.5,-1.9,-0.1,0.5,-0.6,0.2,0.7,-0.3,0.3,0.8,-0.3,56%,42%,63%,Below average,Average,Average,136318;136597;137076;137142;137183;137616;137758;138671;138963;139073;139960;140318;140897;141283;141322;141528;142144;142303;142389;143099;143165;143171;143778;144062;145077;145965;146077;147079;149434,29,21,7,1,868,33%,67%
202223,AcademicYear,Multi-academy trust,ASPIRE MULTI - ACADEMY TRUST,2194,TR00104,8840094,10060710,East Midlands,140574;140591;143301;144184;144534;146537,6,5,5,1,0,0,6,246,7.7,SUPPMAT,SUPPMAT,9%,13%,0,0.8,-0.8,0.7,1.5,-0.1,-0.5,0.3,-1.3,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,59%,SUPPMAT,SUPPMAT,Average,Average,Average,140574;140591;143301;144184;144534;146537;148218,7,6,1,0,263,SUPPMAT,SUPPMAT
