RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,203,4130,100183,Plumstead Manor School,CY,0,0,2,10,17,2,119,79%,3%,75%,13%,12%,0%,1%,119,79%,10,17,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,87%,SUPP,84%,13%,11%,0%,SUPP
1,203,4250,141163,Woolwich Polytechnic School,ACC,0,0,2,9,15,2,177,84%,1%,83%,29%,27%,1%,0%,168,83%,6,12,0,3,0,0%,NA,NA,NA,NA,9,100%,53,84,21,1,89%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,203,4271,141309,Stationers' Crown Woods Academy,ACC,0,0,3,2,10,-6,92,72%,4%,66%,15%,12%,0%,1%,92,72%,2,10,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,69%,SUPP,56%,19%,13%,0%,SUPP
1,203,4294,100190,Thomas Tallis School,CY,0,0,2,10,15,4,249,85%,SP,84%,28%,26%,1%,SP,233,85%,9,14,3,2,16,75%,27,50,3,2,0,0%,NA,NA,NA,NA,87%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,203,4717,138966,Shooters Hill Sixth Form College,ACC1619,0,0,3,5,12,-2,121,57%,1%,55%,2%,2%,0%,2%,49,71%,5,16,-6,3,0,0%,NA,NA,NA,NA,72,47%,5,16,-6,3,60%,SUPP,55%,SUPP,SUPP,0%,SUPP
LA,203,,,,,,,NA,10,NA,NA,1025,79%,1%,77%,19%,17%,SP,1%,893,81%,9,NA,NA,NA,51,69%,26,NA,NA,NA,81,53%,10,NA,NA,NA,78%,1%,75%,20%,18%,1%,1%
1,204,4000,145609,Lubavitch House School (Senior Girls),ACC,0,0,5,-74,-48,-99,11,0%,0%,0%,0%,0%,0%,0%,11,0%,-74,-50,-97,5,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,0%,0%,0%,0%,0%,0%,0%
1,204,4283,100277,Haggerston School,CY,0,0,2,15,28,1,41,88%,0%,85%,20%,22%,5%,2%,41,88%,15,27,2,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,95%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,204,4302,137442,Clapton Girls' Academy,ACC,0,0,3,7,14,0,123,79%,1%,78%,24%,23%,2%,0%,123,79%,7,14,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,204,4310,100279,Stoke Newington School and Sixth Form,CY,0,0,3,-3,3,-9,179,75%,1%,74%,36%,32%,2%,1%,166,74%,-7,0,-13,3,8,88%,34,67,0,3,5,SUPP,SUPP,SUPP,SUPP,1,77%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,204,4641,100282,Our Lady's Catholic High School,VA,0,0,1,22,31,12,75,92%,0%,91%,21%,20%,0%,1%,75,92%,22,31,12,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,204,4697,100284,The Urswick School - A Church of England Secondary School,VA,0,0,3,6,18,-6,45,73%,0%,71%,11%,11%,0%,2%,45,73%,6,17,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,64%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,204,4714,100285,Cardinal Pole Catholic School,VA,0,0,3,9,19,-1,63,86%,0%,84%,46%,38%,2%,2%,54,94%,12,22,1,2,0,0%,NA,NA,NA,NA,9,33%,-13,18,-44,3,86%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,204,6905,134693,Mossbourne Community Academy,AC,0,0,3,6,13,-1,128,94%,1%,92%,55%,50%,7%,1%,128,94%,6,12,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,204,6906,131062,The Petchey Academy,AC,0,0,3,10,19,0,82,85%,0%,85%,41%,43%,0%,0%,82,85%,10,18,1,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,88%,43%,43%,0%,0%
1,204,6907,131609,The Bridge Academy,AC,0,0,3,7,15,-1,93,84%,0%,84%,33%,31%,2%,0%,93,84%,7,15,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,0%,78%,25%,22%,0%,0%
1,204,6908,135835,"The City Academy, Hackney",AC,0,0,3,3,11,-5,102,81%,3%,78%,27%,27%,1%,0%,102,81%,3,10,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,204,6909,136137,Skinners' Academy,AC,0,0,1,20,30,9,69,93%,3%,90%,30%,28%,0%,0%,56,95%,17,27,6,1,0,0%,NA,NA,NA,NA,13,85%,32,58,5,1,92%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,204,8600,133608,The Brooke House Sixth Form College,Sixth Form College,0,0,2,11,16,5,236,63%,SP,61%,7%,6%,SP,1%,138,67%,5,11,-1,3,11,9%,-25,3,-53,3,87,64%,26,36,15,1,58%,SUPP,57%,3%,3%,SUPP,SUPP
LA,204,,,,,,,NA,7,NA,NA,1247,79%,1%,78%,28%,26%,2%,1%,1114,81%,6,NA,NA,NA,19,42%,0,NA,NA,NA,114,66%,25,NA,NA,NA,80%,SP,78%,32%,30%,2%,1%
1,205,4000,136750,West London Free School,F,0,0,3,8,16,0,91,91%,1%,88%,54%,47%,7%,2%,91,91%,8,16,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,95%,SUPP,86%,43%,33%,0%,SUPP
1,205,4106,139364,Fulham Cross Academy,ACC,0,0,3,-18,0,-35,23,26%,4%,22%,0%,0%,0%,0%,2,SUPP,SUPP,SUPP,SUPP,5,4,SUPP,SUPP,SUPP,SUPP,3,17,29%,-11,12,-34,3,18%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,205,4320,133545,William Morris Sixth Form,CY,0,0,1,18,23,12,257,81%,0%,80%,12%,10%,0%,1%,238,83%,17,22,11,1,19,63%,24,45,2,2,0,0%,NA,NA,NA,NA,85%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,205,4620,137935,Sacred Heart High School,ACC,0,0,3,9,19,-1,61,92%,0%,92%,52%,54%,0%,0%,61,92%,9,19,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,83%,42%,50%,0%,0%
1,205,4632,138607,Lady Margaret School,ACC,0,0,3,6,15,-3,74,93%,0%,92%,59%,59%,5%,1%,74,93%,6,15,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,205,5400,137157,The London Oratory School,ACC,0,0,2,10,16,3,165,98%,1%,96%,76%,69%,4%,0%,165,98%,10,16,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,75%,63%,0%,0%
1,205,6905,131752,Ark Burlington Danes Academy,AC,0,0,1,23,32,13,76,97%,0%,97%,49%,47%,3%,0%,76,97%,23,31,14,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,98%,0%,98%,46%,43%,SUPP,0%
1,205,6906,136172,Hammersmith Academy,AC,0,0,1,16,25,6,82,89%,2%,87%,22%,22%,0%,0%,82,89%,16,24,7,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,205,8009,130408,"Ealing, Hammersmith and West London College",General Further Education College,0,0,2,15,20,9,208,57%,SP,53%,2%,1%,0%,3%,2,SUPP,SUPP,SUPP,SUPP,3,4,SUPP,SUPP,SUPP,SUPP,3,202,57%,16,22,9,2,58%,SUPP,54%,1%,1%,0%,SUPP
LA,205,,,,,,,NA,13,NA,NA,1049,82%,1%,80%,32%,30%,2%,1%,803,90%,13,NA,NA,NA,27,52%,11,NA,NA,NA,219,55%,14,NA,NA,NA,83%,1%,82%,40%,38%,3%,1%
