RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
3,310,4900,135469,Harrow Collegiate,,NA,0,2,15,17,12,842,90%,1%,88%,28%,25%,1%,1%,836,91%,15,17,12,1,0,0%,NA,NA,NA,NA,6,0%,-53,-13,-92,5,90%,0%,89%,20%,18%,SP,1%
1,310,8002,130440,Stanmore College,General Further Education College,0,0,1,19,23,14,422,59%,0%,55%,3%,2%,0%,5%,24,67%,12,27,-3,3,11,64%,26,54,-2,3,387,59%,20,24,15,2,64%,0%,62%,3%,3%,0%,2%
1,310,8600,130443,St Dominic's Sixth Form College,Sixth Form College,0,0,2,8,11,4,633,94%,2%,91%,48%,43%,2%,0%,612,95%,7,10,3,2,0,0%,NA,NA,NA,NA,21,67%,22,42,1,2,91%,2%,89%,40%,35%,5%,0%
LA,310,,,,,,,NA,14,NA,NA,1940,85%,1%,82%,29%,26%,1%,1%,1515,92%,12,NA,NA,NA,11,64%,26,NA,NA,NA,414,59%,19,NA,NA,NA,86%,1%,83%,33%,30%,1%,2%
1,311,4014,145944,St Edward's Church of England Academy,AC,0,0,2,13,23,2,66,89%,0%,88%,23%,21%,0%,2%,66,89%,13,22,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,311,4700,137040,The Campion School,ACC,0,0,4,-10,-3,-16,184,69%,8%,60%,21%,15%,2%,1%,184,69%,-10,-4,-15,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,63%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,311,5400,138326,The Frances Bardsley Academy for Girls,ACC,0,0,3,-3,6,-12,76,75%,5%,68%,18%,14%,1%,1%,76,75%,-3,5,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,311,5402,136600,The Coopers' Company and Coborn School,ACC,0,0,3,2,7,-3,223,88%,9%,79%,40%,33%,SP,0%,223,88%,2,7,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,96%,8%,88%,42%,35%,SUPP,0%
1,311,5403,137233,Sacred Heart of Mary Girls' School,ACC,0,0,3,-5,3,-13,92,75%,3%,71%,25%,16%,1%,1%,92,75%,-5,3,-13,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,311,6905,136090,Drapers' Academy,AC,0,0,3,8,17,-1,81,84%,1%,83%,27%,25%,2%,0%,81,84%,8,16,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
LA,311,,,,,,,NA,-1,NA,NA,722,80%,6%,73%,28%,22%,1%,1%,722,80%,-1,NA,NA,NA,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,79%,7%,72%,29%,23%,1%,1%
1,312,4009,141035,De Salis Studio College,SS,0,0,NA,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,3,0,SUPP,NA,NA,NA,NA,0,SUPP,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,312,4014,142887,Global Academy,UTC,0,0,3,11,22,0,55,62%,2%,58%,7%,5%,0%,2%,8,63%,-13,14,-40,3,0,0%,NA,NA,NA,NA,47,62%,14,27,0,3,69%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,312,4021,145121,Park Academy West London,AC,0,0,3,4,21,-13,22,73%,0%,73%,14%,9%,0%,0%,20,80%,8,25,-9,3,0,0%,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,3,64%,0%,64%,0%,0%,0%,0%
1,312,4023,140748,Ruislip High School,ACC,0,0,3,-7,2,-16,70,70%,10%,60%,11%,13%,0%,0%,70,70%,-7,2,-16,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,75%,13%,63%,0%,0%,0%,0%
1,312,4024,146375,UTC Heathrow,UTC,0,0,1,18,29,6,49,67%,10%,55%,0%,0%,0%,2%,6,83%,11,42,-20,3,43,65%,19,33,4,2,0,0%,NA,NA,NA,NA,85%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,312,4600,137407,Bishop Ramsey Church of England School,ACC,0,0,3,5,11,-1,144,83%,8%,75%,24%,21%,1%,0%,144,83%,5,11,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,84%,0%,84%,5%,0%,SUPP,0%
1,312,4654,136329,Guru Nanak Sikh Academy,ACC,0,0,3,10,19,0,72,93%,4%,89%,38%,35%,1%,0%,72,93%,10,19,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,0%,92%,42%,42%,SUPP,0%
1,312,5400,137633,Bishopshalt School,ACC,0,0,2,9,15,2,168,86%,1%,85%,23%,19%,1%,0%,165,87%,9,15,2,2,0,0%,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,3,83%,0%,83%,32%,20%,SUPP,0%
1,312,5401,136519,Haydon School,ACC,0,0,2,9,14,3,202,85%,1%,83%,28%,26%,SP,1%,195,86%,9,14,3,2,7,43%,-5,31,-41,3,0,0%,NA,NA,NA,NA,89%,0%,89%,26%,30%,SUPP,0%
1,312,5402,137635,Vyners School,ACC,0,0,3,2,9,-5,129,80%,5%,74%,26%,22%,0%,1%,119,82%,1,8,-6,3,10,60%,10,40,-20,3,0,0%,NA,NA,NA,NA,71%,SUPP,57%,14%,14%,0%,SUPP
1,312,5403,136711,Queensmead School,ACC,0,0,3,1,9,-7,108,79%,2%,77%,31%,26%,0%,0%,102,83%,4,11,-3,3,6,0%,-39,0,-78,3,0,0%,NA,NA,NA,NA,83%,0%,83%,33%,28%,0%,0%
1,312,5404,136768,Uxbridge High School,ACC,0,0,2,12,20,3,93,83%,1%,82%,12%,11%,0%,0%,93,83%,12,20,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,312,5405,137829,Northwood School,ACC,0,0,3,5,21,-11,26,88%,0%,88%,15%,15%,4%,0%,26,88%,5,20,-10,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,88%,13%,13%,SUPP,0%
1,312,5406,137077,Rosedale College,ACC,0,0,3,11,23,-1,47,85%,2%,81%,15%,13%,0%,2%,44,89%,13,24,1,2,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,312,5407,137078,Hewens College,ACC,0,0,3,-13,11,-37,12,67%,0%,67%,17%,17%,0%,0%,12,67%,-13,9,-35,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,312,5408,137925,The Douay Martyrs Catholic School,ACC,0,0,2,13,22,3,75,92%,1%,91%,24%,23%,1%,0%,75,92%,13,22,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,75%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,312,5409,102449,Oak Wood School,FD,0,0,1,21,39,2,21,81%,0%,81%,19%,19%,0%,0%,14,79%,10,30,-10,3,7,86%,45,81,8,1,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,312,5410,136631,Swakeleys School for Girls,ACC,0,0,3,6,13,-1,117,85%,1%,84%,33%,32%,5%,0%,116,84%,6,13,-1,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,90%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,312,5411,102451,Harlington School,FD,0,0,2,14,23,4,70,81%,3%,77%,11%,7%,0%,1%,67,81%,12,21,2,2,0,0%,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,3,86%,SUPP,81%,8%,8%,0%,SUPP
1,312,5412,137844,Barnhill Community High School,ACC,0,0,2,15,22,7,127,87%,4%,81%,26%,24%,2%,2%,127,87%,15,21,8,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,SUPP,89%,29%,27%,0%,SUPP
1,312,6906,135004,Harefield School,AC,0,0,3,-7,11,-25,20,60%,0%,60%,20%,10%,5%,0%,20,60%,-7,10,-24,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,312,8000,130446,"HRUC (Harrow, Richmond & Uxbridge Colleges)",General Further Education College,0,0,2,14,16,11,996,62%,2%,55%,5%,4%,0%,5%,245,77%,15,19,10,1,20,45%,6,27,-15,3,731,57%,15,18,11,2,64%,0%,59%,5%,4%,0%,5%
LA,312,,,,,,,NA,10,NA,NA,2627,74%,3%,70%,16%,14%,1%,2%,1744,83%,8,NA,NA,NA,97,56%,11,NA,NA,NA,786,57%,14,NA,NA,NA,74%,3%,69%,17%,15%,1%,2%
1,313,4000,138266,Reach Academy Feltham,F,0,0,1,17,32,1,30,100%,0%,100%,47%,43%,3%,0%,30,100%,17,31,2,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,55%,45%,SUPP,0%
1,313,4001,139276,Kingsley Academy,AC,0,0,3,9,23,-5,34,79%,0%,79%,18%,15%,0%,0%,34,79%,9,22,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,43%,0%,43%,29%,29%,0%,0%
1,313,4003,142126,Space Studio West London,SS,0,0,3,-2,12,-16,31,58%,0%,58%,13%,6%,0%,0%,27,52%,-11,4,-26,3,4,SUPP,SUPP,SUPP,SUPP,1,0,0%,NA,NA,NA,NA,70%,0%,70%,0%,0%,0%,0%
1,313,4004,142781,Logic Studio School,SS,0,0,3,-5,4,-14,78,58%,0%,58%,4%,5%,0%,0%,60,65%,-2,8,-12,3,16,38%,-10,13,-33,3,2,SUPP,SUPP,SUPP,SUPP,3,70%,0%,70%,SUPP,SUPP,0%,0%
1,313,4020,137907,Chiswick School,ACC,0,0,2,14,21,6,118,91%,0%,91%,30%,29%,3%,0%,118,91%,14,21,6,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,0%,94%,10%,10%,2%,0%
1,313,4022,137009,Rivers Academy West London,ACC,0,0,3,1,12,-10,49,76%,2%,73%,27%,27%,4%,0%,48,75%,0,11,-11,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,86%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,313,4024,139095,Brentford School for Girls,ACC,0,0,3,8,18,-2,65,83%,0%,82%,25%,20%,2%,2%,65,83%,8,17,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,313,4026,138924,Heston Community School,ACC,0,0,1,20,27,12,127,91%,1%,90%,11%,10%,2%,0%,127,91%,20,26,13,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,313,4027,136341,Lampton Academy,ACC,0,0,2,10,16,3,155,90%,1%,89%,30%,26%,1%,0%,155,90%,10,16,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,313,4028,102539,The Heathland School,CY,0,0,2,10,15,4,208,88%,2%,87%,25%,23%,3%,0%,208,88%,10,15,4,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,0%,93%,14%,11%,2%,0%
1,313,4029,136522,Cranford Community College,ACC,0,0,2,14,20,7,174,84%,2%,82%,16%,13%,1%,0%,154,88%,14,20,7,2,13,77%,32,58,5,2,7,14%,-32,4,-68,3,82%,2%,80%,14%,12%,SUPP,0%
1,313,4500,137940,Isleworth and Syon School for Boys,ACC,0,0,3,7,16,-2,77,82%,0%,82%,17%,14%,1%,0%,72,83%,6,15,-3,3,5,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,76%,0%,76%,12%,12%,SUPP,0%
1,313,4600,139989,The Green School for Girls,ACC,0,0,3,4,15,-7,52,83%,0%,81%,29%,27%,2%,2%,52,83%,4,14,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,313,4800,137995,St Mark's Catholic School,ACC,0,0,3,8,15,0,129,94%,1%,93%,44%,40%,2%,0%,129,94%,8,14,1,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,313,5400,137928,"Gumley House RC Convent School, FCJ",ACC,0,0,1,16,25,6,84,95%,0%,94%,27%,26%,1%,1%,84,95%,16,24,7,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,313,5401,102545,Gunnersbury Catholic School,VA,0,0,2,15,21,8,148,93%,1%,91%,30%,26%,0%,1%,148,93%,15,21,8,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,95%,SUPP,92%,13%,13%,0%,SUPP
1,313,8001,130447,West Thames College,General Further Education College,0,0,3,6,11,0,262,46%,0%,41%,2%,1%,0%,5%,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,261,46%,6,11,0,3,46%,0%,43%,2%,SUPP,0%,3%
LA,313,,,,,,,NA,10,NA,NA,1821,81%,1%,79%,21%,19%,1%,1%,1512,88%,11,NA,NA,NA,39,62%,15,NA,NA,NA,270,45%,5,NA,NA,NA,81%,1%,79%,24%,21%,2%,1%
1,314,4004,137848,Coombe Girls' School,ACC,0,0,2,11,18,3,114,93%,2%,91%,44%,41%,3%,0%,114,93%,11,18,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,35%,30%,0%,0%
1,314,4009,137917,Southborough High School,ACC,0,0,3,0,9,-9,73,74%,3%,71%,16%,18%,1%,0%,72,75%,1,10,-8,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,78%,0%,78%,11%,11%,SUPP,0%
1,314,4010,136615,The Tiffin Girls' School,ACC,0,0,3,4,10,-2,161,98%,4%,94%,86%,80%,17%,0%,161,98%,4,10,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,83%,67%,17%,0%
1,314,4011,137060,Tolworth Girls' School and Sixth Form,ACC,0,0,2,9,16,1,139,83%,0%,82%,14%,17%,1%,1%,139,83%,9,15,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,314,5400,136910,Tiffin School,ACC,0,0,3,1,6,-4,200,93%,0%,93%,80%,73%,9%,0%,200,93%,1,6,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,0%,91%,82%,73%,0%,0%
1,314,5401,137299,Richard Challoner School,ACC,0,0,3,4,11,-3,122,86%,2%,82%,39%,36%,2%,2%,121,87%,4,11,-3,3,0,0%,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,3,75%,0%,75%,25%,13%,0%,0%
1,314,5402,138459,The Holy Cross School,ACC,0,0,3,1,9,-7,97,85%,0%,85%,36%,32%,1%,0%,97,85%,1,8,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,0%,92%,0%,0%,SUPP,0%
1,314,5403,137859,Coombe Boys' School,ACC,0,0,1,18,29,6,49,76%,0%,73%,0%,0%,0%,2%,49,76%,18,29,6,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,73%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,314,5404,137678,The Hollyfield School and Sixth Form Centre,ACC,0,0,3,4,12,-4,86,76%,1%,72%,16%,15%,0%,2%,86,76%,4,12,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,73%,SUPP,55%,0%,0%,0%,SUPP
1,314,8001,130448,South Thames Colleges Group,General Further Education College,0,0,2,6,8,3,1087,52%,1%,47%,3%,2%,0%,3%,58,76%,0,10,-10,3,38,39%,-5,10,-20,3,991,51%,7,10,3,2,47%,1%,43%,2%,1%,0%,3%
LA,314,,,,,,,NA,5,NA,NA,2129,69%,1%,66%,24%,22%,2%,2%,1097,87%,5,NA,NA,NA,40,40%,-4,NA,NA,NA,992,51%,6,NA,NA,NA,73%,2%,69%,29%,27%,3%,2%
1,315,4050,102673,Ricards Lodge High School,CY,1,0,2,15,24,5,75,95%,0%,93%,40%,32%,0%,1%,75,95%,15,24,5,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,95%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,315,4052,102674,Raynes Park High School,CY,0,0,3,1,12,-10,50,72%,0%,72%,16%,14%,0%,0%,39,79%,2,14,-10,3,11,45%,-1,27,-29,3,0,0%,NA,NA,NA,NA,33%,0%,33%,0%,0%,0%,0%
1,315,4500,102679,Rutlish School,VC,1,0,3,9,19,-1,64,89%,2%,88%,19%,17%,0%,0%,64,89%,9,18,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,93%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,315,4701,102681,Wimbledon College,VA,0,0,3,5,12,-2,119,84%,2%,81%,29%,22%,1%,2%,119,84%,5,12,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,SUPP,92%,33%,25%,SUPP,SUPP
3,315,4901,136509,RR6,,NA,0,2,12,19,4,139,92%,1%,91%,30%,25%,0%,1%,139,92%,12,18,5,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,315,5400,102683,Ursuline High School Wimbledon,VA,0,0,2,8,14,1,164,85%,0%,84%,32%,32%,2%,1%,164,85%,8,14,1,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,81%,0%,81%,15%,11%,0%,0%
1,315,6905,131897,Harris Academy Merton,AC,1,0,1,17,25,8,108,90%,1%,89%,18%,16%,0%,0%,108,90%,17,24,9,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,315,6906,134003,St Mark's Church of England Academy,AC,0,0,2,14,25,2,50,86%,0%,86%,18%,14%,0%,0%,50,86%,14,25,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,0%,90%,19%,14%,0%,0%
LA,315,,,,,,,NA,10,NA,NA,630,86%,1%,85%,26%,23%,1%,1%,619,87%,10,NA,NA,NA,11,46%,-1,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,SP,85%,28%,25%,1%,1%
1,316,4000,138403,London Academy of Excellence,F1619,0,0,3,5,10,0,237,97%,0%,97%,86%,81%,16%,0%,237,97%,5,10,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,96%,0%,96%,83%,80%,15%,0%
1,316,4001,138196,School 21,F,0,0,2,9,15,2,151,91%,6%,83%,36%,31%,3%,2%,151,91%,9,15,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,4%,82%,39%,35%,1%,1%
1,316,4003,139703,Harris Academy Chobham,AC,0,0,2,14,21,6,128,88%,2%,86%,27%,26%,1%,0%,120,88%,13,20,5,2,8,75%,28,61,-5,3,0,0%,NA,NA,NA,NA,86%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,316,4009,142903,London Design and Engineering UTC,UTC,0,0,3,7,15,-1,91,68%,7%,62%,13%,12%,0%,0%,36,86%,10,23,-3,3,55,56%,5,17,-7,3,0,0%,NA,NA,NA,NA,63%,4%,59%,12%,12%,0%,0%
1,316,4010,144511,"Newham Collegiate Sixth Form Centre, City of London Academy",F1619,0,0,3,2,6,-2,293,94%,4%,90%,75%,72%,5%,0%,293,94%,2,6,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,1%,93%,79%,72%,3%,0%
1,316,4031,136669,Brampton Manor Academy,ACC,0,0,2,7,11,2,291,99%,SP,99%,93%,89%,18%,0%,291,99%,7,11,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,99%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,316,4600,102786,St Angela's Ursuline School,VA,0,0,2,13,19,6,156,92%,0%,92%,37%,37%,1%,1%,156,92%,13,19,6,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,316,4601,102787,St Bonaventure's RC School,VA,0,0,2,13,20,5,135,88%,2%,85%,24%,22%,1%,1%,135,88%,13,19,6,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,SUPP,88%,17%,15%,0%,SUPP
1,316,8001,130451,Newham College of Further Education,General Further Education College,0,0,5,-19,-14,-23,293,28%,1%,27%,SP,0%,0%,1%,122,41%,-14,-6,-21,4,4,SUPP,SUPP,SUPP,SUPP,3,167,19%,-23,-15,-30,5,31%,0%,31%,SUPP,0%,0%,0%
1,316,8600,130452,Newham Sixth Form College,Sixth Form College,0,0,1,22,24,19,888,75%,1%,74%,13%,12%,0%,SP,283,81%,5,9,0,3,46,65%,27,41,12,2,559,74%,30,34,25,1,76%,SUPP,74%,14%,14%,0%,SUPP
LA,316,,,,,,,NA,10,NA,NA,2680,80%,2%,78%,38%,36%,4%,SP,1841,88%,6,NA,NA,NA,113,61%,16,NA,NA,NA,726,61%,17,NA,NA,NA,80%,2%,77%,40%,38%,6%,SP
1,317,4001,138518,Ark Isaac Newton Academy,AC,0,0,3,8,16,0,102,91%,6%,85%,35%,32%,0%,0%,102,91%,8,15,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,6%,94%,47%,41%,0%,0%
1,317,4006,102849,Caterham High School,CY,0,0,1,17,24,9,112,80%,1%,79%,9%,9%,1%,0%,112,80%,17,24,9,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,317,4007,102850,Ilford County High School,CY,0,0,3,5,12,-2,141,94%,4%,90%,60%,55%,2%,1%,141,94%,5,11,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,317,4021,102851,Wanstead High School,CY,0,0,3,1,10,-8,76,82%,1%,80%,39%,39%,5%,0%,76,82%,1,9,-7,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,69%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,317,4025,102852,Woodford County High School,CY,0,0,3,5,11,-1,158,96%,1%,95%,65%,58%,5%,0%,158,96%,5,11,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,317,4027,140475,Loxford School,ACC,0,0,1,20,25,14,229,91%,1%,89%,22%,21%,SP,SP,229,91%,20,25,14,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,87%,SUPP,85%,18%,18%,SUPP,SUPP
1,317,4029,102854,Woodbridge High School,CY,0,0,2,13,19,6,162,83%,1%,80%,28%,24%,1%,2%,123,88%,9,16,1,2,0,0%,NA,NA,NA,NA,39,67%,25,40,9,2,89%,SUPP,86%,26%,23%,SUPP,SUPP
1,317,4030,140575,Beal High School,ACC,0,0,2,14,18,9,409,89%,1%,88%,30%,28%,1%,1%,394,90%,13,16,9,2,12,83%,41,68,13,2,3,SUPP,SUPP,SUPP,SUPP,3,87%,1%,85%,31%,29%,1%,0%
1,317,4032,102856,Seven Kings School,CY,0,0,2,9,14,3,227,94%,3%,91%,42%,40%,SP,SP,227,94%,9,14,3,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,SUPP,92%,40%,39%,SUPP,SUPP
1,317,4033,102857,Valentines High School,CY,0,0,1,17,23,10,157,94%,1%,92%,33%,29%,0%,1%,157,94%,17,23,10,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,317,4035,102858,Mayfield School,FD,0,0,1,21,28,13,131,89%,3%,85%,18%,17%,1%,1%,124,89%,19,26,11,1,7,86%,48,84,11,1,0,0%,NA,NA,NA,NA,85%,SUPP,80%,22%,22%,SUPP,SUPP
1,317,4040,133405,Oaks Park High School,CY,0,0,2,8,14,1,182,87%,2%,85%,36%,32%,1%,0%,181,87%,8,13,2,2,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,91%,0%,91%,30%,25%,0%,0%
1,317,4603,102860,Trinity Catholic High School,VA,0,0,3,4,9,-1,223,83%,2%,80%,29%,28%,SP,1%,223,83%,4,9,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,81%,14%,67%,14%,14%,SUPP,0%
1,317,4604,102861,King Solomon High School,VA,0,0,2,15,23,6,103,88%,1%,86%,20%,22%,0%,1%,96,88%,12,19,4,2,7,100%,56,92,19,1,0,0%,NA,NA,NA,NA,81%,SUPP,78%,11%,15%,0%,SUPP
1,317,4605,137418,The Ursuline Academy Ilford,ACC,0,0,3,9,19,-1,60,87%,0%,85%,20%,18%,0%,2%,60,87%,9,19,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,82%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,317,4800,137088,The Palmer Catholic Academy,ACC,0,0,2,15,23,6,88,93%,1%,92%,28%,20%,0%,0%,88,93%,15,23,6,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,317,5400,136267,Chadwell Heath Academy,ACC,0,0,1,18,24,11,172,89%,2%,86%,21%,20%,1%,1%,161,89%,16,22,9,1,11,91%,48,76,19,1,0,0%,NA,NA,NA,NA,89%,SUPP,86%,19%,19%,SUPP,SUPP
LA,317,,,,,,,NA,12,NA,NA,2732,89%,2%,87%,32%,30%,1%,1%,2652,90%,11,NA,NA,NA,38,90%,47,NA,NA,NA,42,64%,23,NA,NA,NA,90%,2%,87%,34%,31%,1%,1%
1,318,4000,139121,St Richard Reynolds Catholic High School,VA,0,0,3,13,26,0,40,93%,0%,93%,43%,38%,0%,0%,40,93%,13,25,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,0%,86%,71%,71%,0%,0%
