"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","RWMEXP_WGTAVG","RWMEXP_DIS_WGTAVG","RWMEXP_NONDIS_WGTAVG","PSEN","SCHOOL-URNS"
"TR01035",3396,"Multi-academy trust","THE HEREFORDSHIRE MARCHES FEDERATION OF ACADEMIES","West Midlands",3,2,106,15.4,23.6,76.4,15.1,3,0,0,0,3,2,1.4,0.2,2.6,"SUPPM","SUPPM","SUPPM",1.7,0.3,3,2,1.3,0.1,2.4,"SUPPM","SUPPM","SUPPM",1.3,0.1,2.6,3,-0.1,-1.2,0.9,"SUPPM","SUPPM","SUPPM",0.6,-0.6,1.8,1.4,0.2,2.6,"SUPPM","SUPPM","SUPPM",1.7,0.3,3.1,1.3,0.1,2.4,"SUPPM","SUPPM","SUPPM",1.3,0,2.7,-0.1,-1.2,0.9,"SUPPM","SUPPM","SUPPM",0.6,-0.7,1.8,"66%","SUPPM","77%",18.9,"136759, 136761, 136765"
"TR01095",3460,"Multi-academy trust","THE HOLY FAMILY OF NAZARETH CATHOLIC ACADEMY TRUST","West Midlands",3,3,92,17.4,15.2,84.8,10.9,3,0,0,0,3,3,0.4,-0.9,1.7,"-2.8","-6.2","0.6",0.9,-0.5,2.3,5,-4.1,-5.3,-2.9,"-6.2","-9.3","-3.1",-3.8,-5.1,-2.5,4,-1.7,-2.8,-0.6,"-4.6","-7.5","-1.7",-1.2,-2.4,0,0.4,-0.9,1.7,"-2.8","-6.2","0.6",0.9,-0.5,2.4,-4.5,-5.7,-3.3,"-7.4","-10.5","-4.2",-4,-5.3,-2.7,-1.7,-2.9,-0.6,"-5","-8","-2",-1.2,-2.4,0.1,"63%","36%","68%",22.8,"141811, 141826, 141831"
"TR03047",5524,"Multi-academy trust","THE HOLY SPIRIT CATHOLIC MULTI ACADEMY COMPANY","West Midlands",4,4,155,15.9,22.6,77.4,23.9,3,1,0,0,4,2,2.3,1.3,3.3,"2.7","0.6","4.7",2.2,1,3.3,2,1.8,0.8,2.7,"2.8","0.9","4.7",1.5,0.4,2.5,2,2.2,1.3,3,"0.9","-0.9","2.7",2.5,1.5,3.5,2.3,1.3,3.3,"2.7","0.6","4.8",2.2,1,3.3,1.8,0.8,2.7,"2.8","0.8","4.7",1.5,0.4,2.5,2.2,1.3,3,"0.9","-0.9","2.8",2.5,1.5,3.5,"79%","66%","83%",14.2,"141747, 141812, 141817, 141823"
"TR01121",3493,"Multi-academy trust","THE HOWARD PARTNERSHIP TRUST","South East and South London",4,4,205,16.5,25.9,74.1,13.2,2,2,0,2,2,3,0,-0.8,0.9,"-1.3","-3","0.4",0.6,-0.5,1.6,5,-3,-3.8,-2.2,"-4.3","-5.9","-2.7",-2.5,-3.4,-1.5,4,-1.3,-2,-0.5,"-2.9","-4.4","-1.4",-0.6,-1.5,0.2,0,-0.9,0.9,"-1.3","-3","0.5",0.5,-0.5,1.5,-3,-3.8,-2.2,"-4.3","-5.9","-2.7",-2.5,-3.4,-1.5,-1.3,-2.1,-0.5,"-2.9","-4.4","-1.4",-0.7,-1.6,0.2,"58%","35%","67%",18,"140348, 141347, 142999, 143000"
"TR01192",3586,"Multi-academy trust","THE KEMNAL ACADEMIES TRUST","South East and South London",26,24,1397,15.8,45.1,54.9,19.9,7,19,0,1,25,4,-0.4,-0.8,-0.1,"-1.1","-1.6","-0.6",0.2,-0.3,0.6,3,-0.3,-0.6,0.1,"-0.9","-1.3","-0.4",0.3,-0.1,0.7,4,-0.8,-1,-0.5,"-1.9","-2.3","-1.5",0.2,-0.2,0.6,-0.5,-0.8,-0.1,"-1.2","-1.7","-0.7",0.1,-0.3,0.6,-0.3,-0.6,0,"-0.9","-1.4","-0.5",0.3,-0.2,0.7,-0.8,-1.1,-0.5,"-2","-2.4","-1.6",0.2,-0.2,0.6,"61%","52%","68%",16.2,"136599, 137136, 137529, 138001, 138049, 138050, 138071, 138402, 138434, 138436, 138438, 138453, 138618, 138645, 138648, 138972, 138994, 139021, 139070, 139273, 139639, 139683, 139958, 140411, 141199, 142723"
"TR03179",15864,"Multi-academy trust","THE KITE ACADEMY TRUST","South East and South London",3,3,154,16.7,18.8,81.2,14.9,3,0,0,3,0,4,-1.5,-2.5,-0.5,"-1.7","-4","0.5",-1.5,-2.6,-0.3,4,-1.5,-2.5,-0.6,"-4.8","-6.9","-2.7",-0.7,-1.7,0.4,3,-0.6,-1.5,0.3,"-1.1","-3.1","0.9",-0.5,-1.5,0.5,-1.6,-2.6,-0.5,"-1.8","-4","0.5",-1.5,-2.7,-0.4,-1.6,-2.6,-0.7,"-5.1","-7.2","-3",-0.7,-1.8,0.4,-0.6,-1.5,0.3,"-1.1","-3.1","0.9",-0.5,-1.5,0.5,"67%","38%","74%",10.4,"142356, 142380, 142415"
"TR01268",3677,"Multi-academy trust","THE LAIDLAW SCHOOLS TRUST","North",3,3,134,14.4,73.9,26.1,45.5,2,1,0,0,3,3,1,-0.1,2.1,"0.5","-0.8","1.8",2.4,0.1,4.6,1,4.4,3.4,5.4,"4.8","3.6","5.9",3.1,1,5.1,2,1.6,0.6,2.6,"1.6","0.5","2.8",1.5,-0.5,3.5,1,-0.2,2.1,"0.5","-0.8","1.8",2.4,0.1,4.7,4.4,3.4,5.5,"4.8","3.6","6",3.1,0.9,5.2,1.6,0.6,2.6,"1.6","0.5","2.8",1.5,-0.5,3.5,"57%","55%","63%",26.1,"135423, 138212, 140788"
"TR03092",5602,"Multi-academy trust","THE LEVELS ACADEMY TRUST","South West",4,3,64,16.5,20.3,79.7,7.8,4,0,0,0,4,3,-0.4,-2,1.2,"-0.7","-4.1","2.6",-0.3,-2.1,1.5,3,0.4,-1.1,1.8,"-0.8","-3.9","2.3",0.7,-0.9,2.4,3,-1.1,-2.5,0.2,"-3.5","-6.5","-0.6",-0.5,-2,1.1,-0.4,-2,1.2,"-0.7","-4.1","2.7",-0.3,-2.1,1.5,0.4,-1.1,1.9,"-0.8","-4","2.3",0.7,-1,2.4,-1.1,-2.5,0.3,"-3.5","-6.5","-0.5",-0.5,-2.1,1.1,"66%","31%","75%",25,"141782, 141790, 141795, 141801"
"TR01419",3884,"Multi-academy trust","THE MEAD ACADEMY TRUST","South West",3,3,129,16.2,24,76,11.6,1,2,0,0,3,5,-3.1,-4.2,-2,"-2.8","-5","-0.6",-3.2,-4.4,-1.9,4,-2.5,-3.5,-1.5,"-3.5","-5.6","-1.5",-2.2,-3.3,-1.1,4,-3,-4,-2.1,"-5.4","-7.3","-3.5",-2.3,-3.4,-1.2,-3.1,-4.2,-2,"-2.8","-5.1","-0.6",-3.2,-4.5,-2,-2.5,-3.5,-1.5,"-3.5","-5.6","-1.5",-2.2,-3.4,-1.1,-3.3,-4.2,-2.3,"-5.6","-7.6","-3.7",-2.5,-3.6,-1.4,"47%","32%","51%",37.2,"138133, 139260, 140223"
"TR02730",15900,"Multi-academy trust","THE MEAD EDUCATIONAL TRUST","East Midlands and Humber",4,4,182,15.4,53.8,46.2,41.8,3,1,0,4,0,2,2.3,1.4,3.3,"3.2","2","4.4",1.2,-0.2,2.6,1,2.7,1.9,3.6,"2.9","1.8","4.1",2.5,1.2,3.8,1,3.7,2.9,4.5,"4.1","3","5.2",3.1,1.9,4.4,2.3,1.4,3.3,"3.2","2","4.5",1.2,-0.2,2.7,2.7,1.9,3.6,"2.9","1.8","4.1",2.5,1.1,3.8,3.7,2.9,4.5,"4.1","3","5.2",3.1,1.9,4.4,"75%","67%","85%",24.2,"141221, 142848, 142857, 142967"
"TR03169",16098,"Multi-academy trust","THE MINERVA LEARNING TRUST (DORSET)","South West",3,3,96,15.1,28.1,71.9,2.1,3,0,0,3,0,1,3.5,2.2,4.7,"5.3","3","7.7",2.7,1.3,4.2,1,2.6,1.4,3.7,"3.8","1.6","5.9",2,0.7,3.4,3,-0.5,-1.6,0.6,"0.1","-1.9","2.1",-0.7,-2,0.6,3.5,2.2,4.7,"5.3","3","7.7",2.7,1.2,4.2,2.6,1.4,3.7,"3.8","1.6","6",2,0.7,3.4,-0.5,-1.6,0.6,"0.1","-2","2.2",-0.7,-2,0.6,"54%","44%","58%",27.1,"142690, 142691, 142692"
"TR03087",15774,"Multi-academy trust","THE MOORLANDS PRIMARY FEDERATION","West Midlands",3,3,40,16.6,22.5,77.5,0,3,0,0,0,3,3,-0.4,-2.4,1.6,"-2","-6.1","2",0.1,-2.2,2.3,3,-1.7,-3.5,0.1,"-4.1","-7.8","-0.4",-1,-3,1.1,5,-3.7,-5.4,-2,"-3.5","-7","0",-3.8,-5.7,-1.8,-0.4,-2.4,1.6,"-2","-6.1","2.1",0.1,-2.2,2.4,-2,-3.8,-0.1,"-5.1","-8.8","-1.3",-1,-3.2,1.1,-3.7,-5.5,-2,"-3.5","-7.1","0.1",-3.8,-5.8,-1.8,"58%","44%","61%",12.5,"141770, 141837, 141848"
"TR01499",3991,"Multi-academy trust","THE NEWMAN CATHOLIC COLLEGIATE","West Midlands",8,8,232,16.6,31.9,68.1,24.1,8,0,0,8,0,4,-1,-1.8,-0.2,"-1.6","-3","-0.1",-0.7,-1.7,0.3,3,-0.5,-1.2,0.2,"-0.6","-2","0.7",-0.4,-1.3,0.5,4,-1.2,-1.9,-0.5,"-1.9","-3.1","-0.7",-0.9,-1.8,-0.1,-1,-1.8,-0.2,"-1.6","-3","-0.1",-0.8,-1.7,0.2,-0.5,-1.3,0.2,"-0.7","-2","0.7",-0.4,-1.4,0.5,-1.3,-2.1,-0.6,"-2","-3.3","-0.8",-1,-1.9,-0.2,"64%","55%","68%",20.7,"140114, 140129, 140141, 140145, 140146, 140148, 140150, 140151"
"TR01568",4095,"Multi-academy trust","THE OLYMPUS ACADEMY TRUST","South West",5,5,238,16,25.6,74.4,15.5,4,1,0,3,2,4,-1,-1.8,-0.2,"-2.1","-3.7","-0.5",-0.7,-1.6,0.3,3,-0.2,-0.9,0.5,"-1","-2.4","0.4",0.1,-0.8,0.9,4,-1,-1.7,-0.3,"-3.6","-4.9","-2.2",-0.1,-1,0.7,-1.1,-1.9,-0.3,"-2.3","-3.9","-0.8",-0.7,-1.6,0.2,-0.2,-1,0.5,"-1","-2.5","0.4",0.1,-0.8,0.9,-1.1,-1.8,-0.4,"-3.8","-5.2","-2.4",-0.2,-1,0.7,"62%","42%","68%",17.6,"140259, 141618, 141638, 142342, 143408"
"TR01592",4127,"Multi-academy trust","THE PAINSLEY CATHOLIC ACADEMY","West Midlands",6,5,149,17.2,13.4,86.6,5.4,6,0,0,6,0,2,1.3,0.3,2.3,"3.1","0.4","5.8",1,-0.1,2,2,1.6,0.7,2.5,"0.5","-2","3",1.7,0.8,2.7,3,0.4,-0.5,1.2,"-0.3","-2.6","2.1",0.5,-0.5,1.4,1.3,0.3,2.3,"3.1","0.3","5.8",1,-0.1,2.1,1.6,0.6,2.5,"0.5","-2","3.1",1.7,0.7,2.7,0.4,-0.5,1.3,"-0.3","-2.7","2.2",0.5,-0.5,1.4,"80%","85%","79%",6,"138722, 138723, 138724, 138725, 138726, 138727"
"TR01596",4134,"Multi-academy trust","THE PARK FEDERATION ACADEMY TRUST","North West London and South Central",6,6,680,16.3,33.7,66.3,77.1,3,3,0,1,5,4,-0.9,-1.4,-0.4,"-1","-1.8","-0.2",-0.9,-1.5,-0.3,2,1.4,0.9,1.8,"1.1","0.4","1.9",1.5,0.9,2,2,0.9,0.5,1.4,"0.3","-0.4","1",1.3,0.8,1.8,-1,-1.5,-0.5,"-1.1","-1.9","-0.2",-0.9,-1.5,-0.3,1.3,0.9,1.8,"1.1","0.4","1.9",1.5,0.9,2,0.9,0.5,1.3,"0.2","-0.5","1",1.3,0.7,1.8,"65%","62%","67%",12.8,"138613, 138621, 139333, 140335, 140857, 144501"
"TR01652",4209,"Multi-academy trust","THE PIONEER ACADEMY","South East and South London",4,4,309,16.5,31.4,68.6,11,2,2,0,1,3,2,1.2,0.5,1.9,"0.6","-0.6","1.9",1.5,0.7,2.4,2,1.4,0.8,2.1,"0.2","-0.9","1.4",2,1.3,2.8,2,1,0.4,1.7,"-0.5","-1.6","0.6",1.8,1,2.5,1.2,0.5,2,"0.6","-0.6","1.9",1.5,0.7,2.4,1.4,0.8,2.1,"0.2","-1","1.4",2,1.2,2.8,1,0.4,1.6,"-0.6","-1.7","0.6",1.8,1,2.5,"72%","60%","78%",18.1,"137035, 139115, 141976, 143110"
"TR01680",4245,"Multi-academy trust","THE PRIMARY FIRST TRUST","South East and South London",5,5,288,16.9,28.8,71.2,11.1,2,3,0,1,4,3,-0.3,-1,0.4,"0.7","-0.6","2.1",-0.7,-1.5,0.2,3,-0.1,-0.8,0.6,"0","-1.2","1.3",-0.1,-0.9,0.6,3,0,-0.7,0.6,"-0.1","-1.3","1.1",0,-0.7,0.8,-0.4,-1.1,0.4,"0.7","-0.6","2.1",-0.8,-1.7,0.1,-0.1,-0.8,0.6,"0","-1.3","1.3",-0.1,-0.9,0.7,0,-0.7,0.6,"-0.1","-1.3","1.1",0,-0.8,0.8,"75%","65%","79%",18.8,"140321, 141114, 141224, 141866, 143909"
"TR02610",5013,"Multi-academy trust","THE RAINBOW MULTI ACADEMY TRUST","South West",3,3,77,16.9,31.2,68.8,5.2,3,0,0,0,3,3,0.4,-1,1.8,"-1.3","-3.7","1.2",1.1,-0.5,2.8,3,0.1,-1.2,1.4,"0","-2.3","2.2",0.2,-1.4,1.7,3,0.5,-0.7,1.7,"0.7","-1.5","2.8",0.5,-1,1.9,0.4,-1,1.8,"-1.3","-3.8","1.2",1.1,-0.6,2.9,0.1,-1.2,1.4,"0","-2.4","2.3",0.2,-1.4,1.7,0.5,-0.7,1.8,"0.7","-1.5","2.9",0.5,-1,2,"73%","71%","74%",20.8,"140741, 140781, 140790"
"TR01773",5598,"Multi-academy trust","THE REDSTART LEARNING PARTNERSHIP","South West",4,3,113,15.8,34.5,65.5,5.3,1,3,0,1,3,3,-0.5,-1.7,0.6,"-1.2","-3.2","0.7",-0.1,-1.6,1.3,3,-0.6,-1.7,0.5,"-1.9","-3.7","-0.1",0.1,-1.3,1.4,4,-1.7,-2.7,-0.7,"-2.6","-4.3","-0.9",-1.3,-2.6,0,-0.5,-1.7,0.6,"-1.2","-3.2","0.7",-0.2,-1.6,1.3,-0.6,-1.7,0.5,"-1.9","-3.7","-0.1",0.1,-1.3,1.4,-1.7,-2.8,-0.7,"-2.6","-4.3","-0.8",-1.3,-2.6,0,"53%","41%","60%",22.1,"136926, 141695, 141740, 143143"
"TR02978",4369,"Multi-academy trust","THE RIVERS C OF E MULTI ACADEMY TRUST","West Midlands",6,6,250,16,26.4,73.6,4.8,5,1,0,3,3,2,1.5,0.7,2.3,"1.7","0.2","3.2",1.5,0.6,2.4,2,1.9,1.2,2.6,"1.6","0.3","3",2,1.2,2.8,2,1,0.3,1.7,"1.5","0.2","2.8",0.8,0,1.6,1.5,0.7,2.3,"1.7","0.1","3.2",1.5,0.6,2.4,1.9,1.2,2.6,"1.6","0.2","3",2,1.2,2.9,1,0.3,1.7,"1.5","0.2","2.8",0.8,0,1.6,"71%","56%","77%",17.6,"141246, 141412, 141443, 142706, 143394, 143396"
"TR03094",15711,"Multi-academy trust","THE ROMERO CATHOLIC ACADEMY","West Midlands",7,7,265,16.5,28.7,71.3,35.5,7,0,0,0,7,3,0.2,-0.5,1,"-1","-2.4","0.4",0.8,-0.1,1.7,2,1.6,0.9,2.3,"1","-0.3","2.3",1.8,1,2.6,2,0.9,0.3,1.6,"0.3","-0.9","1.6",1.2,0.4,1.9,0.2,-0.5,1,"-1","-2.4","0.4",0.8,-0.1,1.7,1.6,0.9,2.3,"1","-0.3","2.3",1.8,0.9,2.6,0.9,0.2,1.6,"0.3","-0.9","1.5",1.2,0.4,2,"72%","62%","76%",17,"142195, 142197, 142205, 142211, 142212, 142215, 142217"
"TR01817",4397,"Multi-academy trust","THE ROSEDALE HEWENS ACADEMY TRUST","North West London and South Central",3,3,174,15.9,38.5,61.5,69.5,0,2,1,0,3,1,3.4,2.4,4.3,"3.5","2","5.1",3.3,2,4.5,2,1.8,0.9,2.7,"1.6","0.2","3",1.9,0.7,3.1,1,3.5,2.7,4.4,"2.5","1.2","3.8",4.3,3.2,5.4,3.4,2.4,4.3,"3.5","2","5.1",3.3,2,4.6,1.8,0.9,2.7,"1.6","0.2","3.1",1.9,0.7,3.1,3.5,2.6,4.4,"2.5","1.1","3.9",4.2,3.1,5.3,"70%","69%","71%",6.3,"139117, 139909, 141561"
"TR02979",4422,"Multi-academy trust","THE RUTLAND LEARNING TRUST","East Midlands and Humber",3,3,76,17,7.9,92.1,0,3,0,0,3,0,3,-0.3,-1.7,1.1,"-3.5","-8.5","1.4",0,-1.5,1.4,4,-1.6,-2.9,-0.3,"-3.3","-7.9","1.2",-1.4,-2.8,-0.1,3,0.2,-1,1.5,"-0.2","-4.6","4.1",0.3,-1,1.5,-0.3,-1.7,1.1,"-3.5","-8.5","1.5",0,-1.5,1.4,-1.6,-2.9,-0.3,"-3.3","-8","1.3",-1.4,-2.8,-0.1,0.2,-1,1.5,"-0.2","-4.6","4.2",0.3,-1,1.6,"72%","33%","76%",19.7,"141452, 141453, 141454"
"TR00233",2350,"Multi-academy trust","THE SEA VIEW TRUST","Lancashire and West Yorkshire",3,3,232,15.2,53,47,9.5,2,1,0,0,3,4,-1.6,-2.4,-0.8,"-2.1","-3.2","-1",-1,-2.2,0.2,3,-0.5,-1.3,0.2,"-0.4","-1.4","0.7",-0.6,-1.7,0.5,3,0.3,-0.4,1,"-0.3","-1.3","0.6",1,0,2.1,-1.6,-2.4,-0.8,"-2.1","-3.2","-1",-1,-2.2,0.2,-0.5,-1.3,0.3,"-0.4","-1.4","0.7",-0.6,-1.7,0.5,0.3,-0.5,1,"-0.4","-1.4","0.6",1,-0.1,2.1,"53%","45%","63%",20.3,"140124, 140128, 140673"
"TR03163",5612,"Multi-academy trust","THE SHIRE LEARNING TRUST","West Midlands",3,3,65,16.3,18.5,81.5,0,3,0,0,0,3,2,2.2,0.6,3.7,"1.6","-2.5","5.6",2.2,0.6,3.9,3,0.1,-1.3,1.5,"-0.7","-4.1","2.7",0.2,-1.3,1.8,3,-1.2,-2.6,0.1,"-1.6","-5.1","1.9",-1.1,-2.6,0.3,2.2,0.6,3.8,"1.6","-2.5","5.7",2.2,0.5,4,0.1,-1.3,1.5,"-0.7","-4.1","2.7",0.2,-1.3,1.8,-1.2,-2.6,0.1,"-1.6","-5.2","2",-1.1,-2.6,0.3,"68%","33%","75%",12.3,"141779, 141783, 141856"
"TR02866",4519,"Multi-academy trust","THE SHROPSHIRE GATEWAY EDUCATIONAL TRUST","West Midlands",3,3,80,17.1,28.8,71.3,0,3,0,0,0,3,3,1.1,-0.3,2.5,"0.3","-2.2","2.8",1.4,-0.2,3.1,2,2,0.7,3.3,"1.5","-0.8","3.8",2.2,0.7,3.8,2,1.4,0.1,2.6,"1","-1.2","3.2",1.5,0,2.9,1.1,-0.3,2.5,"0.3","-2.3","2.8",1.4,-0.3,3.1,2,0.7,3.3,"1.5","-0.9","3.9",2.2,0.7,3.8,1.2,0,2.4,"1","-1.2","3.3",1.3,-0.2,2.8,"76%","70%","79%",12.5,"141636, 141637, 142312"
"TR01919",4524,"Multi-academy trust","THE SILVER BIRCH ACADEMY","East of England and North East London",3,3,145,16.7,42.1,57.9,52.4,2,1,0,1,2,4,-1.1,-2.1,-0.1,"-1.2","-2.7","0.4",-1,-2.4,0.3,4,-1.7,-2.7,-0.8,"-1.3","-2.8","0.1",-2.1,-3.3,-0.8,3,-0.4,-1.3,0.5,"-0.5","-1.9","0.9",-0.3,-1.4,0.9,-1.1,-2.2,-0.1,"-1.2","-2.7","0.4",-1.1,-2.5,0.3,-1.7,-2.7,-0.8,"-1.3","-2.8","0.1",-2.1,-3.3,-0.8,-0.4,-1.3,0.5,"-0.5","-1.9","0.9",-0.3,-1.5,0.9,"62%","60%","64%",11.7,"138325, 139317, 142461"
"TR03105",15715,"Multi-academy trust","THE SMALL SCHOOLS MULTI ACADEMY TRUST","West Midlands",3,2,31,17.6,12.9,87.1,0,3,0,0,0,3,3,1.1,-1.1,3.3,"SUPPM","SUPPM","SUPPM",0.9,-1.4,3.2,3,1.3,-0.7,3.4,"SUPPM","SUPPM","SUPPM",1.7,-0.4,3.9,3,1,-0.9,3,"SUPPM","SUPPM","SUPPM",1.5,-0.6,3.5,1.1,-1.2,3.3,"SUPPM","SUPPM","SUPPM",0.9,-1.5,3.3,1.3,-0.7,3.4,"SUPPM","SUPPM","SUPPM",1.7,-0.5,3.9,1,-0.9,3,"SUPPM","SUPPM","SUPPM",1.5,-0.6,3.5,"90%","SUPPM","93%",9.7,"142095, 142096, 142097"
"TR01987",4609,"Multi-academy trust","THE SPENCER ACADEMIES TRUST","East Midlands and Humber",7,7,421,15.7,38.2,61.8,11.4,2,5,0,0,7,3,-0.2,-0.8,0.4,"-0.8","-1.7","0.2",0.1,-0.7,0.9,2,2.1,1.6,2.7,"1.2","0.3","2.1",2.7,2,3.4,2,0.8,0.2,1.3,"-0.2","-1","0.7",1.3,0.7,2,-0.3,-0.9,0.3,"-0.8","-1.7","0.2",0.1,-0.7,0.8,2.1,1.6,2.7,"1.2","0.3","2.1",2.7,2,3.5,0.7,0.2,1.2,"-0.2","-1.1","0.6",1.3,0.6,2,"67%","55%","75%",17.8,"138070, 138443, 140071, 140548, 140550, 140613, 142043"
"TR00996",3496,"Multi-academy trust","THE SPRING PARTNERSHIP TRUST","South East and South London",3,3,175,16.9,32.6,67.4,15.4,2,1,0,1,2,4,-1.1,-2.1,-0.2,"-1.7","-3.3","-0.1",-0.9,-2,0.3,3,0.4,-0.4,1.3,"0.9","-0.6","2.4",0.2,-0.8,1.2,4,-1,-1.9,-0.2,"-3.7","-5.1","-2.3",0.2,-0.8,1.2,-1.1,-2.1,-0.2,"-1.7","-3.4","-0.1",-0.9,-2,0.3,0.4,-0.4,1.3,"0.9","-0.6","2.4",0.2,-0.9,1.3,-1.1,-1.9,-0.2,"-3.7","-5.2","-2.3",0.2,-0.8,1.2,"71%","54%","78%",19.4,"136920, 140533, 141117"
"TR02200",4850,"Multi-academy trust","THE STOUR ACADEMY TRUST","South East and South London",5,5,119,16.9,36.1,63.9,8.4,2,3,0,0,5,3,-1.1,-2.3,0,"-1.5","-3.5","0.4",-1,-2.5,0.5,2,1.2,0.1,2.3,"1.1","-0.7","2.9",1.3,-0.1,2.6,3,-1,-2,0,"-1.1","-2.9","0.6",-1,-2.3,0.3,-1.2,-2.4,0,"-1.6","-3.6","0.4",-1.2,-2.7,0.3,1.1,0,2.2,"0.8","-1","2.6",1.3,-0.1,2.7,-1,-2,0.1,"-1.1","-2.9","0.6",-1,-2.3,0.3,"71%","58%","79%",22.7,"138579, 138738, 141308, 141548, 141881"
"TR02276",5049,"Multi-academy trust","THE THINKING SCHOOLS ACADEMY TRUST","South East and South London",6,6,422,16.2,40.5,59.5,18.7,3,3,0,1,5,2,1.1,0.5,1.7,"0","-1","0.9",1.9,1.1,2.7,3,-0.1,-0.6,0.5,"-1.6","-2.5","-0.7",1,0.3,1.8,2,1.5,0.9,2,"0.2","-0.7","1",2.4,1.7,3.1,1,0.4,1.7,"-0.1","-1.1","0.8",1.8,1,2.7,-0.1,-0.6,0.5,"-1.6","-2.5","-0.7",1,0.3,1.8,1.5,0.9,2,"0.1","-0.7","1",2.4,1.7,3.1,"67%","54%","75%",13.7,"138182, 140215, 140606, 141530, 141531, 142817"
"TR03504",16168,"Multi-academy trust","THE TILIAN PARTNERSHIP","East of England and North East London",4,4,46,16.7,21.7,78.3,2.2,4,0,0,4,0,3,1.6,-0.2,3.4,"-1.8","-5.6","2",2.5,0.5,4.6,3,0.4,-1.2,2.1,"-1.3","-4.8","2.2",0.9,-1,2.8,3,-0.9,-2.5,0.7,"-2.7","-6.1","0.6",-0.4,-2.1,1.4,1.6,-0.2,3.4,"-1.8","-5.7","2.1",2.5,0.5,4.6,0.4,-1.3,2.1,"-1.3","-4.9","2.3",0.9,-1,2.8,-0.9,-2.5,0.7,"-2.7","-6.1","0.7",-0.4,-2.2,1.5,"74%","60%","78%",13,"143056, 143065, 143070, 143071"
"TR02369",5186,"Multi-academy trust","THE VILLAGE ACADEMY","South East and South London",6,6,122,16.4,31.1,68.9,4.1,4,2,0,1,5,3,-1,-2.2,0.1,"-1.9","-3.9","0.2",-0.7,-2,0.7,3,-0.4,-1.4,0.7,"-1.3","-3.1","0.6",0,-1.2,1.3,3,-0.7,-1.7,0.2,"-1.9","-3.7","-0.1",-0.2,-1.4,1,-1.1,-2.2,0.1,"-1.9","-4","0.2",-0.7,-2,0.7,-0.4,-1.4,0.7,"-1.3","-3.1","0.6",0,-1.2,1.3,-0.7,-1.8,0.3,"-1.9","-3.7","-0.1",-0.2,-1.4,1,"58%","40%","67%",3.3,"137467, 137481, 137483, 139810, 141660, 142347"
