"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","RWMEXP_WGTAVG","RWMEXP_DIS_WGTAVG","RWMEXP_NONDIS_WGTAVG","PSEN","SCHOOL-URNS"
"TR02644",4963,"Multi-academy trust","THE EVELEIGH LINK ACADEMY TRUST","East of England and North East London",5,5,160,15.9,27.5,72.5,7.5,2,3,0,2,3,3,-1,-1.9,0,"-1.1","-3","0.8",-0.9,-2,0.3,2,1.4,0.5,2.3,"-0.2","-1.9","1.5",2,1,3.1,3,0.3,-0.6,1.1,"0.1","-1.5","1.7",0.3,-0.7,1.3,-1,-2,0,"-1.1","-3","0.8",-0.9,-2.1,0.2,1.3,0.4,2.2,"-0.5","-2.2","1.3",2,0.9,3.1,0.2,-0.7,1.1,"0.1","-1.6","1.7",0.2,-0.8,1.2,"64%","52%","69%",18.8,"140375, 140744, 141511, 142254, 143124"
"TR00770",3080,"Multi-academy trust","THE FALLIBROOME TRUST","West Midlands",4,1,71,17.2,7,93,0,3,1,0,2,2,2,2.4,1,3.8,"SUPPM","SUPPM","SUPPM",2.3,0.8,3.8,4,-2.2,-3.5,-0.8,"SUPPM","SUPPM","SUPPM",-2.1,-3.5,-0.8,3,1.1,-0.1,2.4,"SUPPM","SUPPM","SUPPM",1.1,-0.2,2.4,2.4,0.9,3.8,"SUPPM","SUPPM","SUPPM",2.3,0.8,3.8,-2.2,-3.5,-0.8,"SUPPM","SUPPM","SUPPM",-2.2,-3.6,-0.8,1.1,-0.1,2.4,"SUPPM","SUPPM","SUPPM",1.1,-0.2,2.4,"77%","SUPPM","79%",15.5,"140598, 141193, 141306, 143154"
"TR00793",3104,"Multi-academy trust","THE FIRST FEDERATION TRUST","South West",8,6,216,16.6,23.6,76.4,1.9,6,2,0,1,7,3,0.7,-0.2,1.5,"-0.2","-1.9","1.5",0.9,-0.1,1.9,3,0,-0.8,0.8,"-0.7","-2.2","0.9",0.2,-0.7,1.1,3,-0.5,-1.2,0.3,"-1.8","-3.3","-0.3",-0.1,-0.9,0.8,0.7,-0.2,1.5,"-0.2","-1.9","1.5",0.9,-0.1,1.9,0,-0.8,0.8,"-0.7","-2.3","0.9",0.2,-0.7,1.1,-0.5,-1.2,0.3,"-1.9","-3.4","-0.4",-0.1,-0.9,0.8,"68%","46%","75%",17.1,"137642, 137662, 137664, 137665, 137666, 138631, 142044, 142390"
"TR03049",5476,"Multi-academy trust","THE GOOD SHEPHERD MULTI ACADEMY TRUST","North",3,2,34,16.9,8.8,91.2,0,2,1,0,1,2,3,-0.5,-2.6,1.5,"SUPPM","SUPPM","SUPPM",-1,-3.1,1.2,3,0.1,-1.8,2,"SUPPM","SUPPM","SUPPM",-0.2,-2.2,1.8,3,-1,-2.8,0.8,"SUPPM","SUPPM","SUPPM",-1.1,-3,0.8,-0.5,-2.6,1.6,"SUPPM","SUPPM","SUPPM",-1,-3.2,1.2,0.1,-1.9,2,"SUPPM","SUPPM","SUPPM",-0.2,-2.2,1.9,-1,-2.8,0.8,"SUPPM","SUPPM","SUPPM",-1.1,-3,0.8,"77%","SUPPM","78%",11.8,"141711, 141978, 142106"
"TR00873",3201,"Multi-academy trust","THE GOOD SHEPHERD TRUST","South East and South London",7,7,351,16.8,21.7,78.3,9.4,2,5,0,0,7,3,0.2,-0.5,0.8,"-0.2","-1.6","1.2",0.3,-0.5,1,4,-2.2,-2.8,-1.6,"-2.5","-3.8","-1.2",-2.1,-2.8,-1.4,3,-0.2,-0.8,0.4,"-0.9","-2.2","0.3",0,-0.7,0.7,0.2,-0.5,0.8,"-0.2","-1.7","1.2",0.3,-0.5,1,-2.4,-3,-1.8,"-2.5","-3.8","-1.2",-2.3,-3,-1.6,-0.3,-0.9,0.3,"-1","-2.3","0.3",-0.1,-0.7,0.6,"65%","50%","69%",19.4,"139721, 139920, 140026, 140028, 141294, 141446, 142083"
"TR00878",3206,"Multi-academy trust","THE GORSE ACADEMIES TRUST","Lancashire and West Yorkshire",3,3,156,14.7,49.4,50.6,35.9,1,2,0,0,3,1,4.1,3.1,5.1,"4.3","2.9","5.7",3.9,2.5,5.4,1,3.8,2.9,4.7,"2.8","1.5","4.1",4.8,3.5,6.1,1,3.8,2.9,4.7,"3.2","1.9","4.4",4.5,3.3,5.8,4.1,3.1,5.2,"4.3","2.9","5.7",3.9,2.5,5.4,3.8,2.8,4.7,"2.8","1.5","4.1",4.8,3.4,6.1,3.8,2.9,4.7,"3.2","1.9","4.5",4.5,3.3,5.8,"69%","55%","82%",23.1,"140413, 140824, 141797"
"TR00921",3262,"Multi-academy trust","THE GRIFFIN SCHOOLS TRUST","West Midlands",10,10,470,15.8,42.8,57.2,24,0,10,0,0,10,2,1.5,1,2.1,"1","0.1","1.8",2.1,1.3,2.8,2,1.1,0.6,1.7,"0.9","0.1","1.7",1.4,0.7,2.1,2,2.3,1.8,2.8,"1.4","0.6","2.1",3,2.3,3.7,1.5,0.9,2.1,"0.9","0","1.8",2,1.2,2.8,1.1,0.6,1.6,"0.8","0","1.6",1.4,0.7,2.1,2.2,1.7,2.7,"1.3","0.5","2.1",3,2.3,3.7,"74%","69%","78%",15.7,"138364, 138431, 139001, 139437, 139723, 139927, 139928, 140004, 140159, 140186"
"SP00251",3278,"School sponsor","The Haberdashers' Livery Company","South East and South London",3,3,178,16.5,36,64,21.9,0,3,0,0,3,3,0.8,-0.1,1.8,"1.2","-0.3","2.7",0.6,-0.6,1.8,2,1.1,0.2,2,"1.1","-0.3","2.5",1.1,0,2.2,2,2.2,1.3,3,"2.6","1.1","4",2,0.9,3,0.8,-0.2,1.7,"1.2","-0.4","2.7",0.5,-0.7,1.7,1.1,0.2,1.9,"1.1","-0.3","2.5",1.1,-0.1,2.2,2.1,1.2,2.9,"2.5","1","4",1.8,0.7,2.9,"70%","55%","78%",16.3,"135070, 135073, 135951"
"TR00948",3294,"Multi-academy trust","THE HALLAM SCHOOLS' PARTNERSHIP ACADEMY TRUST","East Midlands and Humber",3,3,106,16.1,29.2,70.8,17.9,0,3,0,0,3,4,-2.2,-3.4,-1,"-1.4","-3.5","0.8",-2.5,-4,-1.1,3,-0.4,-1.5,0.7,"0","-2","2",-0.6,-1.9,0.7,4,-2,-3.1,-1,"-2.1","-4","-0.2",-2,-3.2,-0.8,-2.2,-3.4,-1,"-1.4","-3.6","0.8",-2.6,-4,-1.1,-0.4,-1.5,0.7,"0","-2","2.1",-0.6,-2,0.7,-2.1,-3.1,-1,"-2.1","-4.1","-0.2",-2,-3.3,-0.8,"55%","45%","59%",22.6,"140025, 140340, 140826"
"TR02268",3316,"Multi-academy trust","THE HARMONY TRUST LTD","Lancashire and West Yorkshire",5,5,240,14.4,48.8,51.3,82.5,1,4,0,1,4,3,0.6,-0.3,1.4,"0.8","-0.3","2",0.3,-0.9,1.5,1,3.5,2.7,4.2,"3","2","4.1",3.9,2.8,5,2,2.4,1.7,3.2,"2.3","1.2","3.3",2.7,1.6,3.7,0.6,-0.3,1.4,"0.8","-0.3","2",0.3,-0.9,1.5,3.5,2.7,4.2,"3","1.9","4.1",3.9,2.8,5,2.4,1.7,3.2,"2.3","1.2","3.3",2.7,1.6,3.7,"59%","57%","60%",31.3,"139651, 140579, 141333, 141401, 142412"
"TR01010",15730,"Multi-academy trust","THE HEART EDUCATION TRUST","East of England and North East London",4,4,131,15.6,45.8,54.2,14.5,1,3,0,3,1,3,0,-1,1.1,"0.7","-0.9","2.2",-0.5,-2,1,1,2.6,1.6,3.6,"2.5","1.1","4",2.8,1.4,4.1,3,-0.7,-1.7,0.2,"-1.1","-2.5","0.3",-0.3,-1.6,1,0,-1.1,1.1,"0.7","-0.9","2.3",-0.5,-2,1,2.6,1.6,3.6,"2.5","1.1","4",2.8,1.3,4.2,-0.8,-1.7,0.2,"-1.1","-2.5","0.3",-0.4,-1.7,0.9,"63%","58%","67%",19.8,"139491, 142005, 142634, 142818"
