RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,926,4081,136515,Springwood High School,ACC,0,0,,3,-3,145,70%,2%,68%,31%,16%,0%,0%,145,70%,-3,3,0,NA,NA,NA,0,NA,NA,NA,75%,0%,75%,SUPP,SUPP,0%,0%
1,926,4083,143278,Thorpe St Andrew School and Sixth Form,ACC,0,0,,3,3,149,72%,0%,71%,35%,13%,0%,1%,140,74%,3,3,9,44%,-10,3,0,NA,NA,NA,73%,0%,SUPP,53%,SUPP,0%,SUPP
1,926,4084,139487,Taverham High School,ACC,0,0,,3,-8,79,67%,1%,63%,29%,14%,0%,3%,79,67%,-8,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP
1,926,4089,137092,Diss High School,ACC,0,0,,3,-8,84,62%,5%,57%,31%,13%,1%,0%,84,62%,-8,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,926,4605,137913,"Notre Dame High School, Norwich",ACC,0,0,,3,2,176,83%,1%,81%,51%,32%,3%,1%,176,83%,2,3,0,NA,NA,NA,0,NA,NA,NA,75%,SUPP,SUPP,63%,SUPP,0%,SUPP
1,926,5400,136481,Wymondham College,ACC,0,0,,3,2,214,79%,1%,78%,44%,29%,3%,0%,214,79%,2,3,0,NA,NA,NA,0,NA,NA,NA,71%,SUPP,SUPP,43%,SUPP,0%,0%
1,926,5406,137621,Sheringham High School,ACC,0,0,,3,-7,59,68%,0%,64%,32%,27%,2%,3%,59,68%,-7,3,0,NA,NA,NA,0,NA,NA,NA,57%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,926,6905,135650,The Open Academy,AC,0,0,,5,-20,58,33%,0%,31%,12%,2%,0%,2%,58,33%,-20,4,0,NA,NA,NA,0,NA,NA,NA,SUPP,0%,SUPP,SUPP,SUPP,0%,SUPP
1,926,6907,136186,Ormiston Victory Academy,AC,0,0,,4,-14,72,44%,0%,43%,19%,3%,0%,1%,65,45%,-17,4,3,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,39%,0%,SUPP,SUPP,SUPP,0%,SUPP
1,926,6910,136204,The Thetford Academy,AC,0,0,,3,-9,48,46%,0%,46%,4%,2%,0%,0%,37,46%,-15,4,11,45%,13,3,0,NA,NA,NA,50%,0%,50%,SUPP,SUPP,0%,0%
