RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,203,4007,145315,The Halley Academy,0,AC,188,32.7,145,5,-1.08,-1.28,-0.87,-1.1,-1.32,-0.89,33.0%,14.9%,2.96,48.4%,10.1%,6.9%,25.0%,5
1,203,4000,138449,Harris Academy Greenwich,0,AC,187,54.8,178,3,0.56,0.37,0.75,0.55,0.36,0.74,79.1%,57.2%,5.28,87.2%,50.3%,34.2%,74.3%,1
1,203,4003,142608,International Academy of Greenwich,0,F
1,203,4009,147439,The John Roan School,0,AC
1,203,4508,100192,The John Roan School,1,VC,221,39.8,207,4,-0.83,-1.01,-0.66,-0.85,-1.03,-0.67,54.8%,31.7%,3.61,63.8%,17.6%,9.5%,45.7%,5
2,203,7118,100204,King's Oak School,0,CYS,9,9.6,8,0,-1.9,-2.79,-1.01,-1.9,-2.81,-0.99,0.0%,0.0%,0.19,0.0%,0.0%,0.0%,0.0%,5
1,203,4008,145895,Leigh Academy Blackheath,0,F
1,203,4130,100183,Plumstead Manor School,0,CY,232,41.6,200,5,-0.28,-0.46,-0.11,-0.3,-0.48,-0.12,51.7%,33.2%,3.55,41.8%,22.0%,11.6%,49.1%,4
1,203,6004,141315,Pulse and Water College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6300,134402,Right Choice Independent Special School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,6169,100200,Riverston School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4006,143927,Royal Greenwich Trust School,0,F
1,203,3526,100171,Saint Mary Magdalene Church of England All Through School,0,VA
1,203,6905,105135,St Paul's Academy,0,AC,240,45.1,228,1,-0.04,-0.21,0.12,-0.04,-0.21,0.13,64.6%,43.8%,3.9,72.9%,20.8%,9.6%,59.2%,3
1,203,4716,141716,St Thomas More Catholic Comprehensive School,0,ACC,123,58.8,120,1,0.9,0.67,1.13,0.9,0.66,1.13,90.2%,61.0%,5.27,48.0%,36.6%,22.8%,89.4%,1
1,203,4682,100193,St Ursula's Convent School,0,VA,116,59.2,114,0,0.85,0.62,1.09,0.85,0.61,1.09,83.6%,62.9%,5.39,84.5%,59.5%,38.8%,82.8%,1
1,203,4271,141309,Stationers' Crown Woods Academy,0,ACC,254,42.3,249,3,-0.61,-0.77,-0.45,-0.62,-0.78,-0.45,63.4%,38.2%,3.66,35.0%,18.1%,9.8%,51.6%,5
1,203,6041,136100,StreetVibes Media Academy,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,203,4294,100190,Thomas Tallis School,0,CY,260,45.4,244,7,-0.41,-0.57,-0.25,-0.43,-0.59,-0.26,57.7%,35.8%,3.92,33.1%,21.2%,13.5%,54.2%,4
