RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,352,6021,105588,Chetham's School of Music,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,4281,139148,Chorlton High School,0,ACC,295,49.2,289,6,0.1,-0.04,0.25,0.1,-0.05,0.25,69.5%,52.9%,4.52,56.9%,38.0%,29.2%,63.1%,3
1,352,4014,145873,CHS South,0,F
1,352,6914,136174,Co-op Academy Manchester,0,AC,162,47.4,129,2,0.07,-0.15,0.29,0.06,-0.17,0.29,59.9%,29.6%,3.96,30.9%,14.2%,8.0%,57.4%,3
1,352,4008,142762,Co-op Academy North Manchester,0,AC,200,37.1,136,4,-0.62,-0.84,-0.41,-0.63,-0.85,-0.41,41.5%,18.5%,3.23,35.5%,10.0%,6.5%,38.5%,5
1,352,4007,141884,Dean Trust Ardwick,0,AC
1,352,4010,144494,The East Manchester Academy,0,AC,177,37.3,165,10,-0.8,-1,-0.61,-0.85,-1.05,-0.65,42.9%,22.6%,3.39,46.3%,23.7%,14.7%,36.7%,5
1,352,4011,144744,"Eden Boys' Leadership Academy, Manchester",0,F
1,352,4012,144745,"Eden Girls' Leadership Academy , Manchester",0,F
1,352,6053,131015,Etz Chaim Boys School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,352,7001,145845,Grange School,0,ACS
2,352,7055,105622,Grange School,1,CYS,11,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,352,6010,141680,Harpurhey Alternative Provision School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,6049,131979,Kassim Darwish Grammar School for Boys,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,4810,137309,The King David High School,0,ACC,97,59.5,88,2,0.22,-0.05,0.49,0.16,-0.11,0.44,85.6%,74.2%,5.25,25.8%,24.7%,23.7%,82.5%,3
1,352,6037,105596,King of Kings School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,352,7029,105608,Lancasterian School,0,CYS,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,352,4005,141196,Levenshulme High School,0,AC,199,54.1,155,0,1.15,0.95,1.35,1.15,0.95,1.36,72.9%,55.8%,5.15,68.8%,57.3%,40.2%,71.4%,1
1,352,4753,105574,Loreto High School Chorlton,0,VA,144,42.4,132,3,-0.13,-0.35,0.09,-0.16,-0.38,0.06,63.9%,41.0%,3.63,34.7%,19.4%,11.8%,59.0%,3
1,352,6905,134224,Manchester Academy,0,AC,197,39.6,160,5,-0.1,-0.3,0.1,-0.12,-0.33,0.08,52.8%,31.0%,3.18,7.6%,2.5%,0.5%,46.2%,3
1,352,6913,136105,Manchester Communication Academy,0,AC,219,42.7,190,4,0.05,-0.13,0.23,0.04,-0.15,0.22,47.0%,27.9%,3.76,62.1%,25.6%,13.7%,46.6%,3
1,352,6908,135874,Manchester Enterprise Academy,0,AC,142,37.9,125,5,-0.44,-0.67,-0.22,-0.47,-0.7,-0.24,45.1%,21.8%,3.37,54.2%,21.1%,11.3%,40.8%,4
1,352,4013,144755,Manchester Enterprise Academy Central,0,F
1,352,6029,105591,The Manchester Grammar School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,6909,135875,Manchester Health Academy,0,AC,106,36.2,101,5,-0.93,-1.18,-0.68,-0.98,-1.24,-0.73,45.3%,20.8%,2.97,7.5%,3.8%,2.8%,37.7%,5
1,352,6030,105592,Manchester High School for Girls,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,6040,130318,Manchester Islamic Grammar School for Girls,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,352,6062,135027,Manchester Jewish School for Special Education,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,6011,142224,Manchester Vocational and Learning Academy,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,6071,136264,Manchester Young Lives,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,352,7042,105614,Meade Hill School,0,CYS,19,6.8,19,0,-2.21,-2.79,-1.64,-2.21,-2.8,-1.63,5.3%,0.0%,0.25,0.0%,0.0%,0.0%,0.0%,5
2,352,7043,138532,Melland High School,0,ACCS,20,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,352,6006,137887,Music Stuff,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,4006,141392,Newall Green High School,0,AC,135,30.1,123,8,-1.29,-1.52,-1.07,-1.32,-1.55,-1.09,40.0%,18.5%,2.77,40.7%,10.4%,3.7%,28.1%,5
2,352,7061,132905,North Ridge High School,0,CYS,18,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,352,4761,105576,Our Lady's RC High School,0,VA,158,44.8,112,0,0.02,-0.21,0.26,0.02,-0.22,0.26,56.3%,33.5%,3.86,42.4%,19.6%,13.9%,53.2%,3
1,352,4248,143260,Parrs Wood High School,0,ACC,308,48.5,290,5,-0.04,-0.19,0.1,-0.06,-0.21,0.09,67.9%,45.8%,4.29,44.5%,26.6%,21.8%,64.6%,3
2,352,7000,142893,Pioneer House High School,0,FS,8,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
2,352,7039,141805,Piper Hill High School,0,ACCS,19,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,352,6032,105594,St Bede's College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,4762,105577,St Matthew's RC High School,0,VA,220,39.2,214,7,-0.9,-1.07,-0.73,-0.92,-1.1,-0.75,46.4%,33.2%,3.5,50.9%,25.5%,17.3%,42.3%,5
1,352,4766,139456,Saint Paul's Catholic High School,0,ACC,159,37.4,152,3,-0.55,-0.75,-0.35,-0.57,-0.77,-0.36,42.8%,22.6%,3.25,64.2%,18.2%,11.9%,35.8%,5
1,352,4770,131880,St Peter's RC High School,0,VA,187,48.2,181,1,0.32,0.13,0.5,0.31,0.12,0.5,55.6%,38.0%,4.14,44.9%,32.1%,16.0%,54.0%,2
1,352,6008,139831,Sol Christian Academy,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,352,7056,105623,Southern Cross School,0,CYS,32,6.7,32,0,-2.17,-2.61,-1.73,-2.17,-2.62,-1.72,0.0%,0.0%,0.3,0.0%,0.0%,0.0%,0.0%,5
1,352,4765,137801,Trinity CofE High School,0,ACC,243,45.7,235,2,-0.31,-0.48,-0.15,-0.31,-0.48,-0.15,58.0%,35.0%,3.78,31.7%,16.9%,9.9%,57.2%,4
1,352,4257,141264,Whalley Range 11-18 High School,0,ACC,268,49.6,248,1,0.75,0.59,0.91,0.75,0.59,0.92,65.3%,38.4%,4.54,47.4%,36.9%,23.9%,63.1%,1
1,352,6907,135296,William Hulme's Grammar School,0,AC,148,53.2,141,0,0.28,0.07,0.49,0.28,0.07,0.5,74.3%,56.1%,4.63,33.1%,27.7%,20.3%,69.6%,2
1,352,6033,105595,Withington Girls' School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,352,4276,105564,Wright Robinson College,0,FD,339,44.6,285,3,0.24,0.09,0.39,0.23,0.08,0.38,64.0%,40.7%,3.88,52.5%,32.4%,17.4%,60.2%,2
4,352,,,,,,4993,43.1,4424,91,-0.12,-0.16,-0.08,-0.13,-0.17,-0.1,55.9%,35.2%,3.78,40.4%,23.1%,14.9%,51.7%,4
1,353,4608,136432,Blessed John Henry Newman Roman Catholic College,0,VA,292,43.5,269,3,-0.22,-0.37,-0.06,-0.22,-0.38,-0.07,56.8%,37.0%,3.55,11.6%,7.5%,5.5%,52.4%,4
1,353,4600,137133,The Blue Coat CofE School,0,ACC,240,53.9,231,1,0.36,0.2,0.53,0.36,0.19,0.53,81.3%,62.1%,4.9,86.7%,50.8%,25.8%,78.3%,2
2,353,6015,105748,Bright Futures School for children with autism,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,353,4006,144627,Co-op Academy Failsworth,0,AC,271,40.3,261,3,-0.62,-0.77,-0.46,-0.62,-0.78,-0.46,53.5%,27.3%,3.12,10.3%,7.0%,3.7%,49.8%,5
1,353,4605,137294,The Crompton House Church of England Academy,0,ACC,198,48.5,196,2,-0.27,-0.45,-0.09,-0.27,-0.46,-0.09,69.7%,44.9%,4.41,62.1%,47.0%,23.2%,66.7%,4
1,353,6001,138568,Darul Hadis Latifiah Northwest,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,353,4010,146316,E-Act Royton and Crompton Academy,0,AC,213,33.1,204,10,-1.17,-1.35,-0.99,-1.2,-1.38,-1.02,40.8%,21.6%,2.57,5.6%,2.3%,1.9%,35.2%,5
2,353,6019,131751,Elland House School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,353,4011,137039,The Hathershaw College,0,ACC,208,43.9,200,3,0,-0.18,0.18,-0.02,-0.2,0.16,56.7%,34.1%,3.53,0.0%,0.0%,0.0%,51.9%,3
2,353,1101,140388,Hollinwood Academy,0,ACS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,353,6002,141087,Iqra High School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,353,7014,138697,New Bridge School,0,ACCS,53,0.8,53,0,-1.86,-2.2,-1.51,-1.86,-2.21,-1.5,0.0%,0.0%,0.04,0.0%,0.0%,0.0%,0.0%,5
1,353,4027,141248,North Chadderton School,0,ACC,231,47.3,226,1,-0.21,-0.38,-0.04,-0.21,-0.38,-0.04,73.6%,47.6%,3.99,41.1%,16.9%,9.1%,68.8%,4
1,353,4008,145723,Oasis Academy Leesbrook,0,F
1,353,6905,136027,Oasis Academy Oldham,0,AC,241,36.3,198,5,-0.73,-0.91,-0.55,-0.74,-0.92,-0.56,45.2%,24.9%,3.13,42.7%,13.7%,8.3%,39.8%,5
1,353,6906,136115,The Oldham Academy North,0,AC,218,42.1,184,1,0.16,-0.03,0.34,0.15,-0.04,0.34,52.3%,28.4%,3.17,1.8%,1.4%,0.9%,49.5%,3
1,353,6012,105745,Oldham Hulme Grammar School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,353,4028,105738,The Radclyffe School,0,FD,295,43.3,288,1,-0.3,-0.45,-0.15,-0.3,-0.45,-0.15,49.5%,31.9%,3.39,7.8%,5.1%,2.4%,45.1%,4
1,353,4026,105736,Saddleworth School,0,CY,265,45.7,262,4,-0.54,-0.69,-0.38,-0.54,-0.7,-0.39,67.9%,44.9%,3.63,13.6%,10.2%,9.1%,62.3%,5
2,353,7012,143472,Spring Brook Academy,0,ACCS,7,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,353,4004,144508,Waterhead Academy,0,AC,253,38,233,5,-0.5,-0.66,-0.33,-0.51,-0.68,-0.34,48.2%,27.7%,3.02,13.0%,5.9%,3.6%,43.5%,4
1,353,6000,137822,Westwood High,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,353,,,,,,2993,42.1,2820,39,-0.38,-0.43,-0.33,-0.39,-0.44,-0.34,56.5%,35.1%,3.45,23.4%,13.1%,7.4%,52.2%,4
1,354,6001,105855,Beech House School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,354,7006,105861,Brownhill School,0,CYS,18,2.4,18,0,-3.18,-3.77,-2.58,-3.18,-3.78,-2.57,5.6%,0.0%,0.11,0.0%,0.0%,0.0%,0.0%,5
1,354,4611,105844,Cardinal Langley Roman Catholic High School,0,VA,164,43.5,160,1,-0.43,-0.63,-0.23,-0.43,-0.63,-0.23,50.0%,29.9%,3.66,32.9%,20.1%,11.6%,47.0%,4
2,354,6036,131379,Cedar Lodge,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,354,6038,145170,Elizabeth House School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,354,4086,105837,Falinge Park High School,0,CY,236,38.4,225,3,-0.45,-0.62,-0.28,-0.47,-0.64,-0.3,46.2%,29.2%,3.21,14.8%,8.5%,6.4%,41.1%,4
2,354,6035,135753,Great Howarth School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,354,5401,140091,Hollingworth Academy,0,ACC,249,49,245,4,-0.03,-0.19,0.13,-0.04,-0.21,0.12,74.7%,51.0%,4.1,8.4%,7.6%,5.6%,66.7%,3
1,354,4801,131726,Holy Family Roman Catholic and Church of England College,0,VA,115,57,114,0,0.56,0.32,0.79,0.56,0.32,0.8,84.3%,59.1%,4.79,22.6%,20.9%,17.4%,81.7%,1
1,354,5402,135795,Kingsway Park High School,0,FD,214,38.8,190,6,-0.38,-0.56,-0.2,-0.39,-0.58,-0.2,44.4%,26.2%,3.25,14.5%,8.9%,6.1%,41.1%,4
1,354,4088,105839,Matthew Moss High School,0,CY,151,43.2,141,1,0.15,-0.06,0.36,0.15,-0.07,0.36,63.6%,35.8%,4.09,65.6%,28.5%,15.9%,58.9%,3
2,354,6202,136257,Meadows School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,354,4091,143319,Middleton Technology School,0,ACC,220,46.5,210,0,-0.09,-0.26,0.09,-0.09,-0.26,0.09,69.1%,39.5%,3.78,16.4%,10.0%,5.0%,63.2%,3
1,354,4089,105840,Oulder Hill Community School and Language College,0,CY,258,44.3,244,4,-0.35,-0.51,-0.19,-0.36,-0.53,-0.2,62.0%,34.9%,3.89,51.6%,20.5%,12.0%,57.0%,4
2,354,7015,135202,Redwood,0,CYS,46,1.8,44,0,-1.64,-2.02,-1.26,-1.64,-2.03,-1.26,2.2%,2.2%,0.11,0.0%,0.0%,0.0%,2.2%,5
1,354,6006,134575,Rochdale Islamic Academy,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,354,6905,135313,St Anne's Church of England Academy,0,AC,103,43.8,95,3,-0.53,-0.79,-0.27,-0.55,-0.81,-0.28,48.5%,33.0%,3.45,17.5%,9.7%,9.7%,48.5%,5
1,354,4612,105845,St Cuthbert's RC High School,0,VA,182,39.4,171,6,-0.53,-0.72,-0.34,-0.55,-0.75,-0.36,48.4%,23.1%,3.64,78.0%,22.0%,8.8%,40.1%,5
1,354,4083,105834,Siddal Moor Sports College,0,CY,153,34.4,151,7,-1.08,-1.28,-0.88,-1.11,-1.32,-0.9,41.2%,17.6%,2.73,2.6%,0.7%,0.7%,33.3%,5
1,354,5400,140055,Wardle Academy,0,ACC,241,46.3,235,3,-0.11,-0.27,0.06,-0.11,-0.28,0.05,64.3%,44.0%,4.01,19.9%,17.4%,15.4%,59.3%,3
4,354,,,,,,2350,42.4,2243,38,-0.32,-0.38,-0.27,-0.33,-0.39,-0.28,56.8%,34.5%,3.61,27.5%,13.9%,9.0%,51.7%,4
1,355,6000,140036,Ahavas Torah Boys Academy,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,4000,138418,The Albion Academy,1,AC,140,30.6,115,11,-1,-1.23,-0.76,-1.05,-1.29,-0.81,32.1%,14.3%,2.5,22.1%,5.0%,2.9%,27.1%,5
1,355,4004,146793,The Albion Academy,0,ACC
1,355,4003,146303,AldridgeUTC@MediaCityUK,0,UTC,111,37.8,107,7,-0.85,-1.09,-0.6,-0.91,-1.16,-0.66,51.4%,30.6%,3.14,16.2%,5.4%,2.7%,41.4%,SUPP
1,355,4620,131512,All Hallows RC High School,0,VA,118,45.3,108,1,0.39,0.15,0.63,0.39,0.14,0.64,65.3%,43.2%,3.89,29.7%,18.6%,11.9%,53.4%,2
1,355,6054,135168,Beis Hatalmud School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,6057,136086,Beis Ruchel Girls School - Salford,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,4018,138698,Beis Yaakov High School,0,ACC,58,55.8,54,0,0.75,0.4,1.09,0.75,0.4,1.1,84.5%,58.6%,5.17,65.5%,55.2%,46.6%,82.8%,1
1,355,6011,105996,Bnos Yisroel School Manchester,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,6005,105992,Bridgewater School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,4026,143059,Buile Hill Visual Arts College,0,ACC,131,36.6,116,5,-0.95,-1.18,-0.71,-0.96,-1.2,-0.73,41.2%,20.6%,3.2,38.2%,24.4%,9.2%,37.4%,5
2,355,7026,143062,Chatsworth High School and Community College,0,ACCS,12,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,355,4050,136987,Co-op Academy Swinton,0,ACC,105,40.9,98,3,-0.51,-0.76,-0.25,-0.54,-0.8,-0.28,61.9%,35.2%,3.55,65.7%,21.0%,7.6%,54.3%,5
1,355,6059,137275,Edstart,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,4049,144200,Ellesmere Park High School,0,ACC,95,40,82,0,-0.23,-0.51,0.05,-0.23,-0.51,0.05,50.5%,36.8%,3.54,70.5%,27.4%,12.6%,47.4%,3
1,355,4052,133351,Harrop Fold School,0,CY,175,28.8,169,7,-1.37,-1.56,-1.18,-1.4,-1.6,-1.2,30.9%,13.7%,2.33,18.9%,5.1%,2.3%,28.0%,5
1,355,4002,142073,Irlam and Cadishead Academy,0,AC,127,37.3,123,1,-0.66,-0.89,-0.43,-0.67,-0.9,-0.44,40.9%,22.0%,3.2,33.1%,17.3%,8.7%,38.6%,5
1,355,6002,141968,Manchester Senior Girls School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,6020,105999,Mechinoh School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,4039,144199,Moorside High School,0,ACC,194,40,185,3,-0.8,-0.99,-0.62,-0.81,-1,-0.62,57.2%,33.0%,3.62,54.1%,21.6%,11.3%,46.9%,5
2,355,7000,145850,New Park School,0,ACS,22,1.6,19,0,-2.4,-2.98,-1.82,-2.4,-2.99,-1.81,0.0%,0.0%,0.08,0.0%,0.0%,0.0%,0.0%,5
2,355,7025,138130,Oakwood Academy,0,ACCS,26,3.9,25,0,-1.49,-2,-0.99,-1.49,-2.01,-0.98,0.0%,0.0%,0.07,0.0%,0.0%,0.0%,0.0%,5
1,355,6906,135661,Oasis Academy MediaCityUK,0,AC,104,39.9,85,0,-0.04,-0.31,0.24,-0.04,-0.31,0.24,50.0%,27.9%,3.32,25.0%,7.7%,4.8%,42.3%,3
1,355,6028,106004,Oholei Yosef Yitzchok Lubavitch Schools,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,355,5400,105989,St Ambrose Barlow RC High School,0,VA,194,40.4,193,4,-0.76,-0.94,-0.58,-0.77,-0.95,-0.59,62.9%,37.1%,3.45,44.3%,11.3%,4.6%,54.1%,5
1,355,4616,105986,St Patrick's RC High School and Arts College,0,VA,174,54.3,169,1,0.55,0.36,0.75,0.54,0.35,0.74,75.9%,55.7%,4.94,65.5%,52.3%,37.9%,73.6%,1
1,355,6905,135071,Salford City Academy,0,AC,97,41.4,91,1,0.04,-0.22,0.31,0.04,-0.22,0.31,52.6%,28.9%,3.63,42.3%,26.8%,15.5%,47.4%,3
1,355,4035,105975,Walkden High School,0,CY,221,41.1,215,4,-0.73,-0.9,-0.56,-0.74,-0.91,-0.56,56.1%,33.5%,3.68,57.0%,31.2%,19.0%,49.8%,5
1,355,6031,130287,Yeshivah Ohr Torah School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,355,,,,,,2107,39,1969,48,-0.55,-0.6,-0.49,-0.56,-0.62,-0.5,52.0%,31.0%,3.4,41.8%,20.7%,12.1%,46.0%,5
2,356,6027,131551,Acorns School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,356,6025,106162,Ashcroft School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,4038,106139,Bramhall High School,0,CY,202,55.9,190,0,0.43,0.25,0.61,0.43,0.24,0.62,77.7%,55.9%,4.86,32.2%,31.2%,27.2%,75.7%,2
2,356,6000,142225,Broadstones,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,356,7508,106172,Castle Hill High School,0,CYS,42,3.4,39,0,-1.78,-2.18,-1.38,-1.78,-2.19,-1.37,0.0%,0.0%,0.07,0.0%,0.0%,0.0%,0.0%,5
1,356,4039,137843,Cheadle Hulme High School,0,ACC,272,58,265,1,0.75,0.59,0.9,0.74,0.58,0.9,80.5%,67.3%,5.19,44.9%,37.5%,33.1%,79.4%,1
1,356,6019,106157,Cheadle Hulme School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,4601,106143,Harrytown Catholic High School,0,VA,140,46.4,130,1,0.02,-0.2,0.24,0.01,-0.21,0.24,63.6%,35.0%,3.96,29.3%,20.0%,14.3%,57.9%,3
1,356,4036,137923,Hazel Grove High School,0,ACC,192,47.3,185,2,-0.09,-0.27,0.1,-0.09,-0.28,0.1,66.7%,43.8%,3.91,16.7%,9.4%,6.3%,60.4%,3
2,356,7509,106173,Heaton School,0,CYS,14,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,356,6009,106151,Hulme Hall Grammar School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,356,7103,134064,Inscape House School,0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,4040,142509,The Kingsway School,0,ACC,289,48.3,273,2,-0.04,-0.19,0.11,-0.04,-0.2,0.11,71.3%,48.4%,4.28,48.1%,30.1%,20.8%,66.4%,3
1,356,4005,145893,Laurus Cheadle Hulme,0,F
1,356,4037,106138,Marple Hall School,0,CY,297,50.7,295,1,-0.06,-0.2,0.09,-0.06,-0.2,0.09,78.5%,56.9%,4.79,77.4%,48.8%,33.7%,71.4%,3
1,356,6006,142524,North West Priory School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,6030,134493,Oneschool Global Uk Northwich Campus,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,6031,135526,Penarth Group School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,4032,106133,Priestnall School,0,CY,244,51.7,240,3,0.07,-0.09,0.23,0.06,-0.1,0.23,74.2%,55.7%,4.73,55.7%,39.8%,27.0%,71.3%,3
2,356,6012,142536,Reddish Hall School,0,INDSPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,4001,145133,Reddish Vale High School,0,AC,164,37.5,160,4,-0.58,-0.78,-0.38,-0.6,-0.8,-0.4,38.4%,19.5%,3.22,40.9%,14.0%,8.5%,34.8%,5
2,356,7502,106166,"Royal School, Manchester",0,NMSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,4603,106144,"St Anne's Roman Catholic High School, Stockport",0,VA,108,41.5,100,2,-0.31,-0.56,-0.06,-0.32,-0.57,-0.06,56.5%,35.2%,3.25,3.7%,0.9%,0.9%,48.1%,4
1,356,4600,106142,St James' Catholic High School,0,VA,155,54.7,153,1,0.32,0.11,0.52,0.31,0.1,0.52,83.9%,65.2%,4.72,51.6%,34.8%,23.9%,80.6%,2
1,356,6905,135262,Stockport Academy,0,AC,125,42.5,121,0,0.1,-0.13,0.33,0.1,-0.14,0.33,55.2%,28.8%,3.62,38.4%,19.2%,10.4%,50.4%,3
1,356,6018,106156,Stockport Grammar School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,356,4034,106135,Stockport School,0,CY,216,46.6,214,0,-0.09,-0.26,0.08,-0.09,-0.26,0.09,67.1%,44.9%,4.32,86.6%,34.3%,20.8%,60.2%,3
1,356,4035,106136,Werneth School,0,CY,185,36.2,182,4,-0.6,-0.78,-0.41,-0.61,-0.8,-0.42,42.7%,22.2%,2.82,5.4%,4.9%,2.7%,40.5%,5
2,356,7511,131889,Windlehurst School,0,CYS,8,4.6,8,0,-1.97,-2.86,-1.08,-1.97,-2.88,-1.07,0.0%,0.0%,0.33,0.0%,0.0%,0.0%,0.0%,5
4,356,,,,,,2657,47.3,2571,21,-0.02,-0.07,0.03,-0.02,-0.07,0.03,66.3%,45.9%,4.16,43.7%,27.3%,19.5%,62.0%,3
1,357,4006,134283,Alder Community High School,0,CY,147,47.9,147,0,-0.05,-0.25,0.16,-0.05,-0.26,0.16,75.5%,44.2%,3.97,21.8%,14.3%,7.5%,68.0%,3
