"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","NUM_SCHLS_ACAD","NUM_STUDENTS_ACAD","PERC_DISADV_ACAD","SCHOOLS_SPONSORLED_ACAD","SCHOOLS_CONVERTERS_ACAD","SCHOOLS_FREE_ACAD","SCHOOLS3_ACAD","SCHOOLS4_ACAD","SCHOOLS5_ACAD","PROGR_DESCR_ACAD","VA_MAT_ACAD","LCI_MAT_ACAD","UCI_MAT_ACAD","VA_MAT_ACAD_DIS","LCI_MAT_ACAD_DIS","UCI_MAT_ACAD_DIS","NUM_SCHLS_AGEN","NUM_STUDENTS_AGEN","PERC_DISADV_AGEN","SCHOOLS_SPONSORLED_AGEN","SCHOOLS_CONVERTERS_AGEN","SCHOOLS_FREE_AGEN","SCHOOLS3_AGEN","SCHOOLS4_AGEN","SCHOOLS5_AGEN","PROGR_DESCR_AGEN","VA_MAT_AGEN","LCI_MAT_AGEN","UCI_MAT_AGEN","VA_MAT_AGEN_DIS","LCI_MAT_AGEN_DIS","UCI_MAT_AGEN_DIS","SCHOOL-URNS"
"SP00003",2054,"School sponsor","Academies Enterprise Trust (AET)","National Sponsor Unit",14,699,"26.3",13,1,0,0,0,14,4,-0.16,-0.21,-0.11,"-0.22","-0.32","-0.11","14","396","29.3","13","1","0","0","0","14","2","0.12","0.04","0.19","0.1","-0.04","0.23","135651, 135652, 135653, 135957, 136147, 136157, 136208, 136753, 137138, 137188, 137321, 138439, 139048, 139276"
"TR00015",2062,"Multi-academy trust","ACADEMY TRANSFORMATION TRUST","East of England and North East London",5,195,"21",3,2,0,1,0,4,4,-0.27,-0.37,-0.17,"-0.33","-0.58","-0.08","5","129","26.4","3","2","0","1","0","4","4","-0.18","-0.3","-0.05","-0.14","-0.39","0.11","138918, 139062, 139063, 139867, 142594"
"TR02786",15710,"Multi-academy trust","ACTIVATE LEARNING EDUCATION TRUST","North West London and South Central",4,174,"10.3",1,0,3,2,2,0,4,-0.41,-0.52,-0.3,"-0.24","-0.65","0.18","4","73","15.1","1","0","3","2","2","0","2","0.37","0.14","0.61","0.12","-0.45","0.69","139268, 141111, 142024, 142863"
"SP00010",4927,"School sponsor","Aldridge Education","South East and South London",6,248,"32.7",4,0,2,0,1,5,2,0.12,0.03,0.21,"0.08","-0.07","0.23","5","128","24.2","3","0","2","0","1","4","2","0.19","0.07","0.31","0.05","-0.2","0.29","135580, 136164, 137063, 139924, 140212, 141394"
"TR00429",2597,"Multi-academy trust","ANTHEM SCHOOLS TRUST","East Midlands and Humber",4,266,"18",3,1,0,0,0,4,4,-0.26,-0.33,-0.18,"-0.26","-0.45","-0.06","4","93","17.2","3","1","0","0","0","4","2","0.23","0.08","0.38","0.1","-0.26","0.45","134003, 136261, 137873, 138571"
"TR00081",2157,"Multi-academy trust","ARK SCHOOLS","National Sponsor Unit",13,577,"42.3",10,2,1,0,0,13,3,0.01,-0.05,0.06,"0.05","-0.04","0.13","12","222","50","9","2","1","0","0","12","2","0.31","0.19","0.42","0.28","0.12","0.45","131752, 135242, 135315, 135389, 135584, 135600, 135970, 138267, 138518, 138681, 139821, 139996, 141019"
"TR00103",2186,"Multi-academy trust","ASPIRATIONS ACADEMIES TRUST","North West London and South Central",6,152,"25.7",2,1,3,1,1,4,3,-0.03,-0.14,0.08,"-0.22","-0.46","0.03","5","68","36.8","2","1","2","1","1","3","4","-0.23","-0.41","-0.04","-0.1","-0.41","0.2","137009, 138499, 139711, 139793, 140886, 142126"
"TR00278",2408,"Multi-academy trust","BRADFORD DIOCESAN ACADEMIES TRUST","Lancashire and West Yorkshire",3,181,"19.9",1,2,0,3,0,0,4,-0.26,-0.36,-0.16,"-0.66","-0.89","-0.42","3","129","23.3","1","2","0","3","0","0","3","-0.01","-0.14","0.12","-0.16","-0.43","0.11","138087, 142590, 142825"
"TR00375",2526,"Multi-academy trust","CAMBRIDGE MERIDIAN ACADEMIES TRUST","East of England and North East London",3,172,"SUPPM",1,2,0,1,1,1,3,-0.06,-0.16,0.04,"SUPPM","SUPPM","SUPPM","3","120","8.3","1","2","0","1","1","1","3","0.05","-0.11","0.21","-0.12","-0.7","0.46","136974, 137082, 143404"
"TR00409",2567,"Multi-academy trust","CASTLE SCHOOL EDUCATION TRUST","South West",3,233,"7.3",1,2,0,1,1,1,3,0.03,-0.05,0.11,"-0.3","-0.64","0.04","3","35","SUPPM","1","2","0","1","1","1","3","-0.06","-0.32","0.2","SUPPM","SUPPM","SUPPM","139345, 139348, 142008"
