"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","NUM_SCHLS_ACAD","NUM_STUDENTS_ACAD","PERC_DISADV_ACAD","SCHOOLS_SPONSORLED_ACAD","SCHOOLS_CONVERTERS_ACAD","SCHOOLS_FREE_ACAD","SCHOOLS3_ACAD","SCHOOLS4_ACAD","SCHOOLS5_ACAD","PROGR_DESCR_ACAD","VA_MAT_ACAD","LCI_MAT_ACAD","UCI_MAT_ACAD","VA_MAT_ACAD_DIS","LCI_MAT_ACAD_DIS","UCI_MAT_ACAD_DIS","NUM_SCHLS_AGEN","NUM_STUDENTS_AGEN","PERC_DISADV_AGEN","SCHOOLS_SPONSORLED_AGEN","SCHOOLS_CONVERTERS_AGEN","SCHOOLS_FREE_AGEN","SCHOOLS3_AGEN","SCHOOLS4_AGEN","SCHOOLS5_AGEN","PROGR_DESCR_AGEN","VA_MAT_AGEN","LCI_MAT_AGEN","UCI_MAT_AGEN","VA_MAT_AGEN_DIS","LCI_MAT_AGEN_DIS","UCI_MAT_AGEN_DIS","SCHOOL-URNS"
"SP00128",2707,"School sponsor","City of London Academies Trust","North West London and South Central",3,300,"53.7",3,0,0,0,0,3,4,-0.32,-0.39,-0.24,"-0.26","-0.37","-0.16","3","66","57.6","3","0","0","0","0","3","4","-0.29","-0.46","-0.12","-0.4","-0.62","-0.17","134222, 135587, 135835"
"TR00604",2816,"Multi-academy trust","CREATIVE EDUCATION TRUST","East of England and North East London",4,210,"14.3",3,1,0,0,0,4,4,-0.13,-0.22,-0.04,"-0.19","-0.46","0.09","4","77","16.9","3","1","0","0","0","4","3","-0.02","-0.17","0.14","0.18","-0.17","0.53","137100, 137781, 138858, 139819"
"SP00142",2852,"School sponsor","David Meller","North West London and South Central",6,285,"14.4",3,1,2,1,0,5,4,-0.17,-0.25,-0.09,"-0.19","-0.42","0.04","6","154","22.1","3","1","2","1","0","5","3","0.02","-0.11","0.14","-0.06","-0.32","0.21","135004, 135876, 135938, 138747, 139416, 141004"
"TR01879",4474,"Multi-academy trust","DELTA ACADEMIES TRUST","National Sponsor Unit",6,212,"17.9",3,3,0,0,0,6,3,-0.1,-0.19,0,"-0.45","-0.69","-0.21","5","104","20.2","3","2","0","0","0","5","3","-0.14","-0.29","0.02","-0.21","-0.52","0.11","135942, 136343, 136675, 137066, 137141, 137453, 137472"
"SP00172",2914,"School sponsor","Diocese of London","North West London and South Central",7,775,"23.4",2,5,0,1,0,6,2,0.1,0.06,0.14,"0.01","-0.09","0.1","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","134314, 135531, 137407, 137546, 138491, 138607, 139989"
"SP00179",2919,"School sponsor","Diocese of Oxford","North West London and South Central",3,69,"SUPPM",3,0,0,0,0,3,4,-0.35,-0.52,-0.18,"SUPPM","SUPPM","SUPPM","3","38","SUPPM","3","0","0","0","0","3","1","0.67","0.36","0.97","SUPPM","SUPPM","SUPPM","135675, 135879, 137280"
"SP00589",2935,"School sponsor","Diverse Academies Trust","East Midlands and Humber",7,424,"11.1",3,4,0,2,0,5,3,-0.04,-0.1,0.02,"-0.14","-0.33","0.06","5","166","13.3","2","3","0","2","0","3","3","-0.04","-0.15","0.07","0.13","-0.16","0.41","136624, 137117, 137159, 137319, 138964, 139956, 144486"
"TR00671",2939,"Multi-academy trust","DIXONS ACADEMIES CHARITABLE TRUST LTD","Lancashire and West Yorkshire",3,271,"33.2",2,0,1,0,0,3,4,-0.19,-0.28,-0.11,"-0.32","-0.47","-0.16","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","130909, 135866, 141002"
"TR00699",2974,"Multi-academy trust","E-ACT","National Sponsor Unit",7,224,"44.6",7,0,0,0,0,7,4,-0.53,-0.62,-0.44,"-0.59","-0.74","-0.45","7","123","52","7","0","0","0","0","7","4","-0.27","-0.42","-0.12","-0.03","-0.24","0.18","135907, 135911, 135973, 136032, 138073, 138235, 138374"
"TR02426",2987,"Multi-academy trust","EAST MIDLANDS EDUCATION TRUST","East Midlands and Humber",5,411,"7.3",0,5,0,2,1,2,2,0.11,0.05,0.17,"-0.1","-0.34","0.15","4","70","14.3","0","4","0","2","0","2","3","0.14","-0.06","0.34","-0.04","-0.58","0.5","136628, 137628, 138191, 138641, 141259"
"TR03704",16552,"Multi-academy trust","EMMANUEL SCHOOLS FOUNDATION","North",3,199,"15.6",3,0,0,3,0,0,4,-0.14,-0.24,-0.05,"0.02","-0.26","0.29","3","84","22.6","3","0","0","3","0","0","3","-0.02","-0.18","0.13","-0.07","-0.39","0.26","134223, 135007, 135619"
"TR00810",3123,"Multi-academy trust","FORT PITT THOMAS AVELING ACADEMIES","South East and South London",3,212,"17.9",1,2,0,0,1,2,4,-0.18,-0.27,-0.09,"-0.46","-0.7","-0.23","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","136337, 137376, 138511"
"TR00883",3211,"Multi-academy trust","GRACE ACADEMY","West Midlands",3,74,"24.3",3,0,0,0,0,3,4,-0.45,-0.61,-0.29,"-0.32","-0.67","0.02","3","41","34.1","3","0","0","0","0","3","3","0.11","-0.11","0.34","0.09","-0.3","0.48","129342, 135335, 135956"
"TR00911",5452,"Multi-academy trust","GREENSHAW LEARNING TRUST","South East and South London",3,240,"16.7",2,1,0,1,1,1,3,0.08,0,0.17,"0.3","0.08","0.52","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","136800, 142040, 142577"
"TR00914",3252,"Multi-academy trust","GREENWOOD ACADEMIES TRUST","East Midlands and Humber",6,298,"30.2",6,0,0,0,0,6,3,-0.08,-0.16,0,"-0.15","-0.31","0.01","6","213","31.9","6","0","0","0","0","6","3","-0.08","-0.18","0.01","-0.03","-0.2","0.14","135881, 136217, 136948, 137184, 137880, 139957"
"SP00257",3319,"School sponsor","Harris Federation","National Sponsor Unit",17,1659,"38.3",13,2,2,1,0,16,4,-0.19,-0.22,-0.15,"-0.26","-0.32","-0.21","14","509","40.7","12","2","0","1","0","13","4","-0.13","-0.2","-0.06","-0.18","-0.29","-0.07","131747, 131897, 132711, 135249, 135311, 135677, 135816, 135955, 137121, 137379, 137549, 138449, 139703, 140935, 140939, 140985, 143427"
"TR01149",3531,"Multi-academy trust","INSPIRATION TRUST","East of England and North East London",4,320,"14.7",2,0,2,0,1,3,2,0.11,0.04,0.19,"-0.11","-0.32","0.1","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","136204, 139896, 140815, 142059"
"TR02737",5519,"Multi-academy trust","INVICTUS EDUCATION TRUST","West Midlands",3,117,"14.5",2,1,0,0,3,0,4,-0.25,-0.37,-0.13,"-0.2","-0.52","0.11","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","141342, 141343, 141570"
"TR01197",3594,"Multi-academy trust","KENT CATHOLIC SCHOOLS' PARTNERSHIP","South East and South London",4,370,"12.2",0,4,0,0,1,3,3,-0.05,-0.12,0.02,"-0.12","-0.34","0.09","4","180","18.3","0","4","0","0","1","3","3","0.03","-0.09","0.15","-0.06","-0.35","0.22","140537, 140640, 140874, 141628"
"TR01302",3725,"Multi-academy trust","LEIGH ACADEMIES TRUST","South East and South London",6,489,"16.8",3,2,1,0,0,6,4,-0.08,-0.14,-0.01,"-0.38","-0.55","-0.21","6","246","19.5","3","2","1","0","0","6","3","0","-0.1","0.1","0.02","-0.22","0.26","135297, 135630, 136205, 136847, 140987, 141309"
"TR01354",3797,"Multi-academy trust","LOXFORD SCHOOL TRUST LIMITED","East of England and North East London",3,283,"38.9",1,2,0,0,1,2,4,-0.1,-0.18,-0.03,"-0.03","-0.15","0.1","3","136","SUPPM","1","2","0","0","1","2","3","-0.08","-0.23","0.06","SUPPM","SUPPM","SUPPM","139179, 140475, 141178"
"TR00653",3810,"Multi-academy trust","LYDIATE LEARNING TRUST","Lancashire and West Yorkshire",3,161,"15.5",1,1,1,1,2,0,4,-0.36,-0.47,-0.26,"-0.49","-0.8","-0.19","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","137533, 138787, 142128"
"TR00136",3878,"Multi-academy trust","MATRIX ACADEMY TRUST","West Midlands",3,170,"27.1",1,2,0,0,1,2,4,-0.25,-0.35,-0.15,"-0.13","-0.34","0.08","3","68","26.5","1","2","0","0","1","2","3","-0.03","-0.2","0.15","0.08","-0.25","0.41","136885, 137274, 137771"
"TR01527",4036,"Multi-academy trust","NORTHERN EDUCATION TRUST","North",3,130,"23.1",3,0,0,0,0,3,3,0.08,-0.03,0.19,"0.13","-0.11","0.37","3","50","20","3","0","0","0","0","3","3","0.05","-0.17","0.27","0.04","-0.42","0.51","139405, 140002, 141185"
"TR01530",4041,"Multi-academy trust","NORTHERN SCHOOLS TRUST","Lancashire and West Yorkshire",3,153,"35.3",1,0,2,0,0,3,4,-0.14,-0.25,-0.02,"-0.32","-0.52","-0.12","3","87","48.3","1","0","2","0","0","3","2","0.37","0.19","0.55","0.29","0.02","0.56","131065, 139588, 139589"
"TR01553",4076,"Multi-academy trust","OASIS COMMUNITY LEARNING","National Sponsor Unit",5,241,"47.3",5,0,0,0,0,5,4,-0.16,-0.25,-0.07,"-0.14","-0.29","0","5","155","45.2","5","0","0","0","0","5","2","0.32","0.21","0.43","0.39","0.23","0.56","134311, 135721, 135958, 135968, 139995"
"SP00560",4105,"School sponsor","Ormiston Academies Trust","National Sponsor Unit",11,659,"23.7",10,1,0,0,0,11,4,-0.1,-0.15,-0.05,"-0.27","-0.39","-0.15","10","334","31.1","9","1","0","0","0","10","3","0.01","-0.07","0.09","0","-0.15","0.16","135234, 135769, 135960, 135980, 136185, 136186, 137152, 137673, 138506, 140845, 141269"
"TR01585",4119,"Multi-academy trust","OUTWOOD GRANGE ACADEMIES TRUST","National Sponsor Unit",6,449,"17.1",5,1,0,0,1,5,4,-0.18,-0.24,-0.12,"-0.31","-0.46","-0.15","6","126","19.8","5","1","0","0","1","5","4","-0.44","-0.58","-0.31","-0.65","-0.98","-0.32","135961, 135963, 137412, 138247, 138248, 141377"
"TR01767",4338,"Multi-academy trust","REDHILL ACADEMY TRUST","East Midlands and Humber",4,250,"14.4",3,1,0,1,0,3,4,-0.14,-0.22,-0.07,"-0.06","-0.27","0.15","3","33","SUPPM","3","0","0","1","0","2","2","0.33","0.03","0.63","SUPPM","SUPPM","SUPPM","136361, 137085, 137112, 140992"
"TR02230",4885,"Multi-academy trust","SWALE ACADEMIES TRUST","South East and South London",3,91,"18.7",2,1,0,0,0,3,4,-0.23,-0.39,-0.07,"-0.1","-0.52","0.31","3","120","23.3","2","1","0","0","0","3","2","0.15","0.03","0.28","0.11","-0.16","0.37","136286, 137687, 139075"
"TR00327",2471,"Multi-academy trust","THE BROOKE WESTON TRUST","North West London and South Central",5,343,"12",4,0,1,0,0,5,3,-0.07,-0.13,0,"-0.3","-0.5","-0.09","3","75","14.7","3","0","0","0","0","3","3","0.1","-0.07","0.27","0.07","-0.35","0.49","135306, 135317, 135967, 137867, 138254"
"TR00389",2543,"Multi-academy trust","THE CARDINAL HUME ACADEMIES TRUST","North West London and South Central",3,227,"44.9",0,3,0,1,0,2,3,-0.05,-0.14,0.03,"-0.12","-0.25","0.01","3","115","43.5","0","3","0","1","0","2","4","-0.35","-0.47","-0.22","-0.36","-0.56","-0.16","139362, 139369, 143082"
"TR00633",2854,"Multi-academy trust","THE DAVID ROSS EDUCATION TRUST","National Sponsor Unit",5,202,"18.3",4,1,0,0,1,4,4,-0.28,-0.37,-0.19,"-0.56","-0.81","-0.32","4","81","21","4","0","0","0","1","3","3","-0.13","-0.27","0","0.25","-0.05","0.54","135294, 136201, 138757, 139060, 141874"
"TR00665",2928,"Multi-academy trust","THE DIOCESE OF WESTMINSTER ACADEMY TRUST","North West London and South Central",6,522,"11.3",0,6,0,0,0,6,3,0.03,-0.03,0.08,"-0.15","-0.32","0.03","5","147","12.9","0","5","0","0","0","5","3","0.06","-0.07","0.18","0.11","-0.26","0.48","137895, 137922, 137925, 137938, 137994, 137995"
"SP00251",3278,"School sponsor","The Haberdashers' Livery Company","South East and South London",5,529,"20.4",4,1,0,0,0,5,4,-0.12,-0.17,-0.07,"-0.34","-0.48","-0.2","4","108","29.6","4","0","0","0","0","4","2","0.16","0.01","0.31","0.4","0.1","0.7","135070, 135073, 135582, 135951, 137446"
"TR01121",3493,"Multi-academy trust","THE HOWARD PARTNERSHIP TRUST","South East and South London",3,328,"8.5",0,3,0,1,1,1,2,0.17,0.1,0.23,"-0.14","-0.39","0.12","3","51","SUPPM","0","3","0","1","1","1","3","-0.08","-0.28","0.12","SUPPM","SUPPM","SUPPM","136833, 142315, 144503"
"TR01192",3586,"Multi-academy trust","THE KEMNAL ACADEMIES TRUST","South East and South London",8,464,"17.9",0,8,0,0,0,8,4,-0.19,-0.26,-0.13,"-0.13","-0.28","0.03","9","212","18.4","0","9","0","0","0","9","2","0.12","0.02","0.22","0.21","-0.03","0.46","136281, 136304, 136456, 136555, 136720, 137072, 138620, 138686, 140105"
"TR01688",4253,"Multi-academy trust","THE PRIORY FEDERATION OF ACADEMIES","East Midlands and Humber",4,330,"10.9",4,0,0,0,0,4,4,-0.1,-0.17,-0.03,"-0.37","-0.62","-0.12","4","119","16.8","4","0","0","0","0","4","3","0.07","-0.07","0.21","-0.11","-0.43","0.2","135563, 135564, 135565, 136194"
"TR01817",4397,"Multi-academy trust","THE ROSEDALE HEWENS ACADEMY TRUST","North West London and South Central",4,75,"42.7",0,2,2,0,0,4,4,-0.41,-0.56,-0.27,"-0.63","-0.86","-0.4","4","37","37.8","0","2","2","0","0","4","5","-0.74","-0.97","-0.51","-0.83","-1.22","-0.44","137077, 137078, 138368, 141035"
"SP00471",5029,"School sponsor","The Skinners' Company","South East and South London",4,247,"19",3,1,0,0,1,3,2,0.11,0.03,0.19,"-0.22","-0.44","-0.01","3","46","19.6","3","0","0","0","1","2","2","0.32","0.08","0.56","0.44","-0.13","1","135290, 135888, 136137, 140595"
"TR01987",4609,"Multi-academy trust","THE SPENCER ACADEMIES TRUST","East Midlands and Humber",3,219,"SUPPM",0,3,0,0,1,2,4,-0.11,-0.19,-0.02,"SUPPM","SUPPM","SUPPM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","136291, 137606, 138628"
"TR02276",5049,"Multi-academy trust","THE THINKING SCHOOLS ACADEMY TRUST","South East and South London",3,280,"15",1,2,0,0,1,2,4,-0.22,-0.3,-0.15,"-0.45","-0.65","-0.24","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","136108, 136313, 136594"
"TR00097",16093,"Multi-academy trust","THE TWO COUNTIES TRUST","East Midlands and Humber",3,262,"9.2",0,3,0,3,0,0,4,-0.13,-0.21,-0.05,"0.22","-0.07","0.51","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","137158, 137981, 142741"
"TR02332",5128,"Multi-academy trust","TUDOR GRANGE ACADEMIES TRUST","West Midlands",3,242,"8.7",1,2,0,0,0,3,3,-0.05,-0.13,0.03,"0.04","-0.24","0.33","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","135913, 136310, 140731"
"TR02343",5143,"Multi-academy trust","UNITED LEARNING TRUST","National Sponsor Unit",15,879,"30.8",15,0,0,0,0,15,3,-0.03,-0.07,0.02,"-0.02","-0.11","0.07","14","411","39.9","14","0","0","0","0","14","2","0.22","0.13","0.3","0.25","0.12","0.39","130912, 131895, 132727, 134814, 134815, 135296, 135364, 135365, 135621, 135649, 135760, 135962, 135966, 137782, 139282"
"TR00725",3012,"Multi-academy trust","UNIVERSITY OF WOLVERHAMPTON MULTI ACADEMY TRUST","West Midlands",3,102,"26.5",2,1,0,0,1,2,3,-0.04,-0.18,0.1,"-0.1","-0.41","0.21","3","93","25.8","2","1","0","0","1","2","3","0.11","-0.04","0.25","0.11","-0.2","0.41","139328, 140586, 141245"
"TR02421",5253,"Multi-academy trust","WELLSWAY MULTI ACADEMY TRUST","South West",4,182,"5.5",1,1,2,0,2,2,3,-0.07,-0.16,0.03,"0.33","-0.11","0.78","4","50","SUPP","1","1","2","0","2","2","3","0.23","-0.01","0.47","SUPP","SUPP","SUPP","137523, 140944, 141665, 142127"
"TR02518",5385,"Multi-academy trust","WOODARD ACADEMIES TRUST","South East and South London",3,170,"10.6",3,0,0,0,0,3,4,-0.21,-0.31,-0.12,"0.01","-0.3","0.33","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","NEM","135744, 135745, 139658"
