"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TPUP","KS2APS","PTFSM6CLA1A","PTNOTFSM6CLA1A","PTSEN","PTEALGRP2","ACCCONVERTER","ACCSPONSOR","FREE_STUDIO_UTC","YEARS3","YEARS4","YEARS5","P8BANDING","EBACC_E_PTQ_EE_WGTAVG","EBACC_95_WGTAVG","EBACC_94_WGTAVG","EBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A","EBACC_95_WGTAVG_FSM6CLA1A","EBACC_94_WGTAVG_FSM6CLA1A","EBACC_E_PTQ_EE_WGTAVG_NOTFSM6CLA1A","EBACC_95_WGTAVG_NOTFSM6CLA1A","EBACC_94_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_WGTAVG","P8SCORE_ADJ_LOWER","P8SCORE_ADJ_UPPER","P8SCORE_ORIG_WGTAVG","P8SCORE_ORIG_LOWER","P8SCORE_ORIG_UPPER","EBACCAPS_WGTAVG","P8SCORE_ADJ_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_LOWER_FSM6CLA1A","P8SCORE_ADJ_UPPER_FSM6CLA1A","P8SCORE_ORIG_WGTAVG_FSM6CLA1A","P8SCORE_ORIG_LOWER_FSM6CLA1A","P8SCORE_ORIG_UPPER_FSM6CLA1A","EBACCAPS_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_LOWER_NOTFSM6CLA1A","P8SCORE_ADJ_UPPER_NOTFSM6CLA1A","P8SCORE_ORIG_WGTAVG_NOTFSM6CLA1A","P8SCORE_ORIG_LOWER_NOTFSM6CLA1A","P8SCORE_ORIG_UPPER_NOTFSM6CLA1A","EBACCAPS_WGTAVG_NOTFSM6CLA1A","SCHOOL-URNS"
"TR00389",2543,"Multi-academy trust","THE CARDINAL HUME ACADEMIES TRUST","North West London and South Central",3,3,412,28.1,41,59,22.3,53.9,3,0,0,1,0,2,1,37.5,18.7,25.3,33.7,19.7,24.6,40,18.1,25.7,0.71,0.58,0.85,0.71,0.58,0.85,4.55,0.59,0.39,0.79,0.59,0.39,0.79,4.39,0.82,0.64,1.01,0.82,0.63,1.01,4.66,"139362, 139369, 143082"
"TR00567",2777,"Multi-academy trust","THE CO-OPERATIVE ACADEMIES TRUST","Lancashire and West Yorkshire",4,4,680,27.2,54.4,45.6,12.8,44.3,0,4,0,1,0,3,4,31.1,7.3,12.5,27.7,5.1,9.5,35.2,10,16.2,-0.2,-0.31,-0.09,-0.21,-0.32,-0.1,3.39,-0.3,-0.44,-0.15,-0.31,-0.46,-0.16,3.1,-0.07,-0.24,0.1,-0.07,-0.24,0.1,3.74,"136102, 136174, 137065, 142762"
"TR00633",2854,"Multi-academy trust","THE DAVID ROSS EDUCATION TRUST","National Sponsor Unit",10,10,1135,27.8,27.2,72.8,14.4,14.5,3,7,0,0,2,8,4,32.3,8.3,16.7,21.4,3.6,10,36.4,10.1,19.1,-0.25,-0.32,-0.17,-0.26,-0.33,-0.18,3.52,-0.65,-0.8,-0.51,-0.67,-0.82,-0.52,2.88,-0.09,-0.18,0,-0.09,-0.19,0,3.76,"135294, 136201, 136479, 137200, 138757, 138783, 139060, 141166, 141391, 141874"
"TR00637",2864,"Multi-academy trust","THE DEAN TRUST","Lancashire and West Yorkshire",3,3,450,28.8,32,68,22.2,5.3,2,1,0,0,0,3,4,46,10.2,19.1,45.1,5.6,13.2,46.4,12.4,21.9,-0.38,-0.5,-0.26,-0.4,-0.53,-0.28,3.72,-0.59,-0.8,-0.38,-0.61,-0.82,-0.4,3.02,-0.28,-0.43,-0.13,-0.3,-0.45,-0.15,4.05,"138123, 138124, 140412"
"TR00665",2928,"Multi-academy trust","THE DIOCESE OF WESTMINSTER ACADEMY TRUST","North West London and South Central",6,6,1051,29.5,16.9,83.1,9.6,32.4,6,0,0,0,0,6,2,70.4,27.8,42.1,67.4,17.4,28.1,71,29.9,44.9,0.38,0.3,0.46,0.37,0.29,0.46,4.83,0.12,-0.07,0.32,0.1,-0.1,0.29,4.04,0.43,0.35,0.52,0.43,0.34,0.52,5,"137895, 137922, 137925, 137938, 137994, 137995"
"TR00878",3206,"Multi-academy trust","THE GORSE ACADEMIES TRUST","Lancashire and West Yorkshire",4,4,688,28.2,32.8,67.2,5.8,8.6,1,2,1,0,1,3,1,42,20.6,29.6,26.4,11.9,14.2,49.4,24.7,36.9,0.59,0.5,0.69,0.59,0.49,0.69,4.46,0.38,0.21,0.55,0.37,0.2,0.54,3.75,0.69,0.57,0.81,0.69,0.57,0.81,4.8,"136392, 137577, 140565, 142056"
"TR00892",15758,"Multi-academy trust","THE GREAT SCHOOLS TRUST","Lancashire and West Yorkshire",3,3,244,27.9,44.7,55.3,22.5,20.5,0,1,2,0,3,0,3,59,18.9,32,38.5,7.3,17.4,75.6,28.1,43.7,0.03,-0.15,0.2,0.02,-0.16,0.19,4.01,-0.46,-0.73,-0.2,-0.48,-0.75,-0.21,2.99,0.42,0.2,0.65,0.42,0.19,0.65,4.83,"137675, 138260, 138562"
"SP00251",3278,"School sponsor","The Haberdashers' Livery Company","South East and South London",5,5,813,29.5,32.3,67.7,13.5,14,1,4,0,0,0,5,4,41.5,18.1,26.6,31.2,8,13.7,46.4,22.9,32.7,-0.17,-0.26,-0.08,-0.18,-0.27,-0.08,4.31,-0.51,-0.67,-0.35,-0.51,-0.67,-0.35,3.34,-0.01,-0.12,0.1,-0.01,-0.13,0.1,4.77,"135070, 135073, 135582, 135951, 137446"
"TR01015",3372,"Multi-academy trust","THE HEATH FAMILY (NORTH WEST)","Lancashire and West Yorkshire",4,4,585,27.9,45.6,54.4,15.4,4.3,2,2,0,1,1,2,5,29.5,9.3,14.8,20,2.7,5.2,36.9,14.6,22.3,-0.56,-0.67,-0.46,-0.58,-0.69,-0.48,3.22,-0.94,-1.09,-0.78,-0.97,-1.12,-0.81,2.47,-0.26,-0.4,-0.12,-0.27,-0.42,-0.13,3.8,"136779, 139953, 141694, 142798"
"TR01121",3493,"Multi-academy trust","THE HOWARD PARTNERSHIP TRUST","South East and South London",4,4,839,29.2,16.9,83.1,11,8.3,4,0,0,1,1,2,4,51.9,21.5,32.8,31,8.3,14.8,56,24.1,36.3,-0.14,-0.23,-0.05,-0.14,-0.23,-0.05,4.3,-0.7,-0.92,-0.49,-0.71,-0.93,-0.49,2.96,-0.02,-0.12,0.08,-0.03,-0.13,0.07,4.57,"136832, 136833, 142315, 144503"
"TR01192",3586,"Multi-academy trust","THE KEMNAL ACADEMIES TRUST","South East and South London",14,14,2035,27.8,31.1,68.9,20.2,7.5,10,4,0,0,1,13,4,30.4,5.9,11.9,23.5,3.6,7.9,33.6,6.9,13.7,-0.46,-0.52,-0.4,-0.47,-0.53,-0.41,3.31,-0.79,-0.9,-0.69,-0.81,-0.91,-0.7,2.7,-0.31,-0.37,-0.24,-0.31,-0.38,-0.24,3.59,"136156, 136281, 136304, 136342, 136456, 136555, 136720, 137072, 137096, 138437, 138620, 138686, 140105, 140605"
"TR01434",3908,"Multi-academy trust","THE MIDLAND ACADEMIES TRUST","West Midlands",4,4,566,28.4,27,73,14.8,2.5,2,2,0,0,1,3,5,19.9,3.3,6.8,12.2,0,0.7,22.7,4.5,9.1,-0.61,-0.72,-0.5,-0.62,-0.73,-0.51,3.22,-1,-1.2,-0.79,-1,-1.21,-0.79,2.52,-0.47,-0.59,-0.34,-0.48,-0.6,-0.35,3.49,"136158, 137079, 138327, 138644"
"TR01688",4253,"Multi-academy trust","THE PRIORY FEDERATION OF ACADEMIES","East Midlands and Humber",4,4,682,28.8,22.1,77.9,11.1,10.7,0,4,0,0,0,4,3,43.8,16.3,25.7,23.8,5.3,11.9,49.5,19.4,29.6,-0.05,-0.14,0.05,-0.05,-0.15,0.05,4.12,-0.24,-0.45,-0.03,-0.27,-0.48,-0.05,3.2,0.01,-0.1,0.12,0.01,-0.11,0.12,4.38,"135563, 135564, 135565, 136194"
"TR01807",4386,"Multi-academy trust","THE RODILLIAN MULTI ACADEMY TRUST","Lancashire and West Yorkshire",4,4,569,28.3,25,75,13.9,2.1,1,3,0,1,1,2,3,9.5,5.1,7.3,5.2,2.2,3.1,10.9,6.1,8.7,0.09,-0.02,0.19,0.07,-0.04,0.18,3.9,-0.39,-0.6,-0.18,-0.45,-0.67,-0.24,3.01,0.25,0.13,0.37,0.25,0.12,0.37,4.21,"138111, 138336, 138593, 143138"
"TR01817",4397,"Multi-academy trust","THE ROSEDALE HEWENS ACADEMY TRUST","North West London and South Central",4,4,191,27.4,47.1,52.9,6.3,64.4,2,0,2,0,0,4,2,31.9,12,17.3,27.8,7.8,13.3,35.6,15.8,20.8,0.35,0.15,0.55,0.33,0.13,0.53,3.79,0.02,-0.26,0.3,-0.02,-0.3,0.26,3.2,0.7,0.41,0.98,0.69,0.4,0.98,4.32,"137077, 137078, 138368, 141035"
"TR00517",16257,"Multi-academy trust","THE SIGMA TRUST","East of England and North East London",4,4,794,28.1,26.8,73.2,11,5.8,4,0,0,3,0,1,3,20.6,8.7,15.3,11.7,3,7.8,24.2,11.1,18.3,0.08,-0.01,0.17,0.08,-0.01,0.17,3.58,-0.14,-0.32,0.03,-0.15,-0.33,0.03,3.03,0.17,0.07,0.28,0.17,0.06,0.28,3.79,"137927, 137937, 137944, 138084"
"SP00471",5029,"School sponsor","The Skinners' Company","South East and South London",4,4,642,28.7,33,67,16,22.9,1,3,0,0,1,3,2,54.2,26.1,33.8,34.5,7.4,13.3,63.8,35.2,43.8,0.17,0.07,0.27,0.17,0.06,0.27,4.5,-0.27,-0.44,-0.09,-0.27,-0.45,-0.1,3.28,0.39,0.26,0.52,0.39,0.26,0.52,5.1,"135290, 135888, 136137, 140595"
"TR01987",4609,"Multi-academy trust","THE SPENCER ACADEMIES TRUST","East Midlands and Humber",3,3,582,29.4,17.5,82.5,10.3,3.4,3,0,0,0,1,2,3,50.8,23.7,34.2,32.7,8.8,16.7,54.6,26.8,37.8,0,-0.1,0.11,0,-0.11,0.11,4.38,-0.29,-0.54,-0.04,-0.3,-0.55,-0.04,3.4,0.07,-0.05,0.18,0.06,-0.06,0.18,4.59,"136291, 137606, 138628"
"TR02276",5049,"Multi-academy trust","THE THINKING SCHOOLS ACADEMY TRUST","South East and South London",4,4,493,29.7,26,74,6.9,21.5,2,2,0,0,1,3,2,47.6,33.8,42.5,17.8,8.6,13.6,57.4,42.1,52,0.32,0.2,0.44,0.31,0.19,0.43,4.95,-0.19,-0.42,0.04,-0.19,-0.42,0.04,3.41,0.49,0.36,0.63,0.48,0.34,0.62,5.45,"136108, 136313, 136594, 139714"
"TR00097",16093,"Multi-academy trust","THE TWO COUNTIES TRUST","East Midlands and Humber",4,4,857,28.6,26.1,73.9,10.5,2.5,4,0,0,4,0,0,4,27.5,9.1,16.5,18.8,2.7,5.8,30.6,11.4,20.2,-0.19,-0.28,-0.11,-0.2,-0.28,-0.11,3.66,-0.54,-0.71,-0.37,-0.54,-0.71,-0.37,2.86,-0.07,-0.17,0.03,-0.07,-0.18,0.03,3.95,"137158, 137981, 142725, 142741"
"TR02302",5079,"Multi-academy trust","TOLLBAR MULTI ACADEMY TRUST","East Midlands and Humber",3,3,530,28.4,21.9,78.1,4.3,2.6,1,2,0,1,0,2,2,52.2,20.7,35.9,31.3,12.9,18.4,58,22.8,40.7,0.17,0.06,0.28,0.17,0.06,0.28,4.37,-0.22,-0.45,0.02,-0.22,-0.46,0.03,3.46,0.27,0.15,0.4,0.27,0.15,0.4,4.62,"136192, 136268, 142392"
"SP00386",5099,"School sponsor","Transforming Education in Norfolk (the TEN Group)","East of England and North East London",3,3,308,27.3,18.8,81.2,18.8,6.8,2,1,0,0,0,3,3,18.2,4.9,8.4,10.3,1.7,3.4,20,5.6,9.6,-0.02,-0.16,0.13,-0.02,-0.17,0.13,3.55,-0.56,-0.89,-0.23,-0.58,-0.92,-0.25,2.81,0.12,-0.05,0.28,0.12,-0.05,0.28,3.73,"137949, 139572, 140534"
"TR01835",5454,"Multi-academy trust","TRENT ACADEMIES GROUP","East Midlands and Humber",3,3,589,29,21.9,78.1,10.2,5.8,2,1,0,1,1,1,2,22.8,15.6,18.5,11.5,3.6,7.3,25.9,18.8,21.6,0.13,0.03,0.24,0.11,0.01,0.22,4.25,-0.44,-0.66,-0.21,-0.45,-0.68,-0.22,3.18,0.29,0.17,0.4,0.27,0.15,0.39,4.53,"137536, 138482, 141335"
"TR02332",5128,"Multi-academy trust","TUDOR GRANGE ACADEMIES TRUST","West Midlands",4,4,560,28.7,20.7,79.3,13.8,5.4,2,2,0,1,0,3,3,36.4,17.2,26.2,11.2,3.1,7.1,42,20.4,30.5,0.09,-0.02,0.2,0.08,-0.03,0.19,4.27,-0.75,-0.99,-0.51,-0.76,-1,-0.52,2.44,0.29,0.16,0.41,0.28,0.15,0.4,4.68,"135913, 136310, 140731, 144479"
"TR02343",5143,"Multi-academy trust","UNITED LEARNING TRUST","National Sponsor Unit",28,28,4092,28,39.6,60.4,12,22.4,1,26,1,0,1,27,2,39,13.5,22.3,31.5,9.4,17.1,43.8,16.2,25.8,0.16,0.12,0.2,0.15,0.11,0.19,3.94,-0.09,-0.15,-0.02,-0.1,-0.16,-0.03,3.4,0.33,0.28,0.38,0.32,0.27,0.38,4.29,"130912, 131749, 131895, 131896, 132727, 134224, 134814, 134815, 135071, 135262, 135296, 135364, 135365, 135620, 135621, 135649, 135760, 135962, 135966, 137782, 139258, 139282, 139664, 140007, 140008, 140515, 140679, 141617"
"TR01862",4454,"Multi-academy trust","UNITY SCHOOLS PARTNERSHIP","East of England and North East London",4,4,645,28,18.4,81.6,11.3,7.4,2,2,0,1,1,2,3,69.1,14.5,27.7,62.9,6.4,19.7,70.5,16.3,29.5,-0.04,-0.14,0.07,-0.04,-0.14,0.06,4.05,-0.32,-0.56,-0.09,-0.33,-0.57,-0.1,3.37,0.03,-0.08,0.15,0.03,-0.08,0.15,4.2,"136322, 140669, 140969, 141639"
"TR00985",3339,"Multi-academy trust","UNIVERSITY OF BRIGHTON ACADEMIES TRUST","South East and South London",3,3,590,27.9,30.8,69.2,16.1,4.4,0,3,0,1,0,2,5,22.4,6.3,10.3,16.9,0.6,4.3,25.1,9.1,13.3,-0.53,-0.63,-0.42,-0.54,-0.65,-0.43,3.24,-0.78,-0.97,-0.59,-0.81,-1,-0.62,2.56,-0.4,-0.53,-0.27,-0.41,-0.54,-0.28,3.58,"136400, 136401, 142089"
"TR02347",5152,"Multi-academy trust","UNIVERSITY OF CHESTER ACADEMIES TRUST","West Midlands",4,4,383,27.5,35.8,64.2,20.6,6.3,1,3,0,0,0,4,5,33.4,4.4,9.4,23.4,2.2,2.9,39,5.7,13,-0.58,-0.71,-0.45,-0.59,-0.73,-0.46,3.21,-0.98,-1.2,-0.77,-1.01,-1.24,-0.79,2.41,-0.35,-0.51,-0.19,-0.35,-0.52,-0.19,3.65,"135941, 137582, 139072, 139708"
"TR00725",3012,"Multi-academy trust","UNIVERSITY OF WOLVERHAMPTON MULTI ACADEMY TRUST","West Midlands",3,3,518,28.1,37.5,62.5,18.5,21,1,2,0,0,1,2,5,15.6,1.8,5.1,12.9,1.6,2.7,17.3,2,6.6,-0.65,-0.76,-0.54,-0.66,-0.78,-0.55,2.96,-0.95,-1.13,-0.77,-0.97,-1.16,-0.79,2.47,-0.46,-0.61,-0.32,-0.47,-0.61,-0.32,3.25,"139328, 140586, 141245"
"TR02421",5253,"Multi-academy trust","WELLSWAY MULTI ACADEMY TRUST","South West",4,4,496,29.3,18.3,81.7,9.7,0.4,1,1,2,0,2,2,3,28.8,18,25.6,8.7,3.4,5.6,33.4,21.3,30.2,-0.1,-0.21,0.01,-0.12,-0.24,0,4.03,-0.91,-1.18,-0.64,-0.99,-1.26,-0.72,2.47,0.08,-0.04,0.21,0.08,-0.05,0.2,4.38,"137523, 140944, 141665, 142127"
"TR02565",5275,"Multi-academy trust","WEST NORFOLK ACADEMIES TRUST","East of England and North East London",3,3,540,28.2,21.7,78.3,10.9,6.5,1,2,0,1,0,2,3,29.1,11,18.6,18.1,5.1,10.9,31.9,12.5,20.5,-0.04,-0.15,0.07,-0.04,-0.16,0.07,3.85,-0.58,-0.81,-0.34,-0.59,-0.83,-0.35,3,0.1,-0.03,0.22,0.1,-0.03,0.22,4.06,"136515, 140557, 142396"
"TR02700",5316,"Multi-academy trust","WHITE ROSE ACADEMIES TRUST","Lancashire and West Yorkshire",3,3,413,26.7,55,45,13.1,24.2,0,3,0,0,0,3,3,27.6,7.5,11.1,24.2,6.2,9.3,31.7,9.1,13.4,-0.09,-0.23,0.04,-0.1,-0.24,0.04,3.17,-0.28,-0.45,-0.1,-0.28,-0.46,-0.11,2.78,0.17,-0.04,0.39,0.17,-0.05,0.39,3.64,"135935, 136826, 139646"
"TR02518",5385,"Multi-academy trust","WOODARD ACADEMIES TRUST","South East and South London",5,5,831,28.3,26.6,73.4,15.2,11.9,0,5,0,0,0,5,4,45,12.9,20.8,28.1,4.1,8.1,51.1,16.1,25.4,-0.36,-0.44,-0.27,-0.37,-0.46,-0.28,3.66,-0.82,-0.99,-0.65,-0.85,-1.02,-0.67,2.65,-0.18,-0.29,-0.08,-0.19,-0.3,-0.08,4.02,"135744, 135745, 136824, 136923, 139658"
