"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TPUP","KS2APS","PTFSM6CLA1A","PTNOTFSM6CLA1A","PTSEN","PTEALGRP2","ACCCONVERTER","ACCSPONSOR","FREE_STUDIO_UTC","YEARS3","YEARS4","YEARS5","P8BANDING","EBACC_E_PTQ_EE_WGTAVG","EBACC_95_WGTAVG","EBACC_94_WGTAVG","EBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A","EBACC_95_WGTAVG_FSM6CLA1A","EBACC_94_WGTAVG_FSM6CLA1A","EBACC_E_PTQ_EE_WGTAVG_NOTFSM6CLA1A","EBACC_95_WGTAVG_NOTFSM6CLA1A","EBACC_94_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_WGTAVG","P8SCORE_ADJ_LOWER","P8SCORE_ADJ_UPPER","P8SCORE_ORIG_WGTAVG","P8SCORE_ORIG_LOWER","P8SCORE_ORIG_UPPER","EBACCAPS_WGTAVG","P8SCORE_ADJ_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_LOWER_FSM6CLA1A","P8SCORE_ADJ_UPPER_FSM6CLA1A","P8SCORE_ORIG_WGTAVG_FSM6CLA1A","P8SCORE_ORIG_LOWER_FSM6CLA1A","P8SCORE_ORIG_UPPER_FSM6CLA1A","EBACCAPS_WGTAVG_FSM6CLA1A","P8SCORE_ADJ_WGTAVG_NOTFSM6CLA1A","P8SCORE_ADJ_LOWER_NOTFSM6CLA1A","P8SCORE_ADJ_UPPER_NOTFSM6CLA1A","P8SCORE_ORIG_WGTAVG_NOTFSM6CLA1A","P8SCORE_ORIG_LOWER_NOTFSM6CLA1A","P8SCORE_ORIG_UPPER_NOTFSM6CLA1A","EBACCAPS_WGTAVG_NOTFSM6CLA1A","SCHOOL-URNS"
"TR02426",2987,"Multi-academy trust","EAST MIDLANDS EDUCATION TRUST","East Midlands and Humber",6,6,1027,29.3,17.2,82.8,4.9,2.7,6,0,0,3,1,2,2,34.2,23.8,27.8,19.9,6.2,10.2,37.1,27.3,31.3,0.3,0.22,0.38,0.3,0.22,0.38,4.69,-0.28,-0.47,-0.09,-0.28,-0.47,-0.08,3.4,0.41,0.33,0.5,0.41,0.32,0.5,4.94,"136628, 137628, 138191, 138641, 141259, 142710"
"TR02745",3010,"Multi-academy trust","EDUCATION AND LEADERSHIP TRUST","Lancashire and West Yorkshire",3,3,644,27.7,48,52,8.1,70.5,1,2,0,1,0,2,1,54.6,28,41.6,45.6,20.4,32.4,62.6,34.8,49.6,0.59,0.49,0.7,0.58,0.48,0.69,4.54,0.32,0.18,0.47,0.32,0.17,0.47,4.02,0.85,0.7,1,0.84,0.69,1,5,"141196, 141264, 144494"
"TR03704",16552,"Multi-academy trust","EMMANUEL SCHOOLS FOUNDATION","North",3,3,569,28.1,27.6,72.4,12.7,4.2,0,3,0,3,0,0,4,45,13.2,23,33.8,6.4,12.7,49.3,15.8,26.9,-0.22,-0.32,-0.11,-0.23,-0.33,-0.12,3.71,-0.62,-0.82,-0.42,-0.63,-0.84,-0.43,2.98,-0.06,-0.19,0.06,-0.07,-0.2,0.06,3.99,"134223, 135007, 135619"
"TR00946",16251,"Multi-academy trust","EMPOWER LEARNING ACADEMY TRUST","East of England and North East London",3,3,486,28.6,29.2,70.8,9.5,13,3,0,0,2,0,1,4,39,15.4,27.8,26.4,7.6,13.6,43.5,18.1,32.8,-0.19,-0.31,-0.08,-0.21,-0.33,-0.09,4.01,-0.67,-0.88,-0.45,-0.7,-0.92,-0.49,3.1,-0.02,-0.16,0.12,-0.03,-0.17,0.11,4.34,"136576, 137197, 139307"
"TR00767",3076,"Multi-academy trust","FAIRFAX MULTI ACADEMY TRUST","West Midlands",3,3,554,28.3,44.6,55.4,9.4,21.3,1,2,0,1,1,1,4,49.3,11.1,22.5,28.8,6.2,11.3,63,14.4,30,-0.17,-0.29,-0.06,-0.18,-0.29,-0.07,3.91,-0.46,-0.63,-0.29,-0.47,-0.64,-0.3,3.11,0.01,-0.14,0.17,0.01,-0.14,0.17,4.44,"136908, 141318, 143413"
"TR00810",3123,"Multi-academy trust","FORT PITT THOMAS AVELING ACADEMIES","South East and South London",3,3,477,28.2,29.1,70.9,22.2,11.9,2,1,0,0,1,2,3,20,11.5,17.2,10.6,2.9,5.2,24,15.2,22.3,-0.05,-0.17,0.06,-0.06,-0.18,0.06,3.8,-0.56,-0.77,-0.34,-0.56,-0.78,-0.34,2.92,0.17,0.02,0.31,0.16,0.02,0.3,4.18,"136337, 137376, 138511"
"TR00836",3155,"Multi-academy trust","FYLDE COAST ACADEMY TRUST","Lancashire and West Yorkshire",3,3,408,28.2,50.2,49.8,14.5,8.6,1,2,0,0,1,2,5,13.6,4.2,7.5,8.4,1.6,3.9,19.3,7,11.4,-0.52,-0.64,-0.39,-0.52,-0.65,-0.39,3.29,-0.67,-0.85,-0.49,-0.68,-0.86,-0.5,2.95,-0.32,-0.51,-0.14,-0.33,-0.52,-0.14,3.66,"137973, 139675, 141132"
"TR00883",3211,"Multi-academy trust","GRACE ACADEMY","West Midlands",3,3,346,27.5,48.8,51.2,8.7,12.7,0,3,0,0,0,3,2,10.4,2,3.5,7.7,0.6,0.6,13,3.4,6.2,0.14,0.01,0.28,0.14,0,0.28,3.53,0.03,-0.17,0.22,0.03,-0.17,0.23,3.18,0.26,0.07,0.45,0.26,0.06,0.46,3.87,"129342, 135335, 135956"
"TR00893",3225,"Multi-academy trust","GREAT ACADEMIES EDUCATION TRUST","Lancashire and West Yorkshire",3,3,579,28.4,39,61,10.9,19.5,2,1,0,1,0,2,4,11.5,3.6,6.6,7,0.3,3.1,14.5,5.7,8.8,-0.5,-0.61,-0.39,-0.52,-0.63,-0.41,3.32,-0.85,-1.02,-0.68,-0.88,-1.05,-0.7,2.68,-0.27,-0.4,-0.13,-0.28,-0.42,-0.14,3.74,"135508, 139294, 143319"
"TR00911",5452,"Multi-academy trust","GREENSHAW LEARNING TRUST","South East and South London",3,3,560,28.4,31.1,68.9,15,23.4,1,2,0,1,1,1,3,28.3,10.1,15.9,19.2,6,10.6,32.5,11.9,18.4,0.07,-0.04,0.18,0.06,-0.05,0.17,3.94,-0.15,-0.35,0.05,-0.16,-0.37,0.04,3.32,0.17,0.04,0.3,0.16,0.03,0.3,4.23,"136800, 142040, 142577"
"TR00914",3252,"Multi-academy trust","GREENWOOD ACADEMIES TRUST","East Midlands and Humber",8,8,1453,27.2,39.2,60.8,22.7,26.6,0,7,1,0,0,8,4,32.3,8.9,15.1,23.7,5.1,9.3,37.9,11.4,18.8,-0.34,-0.4,-0.27,-0.34,-0.41,-0.27,3.2,-0.61,-0.72,-0.51,-0.63,-0.74,-0.52,2.68,-0.14,-0.23,-0.05,-0.14,-0.23,-0.05,3.53,"135881, 136217, 136948, 137184, 137880, 138569, 139082, 139957"
"TR00927",3272,"Multi-academy trust","GUILDFORD EDUCATION PARTNERSHIP","South East and South London",3,3,655,29.3,13.9,86.1,21.7,10.5,2,1,0,0,1,2,2,58.1,21.7,34,25.2,6.1,7.3,63.5,24.3,38.4,0.19,0.09,0.29,0.19,0.08,0.29,4.57,-0.45,-0.71,-0.18,-0.45,-0.72,-0.18,3.05,0.29,0.19,0.4,0.29,0.18,0.4,4.82,"136906, 137003, 141200"
"SP00257",3319,"School sponsor","Harris Federation","National Sponsor Unit",20,20,3135,28.5,39.5,60.5,11.6,32.1,2,16,2,2,0,18,2,66.4,24.7,36.7,61.2,18.9,31,69.9,28.5,40.6,0.39,0.34,0.43,0.38,0.33,0.43,4.54,0.19,0.11,0.26,0.18,0.11,0.26,4.1,0.52,0.46,0.58,0.52,0.46,0.58,4.83,"131747, 131897, 132711, 134225, 135249, 135311, 135677, 135816, 135955, 137121, 137379, 137549, 138449, 138495, 139703, 140935, 140952, 140985, 143427, 143428"
"TR01149",3531,"Multi-academy trust","INSPIRATION TRUST","East of England and North East London",7,7,827,27.2,31.9,68.1,7.3,14.1,1,4,2,1,2,4,2,52.1,17.5,27.5,32.1,6.2,11.8,60.3,22.2,33.9,0.25,0.16,0.34,0.25,0.16,0.34,4.05,-0.09,-0.25,0.07,-0.1,-0.26,0.06,3.14,0.4,0.29,0.51,0.4,0.29,0.51,4.42,"136204, 137134, 137431, 140188, 140815, 142059, 142883"
"TR02737",5519,"Multi-academy trust","INVICTUS EDUCATION TRUST","West Midlands",4,4,556,28.9,23.9,76.1,12.8,0.7,1,3,0,0,4,0,4,55.9,11.5,21.4,36.1,3.8,10.5,62.2,13.9,24.8,-0.23,-0.33,-0.12,-0.23,-0.34,-0.12,3.94,-0.46,-0.68,-0.24,-0.47,-0.69,-0.25,2.9,-0.15,-0.28,-0.03,-0.15,-0.28,-0.03,4.26,"141325, 141342, 141343, 141570"
"TR01197",3594,"Multi-academy trust","KENT CATHOLIC SCHOOLS' PARTNERSHIP","South East and South London",5,5,690,28,19.9,80.1,14.1,12.8,4,1,0,1,1,3,2,30.7,9,15.5,17.8,3.6,4.5,33.7,10.2,18.1,0.14,0.04,0.24,0.13,0.03,0.23,3.87,-0.56,-0.79,-0.34,-0.58,-0.81,-0.36,2.97,0.3,0.19,0.41,0.3,0.18,0.41,4.08,"140537, 140640, 140874, 141217, 141628"
"TR01273",3684,"Multi-academy trust","LANDAU FORTE CHARITABLE TRUST","East Midlands and Humber",3,3,423,28.4,26.7,73.3,15.4,7.8,0,3,0,0,0,3,3,27.2,13.7,18.7,23.9,10.6,18.6,28.4,14.8,18.7,-0.01,-0.13,0.12,-0.01,-0.14,0.12,3.75,-0.27,-0.51,-0.04,-0.27,-0.52,-0.03,3.29,0.09,-0.05,0.24,0.09,-0.06,0.24,3.92,"135120, 136136, 137146"
"TR01302",3725,"Multi-academy trust","LEIGH ACADEMIES TRUST","South East and South London",6,6,1109,28.4,22.6,77.4,12.3,7.7,2,3,1,0,0,6,4,23.4,6.2,11.8,12,2.8,5.6,26.7,7.2,13.6,-0.32,-0.4,-0.24,-0.33,-0.4,-0.25,3.44,-0.85,-1.01,-0.69,-0.86,-1.03,-0.7,2.72,-0.16,-0.25,-0.07,-0.17,-0.26,-0.08,3.65,"135297, 135630, 136205, 136847, 140987, 141309"
"TR01354",3797,"Multi-academy trust","LOXFORD SCHOOL TRUST LIMITED","East of England and North East London",4,4,819,28.7,33.9,66.1,26.9,43,3,1,0,1,1,2,2,41,19.5,27.3,33.8,14,20.6,45,22.4,30.9,0.18,0.09,0.27,0.17,0.08,0.26,4.16,0.12,-0.03,0.28,0.12,-0.04,0.27,3.78,0.23,0.12,0.34,0.22,0.1,0.33,4.37,"136663, 139179, 140475, 141178"
