2018 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: This publication now includes the retention, and continuation and attainment data.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
BX,T_InScope_TLEV_Ret,Number of students at the end of 16-18 study with a tech level core aim,.,.,.,.
BY,PT_Retained_TLEV_Ret,Percentage of tech level core aims retained,.,.,.,.
BZ,PT_Ret_Assessed_TLEV,Percentage of tech level core aims retained and assessed,.,.,.,.
CA,T_InScope_TLEV_2ndYr,Number of students in scope for returned and retained for a second year measure where core aim is a tech level qualification,.,.,.,.
CB,PT_Retained_TLEV_2ndYr,Percentage of students who were retained for a second year with a tech level core aim,.,.,.,.
CC,T_AIMS_TLEV,Number of tech level aims,.,.,.,.
CD,CA_SCORE_TLEV,Completion and Attainment score,.,.,.,.
CE,TALLPUP_TechCert,Number of students at the end of 16-18 study who were entered for at least one technical certificate qualification,,,,
CF,TALLPPE_TechCert,Average point score per technical certificate entry ,,,,
CG,TALLPPEGRD_TechCert,Average point score per technical certificate entry expressed as a grade,,,,
CH,T_AIMS_TechCert,Number of technical certificate aims in completion and attainment measure,.,.,.,.
CI,CA_Score_TechCert,Technical certificate completion and attainment score,.,.,.,.
CJ,T_InScope_TechCert_Ret,Number of students in scope for retention measure where core aim is a tech cert programme,.,.,.,.
CK,PT_Retained_TechCert_Ret,Percentage of technical certificate core aims retained,.,.,.,.
CL,PT_Ret_Assessed_TechCert,Percentage of technical certificate core aims retained and assessed,.,.,.,.
CM,TALLPUP_L2VOC,Number of students at the end of 16-18 study who entered for at least one level 2 vocational qualification,,,,
CN,TALLPUP_ANYL2VOC,"Number of students entered for at least one level 2 vocational, whose highest qualification during 16-18 study was at level 2.",,,,
CO,TechCert_PER,Percentage of level 2 vocational students that are technical certificate students,,,,
CP,TALLPPE_L2VOC,Average point score per level 2 vocational entry,,,,
CQ,TALLPPEGRD_L2VOC,Average point score per level 2 vocational entry expressed as a grade,,,,
CR,T_AIMS_L2VOC,Number of level 2 vocational or technical certificate aims in completion and attainment measure,.,.,.,.
CS,CA_Score_L2VOC,Level 2 vocational completion and attainment score,.,.,.,.
CT,T_InScope_L2VOC_Ret,Number of students in scope for retention measure where core aim is a level 2 programme,.,.,.,.
CU,PT_Retained_L2VOC_Ret,Percentage of Level 2 core aims retained,.,.,.,.
CV,PT_Ret_Assessed_L2VOC,Percentage of level 2 vocational core aims retained and assessed,.,.,.,.
CW,TALLPUP_1618_DIS,Number of disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,,
CX,TALLPUP_ALEV_1618_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one AS or A level qualification,,,,
CY,TALLPPE_ALEV_1618_DIS,Average point score per A level entry for disadvantaged students,,,,
CZ,TALLPPEGRD_ALEV_DIS,Average point score per A level entry for disadvantaged students expressed as a grade,,,,
DA,TALLPUP_ACAD_1618_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification,,,,
DB,TALLPPE_ACAD_1618_DIS,Average point score per academic entry for disadvantaged students,,,,
DC,TALLPPEGRD_ACAD_DIS,Average point score per academic entry for disadvantaged students expressed as a grade,,,,
DD,TALLPUP_AGEN_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one applied general exam entry,,,,
DE,TALLPPE_AGEN_DIS,Average point score per applied general entry for disadvantaged students,,,,
DF,TALLPPEGRD_AGEN_DIS,Average point score per applied general entry expressed as a grade for disadvantaged students,,,,
DG,TALLPUP_TLEV_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one tech level exam entry,,,,
DH,TALLPPE_TLEV_DIS,Average point score per tech level entry for disadvantaged students,,,,
DI,TALLPPEGRD_TLEV_DIS,Average point score per tech level entry expressed as a grade for disadvantaged students,,,,
DJ,T_SCOPEEX_E_DIS,Number of disadvantaged students at the end of 16-18 study in scope for English progress measure,,,,
DK,PROGEX_E_DIS,Average progress made in English by disadvantaged students,,,,
DL,T_SCOPEEX_M_DIS,Number of disadvantaged students at the end of 16-18 study in scope for maths progress measure,,,,
DM,PROGEX_M_DIS,Average progress made in maths by disadvantaged students,,,,
DN,T_AIMS_TLEV_DIS,Number of Tech Level aims in completion and attainment for disadvantaged students,.,.,.,.
DO,CA_Score_TLEV_DIS,Tech Level completion and attainment score for disadvantaged students,.,.,.,.
DP,T_InScope_ALEV_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an A level qualification,.,.,.,.
