"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PSENELSE","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","SCHOOL-URNS"
"TR00353",2497,"Multi-academy trust","BURNT MILL ACADEMY TRUST","East of England and North East London",4,4,239,15.4,36,64,1.7,31.8,0,4,0,0,4,2,1.5,0.7,2.3,"1.5","0.2","2.8","1.5","0.5","2.5",2,1.9,1.1,2.6,"1.8","0.6","3.1","1.9","1","2.9","2","0.9","0.2","1.7","0.6","-0.6","1.7","1.2","0.3","2.1",1.5,0.7,2.3,"1.5","0.2","2.8","1.5","0.5","2.5",1.9,1.1,2.6,"1.8","0.5","3.1","1.9","0.9","2.9","0.9","0.2","1.7","0.6","-0.6","1.8","1.2","0.2","2.1","139398, 139399, 140019, 140024"
"TR00367",2516,"Multi-academy trust","CABOT LEARNING FEDERATION","South West",4,4,235,15.8,42.6,57.4,0.9,36.6,2,2,0,0,4,4,-1.2,-2,-0.4,"-1.9","-3.1","-0.7","-0.7","-1.7","0.4",3,0.5,-0.2,1.3,"0.1","-1.1","1.2","0.9","-0.1","1.9","3","-0.3","-1.1","0.4","-1","-2.1","0.1","0.1","-0.8","1.1",-1.2,-2,-0.4,"-1.9","-3.1","-0.7","-0.7","-1.8","0.4",0.5,-0.3,1.3,"-0.1","-1.2","1.1","0.9","-0.1","1.9","-0.4","-1.1","0.4","-1","-2.1","0.1","0.1","-0.9","1.1","138655, 138658, 138789, 138791"
"TR00392",2548,"Multi-academy trust","CARMEL EDUCATION TRUST","North",4,4,117,16.2,28.2,71.8,0,11.1,4,0,0,0,4,3,0.8,-0.3,1.9,"0.9","-1.2","3","0.7","-0.5","2",2,1.1,0.1,2.2,"1","-0.9","3","1.1","-0.1","2.3","3","0.5","-0.5","1.5","0.3","-1.6","2.2","0.6","-0.6","1.7",0.8,-0.3,1.9,"0.9","-1.2","3","0.7","-0.6","2",1.1,0,2.2,"1","-1","3.1","1.1","-0.1","2.4","0.5","-0.5","1.5","0.3","-1.6","2.2","0.6","-0.6","1.8","139492, 139531, 139533, 140442"
"SP00151",2889,"School sponsor","Catalyst Academies Trust","East of England and North East London",3,3,172,15.7,34.9,65.1,5.8,25,1,2,0,0,3,1,3.4,2.5,4.3,"4.5","3","6","2.7","1.6","3.9",1,4.8,3.9,5.6,"4.8","3.4","6.3","4.7","3.7","5.8","1","4.4","3.5","5.2","4.7","3.3","6.1","4.2","3.1","5.2",3.4,2.5,4.3,"4.5","3","6.1","2.7","1.6","3.9",4.8,3.9,5.7,"4.8","3.3","6.3","4.7","3.6","5.9","4.4","3.5","5.2","4.7","3.3","6.1","4.2","3.1","5.2","139104, 139382, 139576"
"TR00427",2594,"Multi-academy trust","CENTRAL LEARNING PARTNERSHIP TRUST","West Midlands",4,4,144,13.3,58.3,41.7,0.7,64.6,0,4,0,1,3,3,1,0,2.1,"1.6","0.3","2.9","0","-1.7","1.7",2,2.5,1.5,3.5,"2.3","1","3.6","2.7","1.1","4.3","2","1.8","0.8","2.7","2","0.8","3.3","1.3","-0.2","2.9",1,0,2.1,"1.6","0.3","3","0","-1.7","1.7",2.5,1.4,3.5,"2.3","1","3.6","2.7","1","4.3","1.8","0.8","2.7","2","0.8","3.3","1.3","-0.2","2.9","139199, 139223, 139225, 140378"
"TR00429",2597,"Multi-academy trust","CFBT SCHOOLS TRUST","East Midlands and Humber",8,8,304,15.7,45.1,54.9,2,34.5,2,4,2,0,8,3,0.1,-0.6,0.8,"-0.2","-1.3","0.8","0.4","-0.6","1.3",3,0.4,-0.2,1.1,"0.4","-0.6","1.3","0.4","-0.5","1.3","3","0.4","-0.2","1","-0.4","-1.4","0.5","1.1","0.3","2",0.1,-0.6,0.8,"-0.2","-1.3","0.8","0.4","-0.6","1.3",0.4,-0.3,1,"0.3","-0.7","1.3","0.4","-0.5","1.4","0.4","-0.3","1","-0.5","-1.4","0.5","1.1","0.2","2","137281, 138063, 138291, 138372, 138992, 139709, 139907, 140833"
"TR01190",5455,"Multi-academy trust","CHESHIRE ACADEMIES TRUST","West Midlands",3,3,96,17.5,9.4,90.6,1,2.1,3,0,0,2,1,3,0.9,-0.3,2.1,"-4.6","-8.5","-0.7","1.4","0.2","2.7",3,1,-0.1,2.2,"0.4","-3.3","4.2","1.1","-0.1","2.3","3","-0.3","-1.4","0.8","-5.3","-8.9","-1.8","0.2","-1","1.3",0.8,-0.4,2.1,"-5","-8.9","-1","1.4","0.1","2.7",1,-0.1,2.2,"0.4","-3.4","4.2","1.1","-0.1","2.3","-0.3","-1.4","0.8","-5.3","-8.9","-1.7","0.2","-1","1.4","138742, 141614, 141621"
"TR02599",2681,"Multi-academy trust","CHRIST THE KING CATHOLIC COLLEGIATE","West Midlands",3,3,135,16.7,11.1,88.9,2.2,29.6,3,0,0,0,3,3,0.7,-0.3,1.7,"-0.6","-3.6","2.4","0.9","-0.2","2",3,-0.7,-1.7,0.3,"-1.8","-4.7","1.1","-0.5","-1.6","0.5","3","0.5","-0.4","1.4","0.4","-2.4","3.1","0.5","-0.5","1.5",0.7,-0.4,1.7,"-0.6","-3.7","2.5","0.8","-0.3","2",-0.7,-1.7,0.3,"-1.8","-4.7","1.2","-0.5","-1.6","0.5","0.5","-0.5","1.4","0.2","-2.6","3","0.5","-0.5","1.5","140803, 140804, 140805"
"TR00498",2685,"Multi-academy trust","CHULMLEIGH ACADEMY TRUST","South West",3,3,52,16.5,15.4,84.6,0,0,3,0,0,0,3,4,-2.7,-4.3,-1,"-1.9","-6.1","2.3","-2.8","-4.6","-1",5,-5.9,-7.5,-4.3,"-10.3","-14.3","-6.3","-5.1","-6.8","-3.4","4","-2.3","-3.8","-0.8","-3.9","-7.7","-0.2","-2","-3.6","-0.4",-2.7,-4.3,-1,"-1.9","-6.1","2.3","-2.8","-4.6","-1",-6.7,-8.3,-5.1,"-11.4","-15.5","-7.4","-5.8","-7.6","-4.1","-2.5","-4","-1","-3.9","-7.8","-0.1","-2.2","-3.9","-0.6","137023, 137025, 137780"
"TR02607",2695,"Multi-academy trust","CIDARI EDUCATION LIMITED","Lancashire and West Yorkshire",6,6,189,14.8,42.3,57.7,1.1,14.8,3,3,0,5,1,3,0,-0.9,0.9,"-0.6","-1.9","0.8","0.4","-0.7","1.6",3,-0.1,-0.9,0.7,"-0.6","-1.9","0.7","0.3","-0.8","1.4","3","-0.3","-1.1","0.5","-1.9","-3.2","-0.7","1.1","0","2.1",0,-0.9,0.9,"-0.6","-2","0.8","0.4","-0.8","1.6",-0.1,-1,0.8,"-0.6","-2","0.7","0.3","-0.9","1.4","-0.3","-1.1","0.5","-2","-3.2","-0.7","1.1","0","2.1","140559, 140891, 141350, 141483, 141611, 141981"
"TR00552",2755,"Multi-academy trust","COMMUNITY ACADEMIES TRUST","West Midlands",5,5,191,16.9,24.1,75.9,1,1.6,2,3,0,2,3,4,-1.9,-2.7,-1,"-3.2","-4.9","-1.4","-1.4","-2.4","-0.4",4,-0.9,-1.7,-0.1,"-2.2","-3.8","-0.5","-0.5","-1.4","0.5","4","-2","-2.7","-1.2","-2.6","-4.2","-1","-1.7","-2.6","-0.9",-1.9,-2.7,-1,"-3.2","-5","-1.4","-1.4","-2.4","-0.4",-0.9,-1.7,-0.1,"-2.2","-3.9","-0.5","-0.5","-1.5","0.4","-2","-2.8","-1.2","-2.6","-4.2","-1","-1.8","-2.7","-0.9","138912, 138934, 140418, 141244, 141855"
"TR02861",15773,"Multi-academy trust","COMPASS ACADEMY TRUST","South East and South London",4,4,306,16.8,12.7,87.3,1,5.6,4,0,0,4,0,3,0.5,-0.2,1.2,"-0.3","-2.2","1.6","0.6","-0.1","1.4",2,0.9,0.2,1.5,"0.2","-1.6","2.1","0.9","0.2","1.7","2","1.2","0.6","1.9","0.8","-1","2.5","1.3","0.6","2",0.5,-0.2,1.2,"-0.3","-2.2","1.6","0.6","-0.1","1.4",0.9,0.2,1.5,"0.2","-1.6","2.1","0.9","0.2","1.7","1.2","0.6","1.9","0.8","-1","2.5","1.3","0.6","2","142298, 142299, 142300, 142301"
"TR00562",2771,"Multi-academy trust","CONNECTED LEARNING","East of England and North East London",3,3,147,15.9,45.6,54.4,2.7,7.5,1,2,0,2,1,3,0.3,-0.7,1.3,"-0.4","-1.8","1.1","0.8","-0.5","2.2",1,3.6,2.6,4.5,"2.5","1.1","3.9","4.5","3.2","5.8","3","-0.1","-1","0.8","-0.7","-2","0.6","0.4","-0.9","1.6",0.2,-0.8,1.2,"-0.5","-2","1","0.8","-0.6","2.2",3.6,2.6,4.6,"2.5","1.1","4","4.5","3.2","5.8","-0.1","-1.1","0.8","-0.7","-2.1","0.6","0.3","-0.9","1.6","139871, 142001, 142002"
"TR00580",2788,"Multi-academy trust","CORPUS CHRISTI CATHOLIC ACADEMY TRUST","East Midlands and Humber",5,5,202,16.4,19.8,80.2,0.5,31.2,5,0,0,0,5,3,-0.2,-1,0.7,"0.6","-1.3","2.4","-0.4","-1.3","0.6",3,-0.2,-1,0.6,"0","-1.8","1.8","-0.2","-1.1","0.7","3","0.3","-0.4","1.1","-0.8","-2.5","0.9","0.6","-0.2","1.5",-0.2,-1,0.7,"0.5","-1.4","2.4","-0.4","-1.3","0.6",-0.2,-1,0.6,"0","-1.9","1.8","-0.2","-1.2","0.7","0.3","-0.5","1.1","-1","-2.7","0.7","0.6","-0.3","1.5","138080, 138081, 138090, 138115, 138185"
"TR00604",2816,"Multi-academy trust","CREATIVE EDUCATION TRUST","East of England and North East London",4,4,183,16.3,33.9,66.1,0.5,20.8,0,4,0,2,2,4,-1.2,-2.1,-0.3,"-2","-3.5","-0.5","-0.6","-1.7","0.5",4,-0.9,-1.8,-0.1,"-1.4","-2.8","0.1","-0.6","-1.6","0.5","3","0.6","-0.2","1.4","0","-1.3","1.4","1","0","2",-1.2,-2.1,-0.3,"-2","-3.5","-0.5","-0.7","-1.8","0.5",-1,-1.8,-0.1,"-1.4","-2.8","0.1","-0.7","-1.7","0.4","0.6","-0.2","1.4","0","-1.4","1.4","1","0","2","138497, 139580, 139650, 141344"
"TR01879",4474,"Multi-academy trust","DELTA ACADEMIES TRUST","National Sponsor Unit",25,25,929,15.1,44.8,55.2,1.2,15.8,10,15,0,0,25,2,1.1,0.7,1.5,"1.3","0.7","1.9","0.9","0.3","1.4",2,2.1,1.8,2.5,"2.2","1.6","2.7","2.1","1.6","2.7","2","2.1","1.7","2.4","2.3","1.8","2.9","1.9","1.4","2.3",1,0.6,1.4,"1.3","0.7","1.9","0.8","0.3","1.4",2.1,1.8,2.5,"2.2","1.6","2.8","2.1","1.6","2.6","2.1","1.7","2.4","2.3","1.8","2.9","1.9","1.4","2.3","136326, 137141, 137455, 138007, 138008, 138083, 138279, 138332, 138401, 138520, 138535, 138673, 138866, 138890, 138975, 138997, 139046, 139420, 139921, 139922, 140068, 140169, 140333, 140625, 140716"
"SP00802",2902,"School sponsor","Derby Diocesan Academy Trust","East Midlands and Humber",6,6,151,15.7,23.8,76.2,2,6.6,3,3,0,4,2,2,1.7,0.7,2.7,"-0.9","-3","1.3","2.5","1.4","3.6",2,1.1,0.1,2,"-2.8","-4.8","-0.8","2.2","1.2","3.3","3","0.7","-0.2","1.6","-1.6","-3.5","0.3","1.5","0.4","2.5",1.7,0.7,2.7,"-0.9","-3","1.3","2.5","1.4","3.6",1.1,0.1,2,"-2.8","-4.9","-0.8","2.2","1.1","3.3","0.7","-0.2","1.7","-1.6","-3.6","0.4","1.5","0.4","2.5","140842, 140843, 141674, 141824, 141846, 141850"
"SP00049",2891,"School sponsor","Diocese of Birmingham Education Trust","West Midlands",8,8,254,15.9,62.6,37.4,0,33.5,1,7,0,0,8,4,-1.3,-2.1,-0.5,"-1.7","-2.7","-0.7","-0.6","-1.8","0.7",4,-1.4,-2.2,-0.7,"-1.8","-2.7","-0.9","-0.7","-1.9","0.5","4","-1.7","-2.4","-1","-2","-2.9","-1.1","-1.2","-2.3","0",-1.3,-2.1,-0.6,"-1.8","-2.8","-0.8","-0.6","-1.9","0.7",-1.4,-2.2,-0.7,"-1.8","-2.7","-0.9","-0.7","-1.9","0.5","-1.8","-2.5","-1.1","-2.1","-3","-1.2","-1.2","-2.3","0","138432, 138433, 138883, 139126, 139127, 139174, 139267, 139269"
"TR00659",2894,"Multi-academy trust","DIOCESE OF BRISTOL ACADEMIES TRUST","South West",6,5,168,14.6,50.6,49.4,1.8,44,4,2,0,2,4,4,-1.6,-2.6,-0.7,"-2.6","-3.9","-1.3","-0.6","-2","0.8",4,-1.3,-2.2,-0.4,"-1.2","-2.4","0","-1.3","-2.6","0","4","-1.8","-2.6","-0.9","-1.8","-3","-0.6","-1.7","-2.9","-0.5",-1.7,-2.6,-0.7,"-2.7","-4","-1.4","-0.6","-2","0.8",-1.5,-2.4,-0.6,"-1.6","-2.8","-0.3","-1.4","-2.7","-0.1","-1.8","-2.7","-0.9","-1.8","-3","-0.6","-1.7","-3","-0.5","138794, 140454, 141110, 141274, 142292, 142318"
"SP00161",4658,"School sponsor","Diocese of Exeter","South West",7,7,268,16.5,17.9,82.1,1.9,3,3,4,0,3,4,4,-1.2,-1.9,-0.4,"-1.3","-3","0.4","-1.1","-2","-0.3",4,-1.7,-2.4,-1,"-3.6","-5.2","-2","-1.2","-2","-0.5","4","-1.7","-2.3","-1","-3.6","-5.1","-2","-1.3","-2","-0.5",-1.3,-2.1,-0.6,"-1.5","-3.2","0.2","-1.3","-2.1","-0.4",-1.7,-2.4,-1,"-3.7","-5.4","-2.1","-1.3","-2","-0.5","-1.7","-2.4","-1.1","-3.7","-5.3","-2.2","-1.3","-2","-0.5","137876, 139818, 139954, 140425, 140629, 140644, 142045"
"TR01301",3722,"Multi-academy trust","DIOCESE OF LEICESTER ACADEMIES TRUST","East Midlands and Humber",11,11,248,15.8,27,73,1.2,4.4,7,4,0,5,6,3,0.6,-0.1,1.4,"-0.6","-2","0.9","1.1","0.2","2",3,0.5,-0.2,1.2,"-0.4","-1.7","1","0.8","0","1.7","2","0.9","0.3","1.6","-0.1","-1.4","1.2","1.3","0.5","2.1",0.6,-0.1,1.4,"-0.6","-2","0.9","1.1","0.2","2",0.5,-0.3,1.2,"-0.4","-1.8","1","0.8","-0.1","1.6","0.9","0.2","1.6","-0.1","-1.4","1.2","1.3","0.5","2.2","139194, 139200, 139349, 140317, 140850, 140909, 140910, 140912, 140913, 141222, 141468"
"SP00170",3745,"School sponsor","Diocese of Lincoln","East Midlands and Humber",4,4,67,14.8,47.8,52.2,1.5,7.5,0,4,0,0,4,3,-1.2,-2.7,0.2,"-0.6","-2.7","1.5","-1.7","-3.8","0.4",3,-0.5,-1.9,1,"0.5","-1.6","2.5","-1.2","-3.2","0.8","3","-0.2","-1.5","1.1","0.8","-1.1","2.7","-0.9","-2.8","1",-1.2,-2.7,0.3,"-0.6","-2.7","1.5","-1.7","-3.8","0.4",-0.5,-1.9,1,"0.5","-1.6","2.5","-1.2","-3.2","0.8","-0.2","-1.6","1.1","0.8","-1.1","2.7","-0.9","-2.8","1","140185, 140343, 140988, 140991"
"SP00172",2914,"School sponsor","Diocese of London","East of England and North East London",7,7,238,15.9,45,55,1.3,54.2,3,3,1,1,6,3,0,-0.8,0.8,"-0.6","-1.7","0.6","0.5","-0.6","1.6",3,0.7,-0.1,1.4,"0.7","-0.4","1.8","0.6","-0.5","1.6","2","1","0.3","1.7","0.5","-0.6","1.5","1.5","0.5","2.5",0,-0.8,0.8,"-0.6","-1.7","0.6","0.5","-0.6","1.6",0.7,-0.1,1.4,"0.7","-0.4","1.9","0.6","-0.5","1.7","1","0.2","1.7","0.4","-0.6","1.5","1.5","0.5","2.5","134314, 136807, 139169, 139175, 139177, 139240, 141672"
"SP00179",2919,"School sponsor","Diocese of Oxford","North West London and South Central",12,12,430,16.4,23.7,76.3,1.6,20.9,7,5,0,6,6,4,-1.8,-2.4,-1.2,"-2.9","-4.1","-1.7","-1.4","-2.1","-0.8",3,-0.5,-1,0.1,"0.2","-0.9","1.3","-0.7","-1.4","-0.1","4","-2.5","-3","-1.9","-3.2","-4.3","-2.2","-2.2","-2.8","-1.6",-1.9,-2.5,-1.3,"-2.9","-4.2","-1.7","-1.5","-2.2","-0.8",-0.5,-1.1,0,"0.2","-0.9","1.3","-0.8","-1.4","-0.1","-2.5","-3.1","-2","-3.3","-4.5","-2.2","-2.2","-2.9","-1.6","135879, 138774, 140344, 140473, 140474, 140556, 141349, 141601, 141816, 141840, 142140, 142152"
"SP00183",2921,"School sponsor","Diocese of Salisbury","South West",7,7,192,15.1,32.3,67.7,5.7,3.6,1,6,0,2,5,4,-1.6,-2.5,-0.8,"-2.4","-3.9","-0.9","-1.3","-2.4","-0.3",3,0.3,-0.6,1.1,"-0.4","-1.8","1.1","0.6","-0.4","1.6","4","-2.4","-3.1","-1.6","-2.6","-4","-1.2","-2.3","-3.2","-1.3",-1.7,-2.5,-0.8,"-2.4","-3.9","-0.8","-1.3","-2.4","-0.3",0.3,-0.6,1.1,"-0.4","-1.8","1.1","0.6","-0.5","1.6","-2.4","-3.2","-1.6","-2.6","-4","-1.2","-2.4","-3.3","-1.4","140351, 140352, 140560, 140561, 141142, 141987, 141988"
"SP00196",2929,"School sponsor","Diocese of York Educational Trust","East Midlands and Humber",5,5,125,15.1,47.2,52.8,2.4,11.2,2,3,0,3,2,3,0.6,-0.5,1.7,"-0.2","-1.7","1.4","1.3","-0.2","2.7",3,-0.5,-1.5,0.6,"-1.2","-2.7","0.3","0.2","-1.2","1.6","3","0.1","-0.8","1.1","-0.3","-1.7","1.1","0.6","-0.8","1.9",0.6,-0.5,1.7,"-0.2","-1.8","1.4","1.3","-0.3","2.8",-0.5,-1.5,0.6,"-1.2","-2.7","0.3","0.2","-1.3","1.6","0.1","-0.9","1.1","-0.3","-1.8","1.1","0.5","-0.9","1.9","140178, 140662, 141387, 141719, 141720"
"TR00667",2932,"Multi-academy trust","DISCOVERY SCHOOLS ACADEMIES TRUST LTD","East Midlands and Humber",9,9,415,16.6,28.4,71.6,1.2,5.3,7,2,0,3,6,3,-0.4,-1,0.1,"-0.8","-1.9","0.2","-0.3","-0.9","0.4",3,0.3,-0.2,0.9,"0.2","-0.9","1.2","0.4","-0.3","1.1","3","-0.3","-0.8","0.3","-1","-2","0","0.1","-0.6","0.7",-0.5,-1,0.1,"-0.8","-2","0.3","-0.3","-1","0.4",0.3,-0.2,0.9,"0.2","-0.9","1.2","0.4","-0.3","1.1","-0.3","-0.8","0.3","-1","-2","0","0.1","-0.6","0.7","138345, 138348, 138358, 139845, 140101, 140316, 140851, 141137, 141903"
"TR00699",2974,"Multi-academy trust","E-ACT","National Sponsor Unit",12,12,518,15.2,55.6,44.4,1,39.2,1,11,0,0,12,3,-0.2,-0.7,0.4,"-0.4","-1.2","0.3","0.1","-0.7","1",2,1.2,0.7,1.8,"1.1","0.5","1.8","1.3","0.5","2.1","2","0.8","0.3","1.3","0.2","-0.5","0.8","1.7","0.9","2.4",-0.2,-0.8,0.4,"-0.4","-1.2","0.3","0.1","-0.8","1",1.2,0.7,1.8,"1.1","0.4","1.8","1.3","0.5","2.2","0.8","0.3","1.3","0.1","-0.5","0.8","1.7","0.9","2.4","137068, 137689, 137700, 138073, 138396, 138452, 138583, 138709, 138998, 139014, 139679, 139932"
"TR00741",3033,"Multi-academy trust","EAST MIDLANDS ACADEMY TRUST","North West London and South Central",4,4,212,15.8,32.5,67.5,2.4,48.6,0,4,0,0,4,3,-0.7,-1.6,0.1,"-1.8","-3.2","-0.4","-0.2","-1.2","0.9",3,0.6,-0.2,1.4,"0","-1.4","1.3","1","0","2","3","0.1","-0.7","0.8","-1.7","-3","-0.4","1.1","0.1","2",-0.8,-1.7,0.1,"-1.9","-3.4","-0.5","-0.2","-1.2","0.9",0.6,-0.2,1.4,"-0.1","-1.4","1.3","1","0","2","0.1","-0.7","0.8","-1.7","-3.1","-0.4","1.1","0.1","2.1","138605, 140362, 140370, 140628"
"TR01237",3643,"Multi-academy trust","EDUCATION SOUTH WEST","South West",5,4,82,16.6,22,78,0,1.2,4,1,0,1,4,3,0.8,-0.6,2.2,"-0.7","-3.5","2.1","1.2","-0.4","2.7",3,-0.9,-2.2,0.4,"-1.3","-3.9","1.4","-0.8","-2.3","0.7","3","1.1","-0.1","2.4","-0.4","-2.9","2.1","1.6","0.2","3",0.8,-0.6,2.1,"-0.7","-3.5","2.1","1.1","-0.5","2.7",-0.9,-2.2,0.4,"-1.3","-4","1.4","-0.8","-2.3","0.7","1","-0.2","2.3","-0.4","-3","2.1","1.5","0.1","2.9","136200, 141284, 141286, 141287, 141624"
"TR02377",5196,"Multi-academy trust","ENHANCE ACADEMY TRUST","Lancashire and West Yorkshire",5,5,168,14.7,58.3,41.7,2.4,25,0,5,0,0,5,4,-2,-3,-1.1,"-2.5","-3.7","-1.3","-1.3","-2.8","0.1",3,-0.1,-1,0.8,"-0.7","-1.9","0.4","0.8","-0.6","2.2","3","-0.1","-0.9","0.8","-0.8","-1.9","0.3","1.1","-0.2","2.4",-2,-3,-1.1,"-2.5","-3.8","-1.3","-1.3","-2.8","0.1",-0.1,-1.1,0.8,"-0.8","-2","0.3","0.8","-0.6","2.2","-0.1","-0.9","0.8","-0.8","-2","0.3","1.1","-0.3","2.4","138584, 138979, 139279, 139280, 139573"
"TR00587",3062,"Multi-academy trust","EVOLUTION ACADEMY TRUST","East of England and North East London",4,4,211,16.2,28.9,71.1,1.9,14.2,2,2,0,3,1,4,-1,-1.9,-0.2,"-2","-3.5","-0.4","-0.7","-1.6","0.3",3,-0.8,-1.5,0,"-0.8","-2.2","0.6","-0.8","-1.7","0.2","3","-0.5","-1.2","0.3","-0.7","-2","0.7","-0.4","-1.3","0.5",-1,-1.9,-0.2,"-2","-3.5","-0.4","-0.7","-1.7","0.3",-0.8,-1.6,0,"-0.8","-2.3","0.7","-0.8","-1.7","0.2","-0.5","-1.2","0.3","-0.7","-2.1","0.7","-0.4","-1.3","0.5","138642, 141356, 141357, 141496"
"TR01960",4579,"Multi-academy trust","EVOLVE CHURCH ACADEMY TRUST","North West London and South Central",4,3,54,16.4,14.8,85.2,1.9,1.9,4,0,0,0,4,3,-1,-2.7,0.6,"-3.2","-7.6","1.2","-0.7","-2.5","1",3,-0.1,-1.7,1.4,"-0.3","-4.5","4","-0.1","-1.8","1.5","3","-1","-2.4","0.5","-5.4","-9.4","-1.3","-0.4","-1.9","1.2",-1,-2.7,0.6,"-3.2","-7.7","1.3","-0.7","-2.5","1",-0.1,-1.7,1.4,"-0.3","-4.6","4.1","-0.1","-1.8","1.6","-1","-2.5","0.5","-5.4","-9.5","-1.3","-0.4","-2","1.3","140056, 140058, 140065, 140102"
"TR00761",3065,"Multi-academy trust","EXCALIBUR ACADEMIES TRUST","South West",4,3,64,17,9.4,90.6,0,0,3,1,0,2,2,3,1.5,0,3,"0.8","-4.5","6","1.6","0","3.2",3,-0.4,-1.8,1,"-3.1","-8.1","1.9","-0.1","-1.6","1.4","3","-0.8","-2.2","0.6","-3.7","-8.4","1.1","-0.6","-2","0.9",1.5,0,3.1,"0.8","-4.6","6.1","1.6","0","3.2",-0.4,-1.9,1.1,"-3.1","-8.2","2","-0.1","-1.7","1.4","-0.8","-2.2","0.6","-3.7","-8.5","1.2","-0.6","-2","0.9","138629, 139381, 141912, 141913"
"TR00139",3072,"Multi-academy trust","EYNSHAM PARTNERSHIP ACADEMY","North West London and South Central",6,6,159,16.9,15.7,84.3,1.3,3.1,5,1,0,0,6,2,1.2,0.2,2.1,"-0.8","-3.2","1.5","1.5","0.5","2.5",2,1.3,0.4,2.2,"-0.8","-3","1.5","1.7","0.7","2.7","3","-0.8","-1.6","0.1","0","-2.2","2.1","-0.9","-1.8","0",1.2,0.2,2.1,"-0.8","-3.2","1.6","1.5","0.5","2.6",1.2,0.3,2.1,"-0.8","-3.1","1.5","1.6","0.6","2.6","-0.9","-1.7","0","-0.2","-2.4","1.9","-1","-2","-0.1","140827, 140871, 140915, 140916, 140983, 141053"
"TR00773",3083,"Multi-academy trust","FARINGDON ACADEMY OF SCHOOLS","North West London and South Central",6,5,170,16.1,25.9,74.1,2.4,3.5,6,0,0,0,6,3,0.5,-0.4,1.4,"-2.5","-4.2","-0.7","1.6","0.5","2.7",2,1,0.1,1.8,"0.2","-1.5","1.9","1.2","0.2","2.3","3","0.6","-0.3","1.4","-1.2","-2.8","0.5","1.2","0.2","2.2",0.5,-0.4,1.5,"-2.5","-4.3","-0.7","1.6","0.5","2.7",1,0,1.9,"0.2","-1.5","1.9","1.2","0.2","2.3","0.6","-0.3","1.4","-1.2","-2.8","0.5","1.2","0.2","2.2","138009, 140278, 140283, 140293, 140301, 140307"
