"CHAINID","UID","GROUP-TYPE","CHAINNAME","LEADRSC","SCHOOLS","SCHOOLSDIS","TELIG","KS1APS","PFSM6CLA1A","PNOTFSM6CLA1A","PSENELSE","PEALGRP2","SCHOOLS_CONVERTERS","SCHOOLS_SPONSORLED","SCHOOLS_FREE","SCHOOLS3","SCHOOLS4P","READPROG_DESCR","READPROGSCORE_P_ADJUSTED_WGTAVG","READPROG_LOWER_ADJ","READPROG_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER_ADJ","READPROG_FSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER_ADJ","READPROG_NOTFSM6CLA1A_UPPER_ADJ","WRITPROG_DESCR","WRITPROGSCORE_P_ADJUSTED_WGTAVG","WRITPROG_LOWER_ADJ","WRITPROG_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER_ADJ","WRITPROG_FSM6CLA1A_UPPER_ADJ","WRITPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER_ADJ","WRITPROG_NOTFSM6CLA1A_UPPER_ADJ","MATPROG_DESCR","MATPROGSCORE_P_ADJUSTED_WGTAVG","MATPROG_LOWER_ADJ","MATPROG_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER_ADJ","MATPROG_FSM6CLA1A_UPPER_ADJ","MATPROGSCORE_P_ADJUSTED_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER_ADJ","MATPROG_NOTFSM6CLA1A_UPPER_ADJ","READPROGSCORE_P_WGTAVG","READPROG_LOWER","READPROG_UPPER","READPROGSCORE_P_DIS_WGTAVG","READPROG_FSM6CLA1A_LOWER","READPROG_FSM6CLA1A_UPPER","READPROGSCORE_P_NONDIS_WGTAVG","READPROG_NOTFSM6CLA1A_LOWER","READPROG_NOTFSM6CLA1A_UPPER","WRITPROGSCORE_P_WGTAVG","WRITPROG_LOWER","WRITPROG_UPPER","WRITPROGSCORE_P_DIS_WGTAVG","WRITPROG_FSM6CLA1A_LOWER","WRITPROG_FSM6CLA1A_UPPER","WRITPROGSCORE_P_NONDIS_WGTAVG","WRITPROG_NOTFSM6CLA1A_LOWER","WRITPROG_NOTFSM6CLA1A_UPPER","MATPROGSCORE_P_WGTAVG","MATPROG_LOWER","MATPROG_UPPER","MATPROGSCORE_P_DIS_WGTAVG","MATPROG_FSM6CLA1A_LOWER","MATPROG_FSM6CLA1A_UPPER","MATPROGSCORE_P_NONDIS_WGTAVG","MATPROG_NOTFSM6CLA1A_LOWER","MATPROG_NOTFSM6CLA1A_UPPER","SCHOOL-URNS"
"TR03025",2212,"Multi-academy trust","AVOCET ACADEMY TRUST","East of England and North East London",3,3,62,16.3,33.9,66.1,4.8,0,3,0,0,3,0,3,0,-1.5,1.4,"-1","-3.6","1.6","0.4","-1.4","2.3",3,-0.2,-1.6,1.3,"-0.1","-2.6","2.3","-0.2","-1.9","1.6","3","-0.1","-1.5","1.2","0","-2.3","2.4","-0.2","-1.9","1.5",-0.1,-1.6,1.4,"-1","-3.6","1.6","0.4","-1.5","2.2",-0.2,-1.6,1.3,"-0.1","-2.6","2.4","-0.2","-2","1.6","-0.1","-1.5","1.3","0","-2.3","2.4","-0.2","-1.9","1.5","141550, 141551, 141554"
"TR00211",2328,"Multi-academy trust","BISHOP CLEARY CATHOLIC MULTI ACADEMY COMPANY","West Midlands",4,4,114,14.7,43.9,56.1,2.6,36,3,1,0,0,4,2,1.4,0.3,2.5,"0.4","-1.3","2.1","2.3","0.8","3.8",3,0.9,-0.2,1.9,"-0.3","-1.9","1.3","1.9","0.5","3.4","3","0.9","-0.1","1.9","-0.2","-1.7","1.3","1.9","0.6","3.3",1.4,0.3,2.5,"0.4","-1.3","2.1","2.3","0.8","3.9",0.9,-0.2,2,"-0.3","-1.9","1.4","1.9","0.4","3.4","0.9","-0.1","1.9","-0.2","-1.8","1.3","1.9","0.5","3.3","139800, 139892, 139893, 139894"
"TR00231",2348,"Multi-academy trust","BLACKBIRD ACADEMY TRUST","North West London and South Central",3,3,126,14.7,57.9,42.1,2.4,19.8,1,2,0,0,3,2,1.4,0.3,2.5,"0.8","-0.6","2.2","2.2","0.5","3.8",3,1,0,2.1,"0.6","-0.7","2","1.6","0","3.2","3","-0.6","-1.5","0.4","-0.6","-1.8","0.7","-0.6","-2.1","0.9",1.4,0.3,2.5,"0.8","-0.6","2.2","2.2","0.5","3.8",1,0,2.1,"0.6","-0.7","2","1.6","0","3.2","-0.6","-1.6","0.4","-0.6","-1.9","0.7","-0.6","-2.1","0.9","139256, 139257, 139985"
"TR00233",2350,"Multi-academy trust","BLACKPOOL MULTI ACADEMY TRUST","Lancashire and West Yorkshire",3,3,201,15.1,53.2,46.8,1,5,2,1,0,0,3,4,-1.6,-2.4,-0.7,"-1.2","-2.3","0","-2","-3.2","-0.7",3,0.7,-0.1,1.5,"0.7","-0.4","1.8","0.7","-0.5","1.9","3","-0.1","-0.9","0.7","-0.2","-1.3","0.8","0.1","-1.1","1.2",-1.7,-2.5,-0.8,"-1.2","-2.4","-0.1","-2.1","-3.4","-0.8",0.6,-0.2,1.5,"0.7","-0.4","1.8","0.6","-0.6","1.8","-0.1","-0.9","0.7","-0.2","-1.3","0.8","0.1","-1.1","1.2","140124, 140128, 140673"
"TR02682",2351,"Multi-academy trust","BLANDFORD EDUCATION TRUST","South West",3,3,98,16.6,22.4,77.6,3.1,4.1,3,0,0,0,3,1,3.4,2.2,4.6,"4.8","2.1","7.4","3","1.7","4.4",3,1,-0.1,2.2,"1.5","-0.8","3.9","0.9","-0.4","2.2","2","2","1","3.1","4.7","2.4","7","1.3","0.1","2.6",3.4,2.1,4.6,"4.8","2.1","7.4","3","1.6","4.4",1,-0.1,2.2,"1.5","-0.9","3.9","0.9","-0.4","2.2","2","0.9","3.2","4.7","2.3","7.1","1.3","0.1","2.6","141043, 141046, 141061"
"TR00263",2386,"Multi-academy trust","BOURNE EDUCATION TRUST","South East and South London",3,3,137,14.6,32.8,67.2,6.6,40.1,1,2,0,0,3,2,2.4,1.4,3.5,"1.3","-0.5","3.1","3","1.6","4.3",2,1.9,0.9,3,"0.1","-1.6","1.9","2.9","1.6","4.2","2","2.8","1.8","3.8","0.8","-0.8","2.4","4","2.7","5.2",2.4,1.3,3.5,"1.3","-0.5","3.2","3","1.6","4.4",1.9,0.8,2.9,"-0.1","-1.9","1.7","2.9","1.6","4.2","2.8","1.8","3.8","0.8","-0.9","2.5","4","2.7","5.2","139951, 140509, 140860"
"TR00278",2408,"Multi-academy trust","BRADFORD DIOCESAN ACADEMIES TRUST","Lancashire and West Yorkshire",3,3,104,14.1,55.8,44.2,1,67.3,0,3,0,0,3,3,-1,-2.2,0.2,"-1.5","-3.1","0","-0.2","-2.1","1.6",3,1,-0.1,2.1,"1.1","-0.4","2.6","0.9","-0.8","2.7","3","0.3","-0.8","1.4","-0.1","-1.5","1.4","0.8","-0.9","2.5",-1,-2.2,0.2,"-1.5","-3.1","0.1","-0.2","-2.1","1.6",1,-0.1,2.2,"1.1","-0.4","2.7","0.9","-0.8","2.7","0.3","-0.8","1.4","-0.1","-1.5","1.4","0.8","-0.9","2.5","138916, 139201, 141098"
"TR00298",2437,"Multi-academy trust","BRIGHT FUTURES EDUCATIONAL TRUST","Lancashire and West Yorkshire",3,3,209,14.4,56.9,43.1,2.9,61.2,0,3,0,1,2,4,-1.4,-2.3,-0.5,"-0.6","-1.8","0.5","-2.4","-3.8","-1.1",4,-1,-1.8,-0.2,"-1","-2","0.1","-1","-2.3","0.3","4","-1.2","-1.9","-0.4","-1.1","-2.2","-0.1","-1.1","-2.4","0.1",-1.5,-2.4,-0.6,"-0.7","-1.9","0.5","-2.5","-3.9","-1.1",-1.1,-2,-0.3,"-1.1","-2.2","0","-1","-2.3","0.3","-1.2","-2","-0.4","-1.2","-2.2","-0.1","-1.1","-2.4","0.1","138784, 138785, 141867"
"TR00299",2439,"Multi-academy trust","BRIGHT TRIBE TRUST","North",3,3,188,14.4,38.8,61.2,5.3,36.2,2,1,0,2,1,4,-2.5,-3.3,-1.6,"-2.8","-4.1","-1.4","-2.3","-3.4","-1.2",3,-0.7,-1.5,0.2,"-1.3","-2.6","0","-0.3","-1.3","0.8","4","-1","-1.8","-0.2","-1.4","-2.7","-0.1","-0.8","-1.8","0.2",-2.6,-3.4,-1.7,"-3","-4.4","-1.6","-2.3","-3.4","-1.2",-0.7,-1.6,0.1,"-1.4","-2.8","-0.1","-0.3","-1.4","0.8","-1.1","-1.9","-0.3","-1.4","-2.7","-0.1","-0.9","-1.9","0.2","140597, 141373, 141591"
"TR00301",2442,"Multi-academy trust","BRIGHTER FUTURES ACADEMY TRUST","Lancashire and West Yorkshire",3,3,63,15.5,30.2,69.8,3.2,6.3,2,1,0,0,3,3,0,-1.5,1.6,"-0.3","-3","2.4","0.1","-1.8","2",3,-0.6,-2.1,0.9,"-3.2","-5.7","-0.6","0.6","-1.2","2.4","3","0.3","-1.1","1.6","-1.7","-4.2","0.7","1.1","-0.5","2.8",0,-1.5,1.6,"-0.3","-3.1","2.4","0.1","-1.8","2",-0.6,-2.1,0.9,"-3.2","-5.8","-0.5","0.6","-1.2","2.4","0.2","-1.2","1.6","-1.9","-4.3","0.6","1.1","-0.6","2.8","137699, 138398, 138657"
