RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,319,4002,136797,Carshalton High School for Girls,0,ACC,171,45.4,156,0.00,-0.01,-0.20,0.19,-0.01,-0.21,0.20,61%,37%,3.86,43%,26%,16%,60%,3
1,332,4800,140126,Bishop Milner Catholic College,0,ACC,131,50.1,129,0.00,0.33,0.11,0.55,0.33,0.11,0.55,73%,43%,4.22,47%,24%,18%,71%,2
1,855,4268,137401,Woodbrook Vale School,0,ACC,148,49.5,143,0.00,0.24,0.03,0.44,0.24,0.03,0.45,75%,50%,4.49,59%,36%,24%,70%,2
1,865,4511,137827,St Edmund's Girls' School,0,ACC,166,47.8,152,0.00,0.20,0.00,0.40,0.20,-0.01,0.40,73%,52%,4.12,25%,16%,10%,70%,3
1,881,4001,136555,Debden Park High School,0,ACC,172,47.0,169,1.00,-0.01,-0.20,0.18,-0.01,-0.20,0.19,70%,47%,3.96,23%,16%,10%,63%,3
1,936,5416,137855,Hinchley Wood School,0,ACC,208,63.4,201,1.00,0.91,0.74,1.09,0.91,0.73,1.09,94%,82%,5.74,43%,38%,29%,92%,1
2,390,7002,138652,The Cedars Academy,0,ACCS,19,1.2,18,0.00,-1.95,-2.54,-1.37,-1.95,-2.55,-1.36,0%,0%,0.05,0%,0%,0%,0%,5
1,840,4128,137903,Parkside Academy,0,ACC,116,49.7,112,1.00,0.28,0.04,0.51,0.28,0.04,0.51,72%,59%,4.03,9%,9%,8%,70%,2
1,886,5446,140874,"St Anselm's Catholic School, Canterbury",0,ACC,173,43.0,167,1.00,-0.07,-0.26,0.12,-0.08,-0.27,0.12,60%,27%,3.53,16%,12%,8%,57%,3
1,204,4000,138143,Lubavitch House School (Senior Girls),0,VA,25,51.7,22,0.00,0.76,0.23,1.29,0.76,0.22,1.30,68%,40%,5.00,88%,60%,32%,68%,1
1,302,4211,137388,Christ's College Finchley,0,ACC,128,50.9,114,1.00,0.51,0.28,0.74,0.49,0.25,0.73,70%,55%,4.61,58%,27%,20%,59%,1
1,372,4800,138329,St Bernard's Catholic High School,0,ACC,133,47.9,131,0.00,0.05,-0.17,0.27,0.05,-0.17,0.27,68%,41%,3.88,14%,11%,9%,63%,3
1,318,4013,138460,Teddington School,0,ACC,238,51.8,224,2.00,0.00,-0.16,0.17,-0.01,-0.17,0.16,71%,52%,4.64,48%,37%,30%,68%,3
1,850,4000,138720,Eggar's School,0,ACC,150,47.6,142,5.00,-0.33,-0.54,-0.12,-0.35,-0.56,-0.13,75%,51%,4.14,25%,21%,15%,70%,4
1,855,4033,138894,Wigston College,0,ACC
1,916,4513,137097,Farmor's School,0,ACC,123,49.9,118,0.00,-0.11,-0.34,0.11,-0.11,-0.35,0.12,69%,49%,4.29,22%,19%,14%,66%,3
1,840,4190,137696,Framwellgate School Durham,0,ACC,159,51.2,156,3.00,-0.05,-0.24,0.15,-0.06,-0.26,0.15,74%,57%,4.40,32%,23%,16%,72%,3
1,925,5406,136350,Caistor Grammar School,0,ACC,100,71.0,95,0.00,0.61,0.36,0.87,0.61,0.35,0.87,100%,93%,6.96,95%,93%,79%,100%,1
1,312,4654,136329,Guru Nanak Sikh Academy,0,ACC,180,56.7,176,0.00,0.62,0.43,0.80,0.62,0.42,0.81,75%,63%,5.48,92%,55%,42%,73%,1
1,841,4287,137222,Longfield Academy of Sport,1,ACC,179,41.1,174,3.00,-0.51,-0.69,-0.32,-0.51,-0.71,-0.32,56%,33%,3.51,45%,23%,12%,50%,5
1,925,5418,136358,Branston Community Academy,0,ACC,163,50.0,157,2.00,0.01,-0.19,0.21,-0.01,-0.21,0.20,80%,45%,4.39,53%,28%,12%,72%,3
1,886,5465,137099,Gravesend Grammar School,0,ACC,167,67.7,162,0.00,0.46,0.26,0.65,0.46,0.26,0.66,100%,95%,6.73,95%,83%,71%,100%,2
1,937,4233,136986,The Coleshill School,0,ACC,145,45.3,142,2.00,-0.23,-0.44,-0.02,-0.26,-0.47,-0.04,65%,48%,4.11,63%,24%,12%,60%,4
1,303,5403,136334,Beths Grammar School,0,ACC,190,65.8,183,3.00,0.00,-0.18,0.19,-0.02,-0.20,0.17,98%,89%,6.45,93%,78%,62%,96%,3
1,885,4432,136890,Christopher Whitehead Language College,0,ACC,206,48.6,197,0.00,0.12,-0.05,0.30,0.12,-0.06,0.30,71%,46%,4.59,82%,47%,29%,68%,3
1,845,4044,138895,Bexhill High Academy,0,ACC,176,39.0,169,4.00,-0.52,-0.71,-0.33,-0.53,-0.73,-0.34,51%,34%,3.12,6%,2%,1%,45%,5
1,319,5401,136795,Nonsuch High School for Girls,0,ACC,179,79.6,165,0.00,1.21,1.02,1.40,1.21,1.01,1.41,100%,99%,7.73,89%,85%,82%,100%,1
1,332,4106,137812,The Earls High School,0,ACC,230,48.8,229,1.00,0.20,0.03,0.36,0.19,0.02,0.36,69%,49%,4.21,37%,24%,19%,66%,2
1,373,4253,137400,Yewlands Academy,1,ACC,131,37.7,131,5.00,-0.57,-0.79,-0.35,-0.59,-0.81,-0.37,52%,28%,2.89,11%,5%,3%,45%,5
1,830,4196,136548,Brookfield Academy Trust,0,ACC,179,52.2,178,3.00,0.05,-0.14,0.23,0.02,-0.17,0.21,79%,56%,4.86,53%,36%,25%,75%,3
1,926,4605,137913,"Notre Dame High School, Norwich",0,ACC,193,56.9,192,1.00,0.55,0.37,0.73,0.55,0.37,0.73,88%,65%,5.32,69%,52%,36%,83%,1
1,319,5407,136798,Wallington County Grammar School,0,ACC,145,74.9,131,0.00,0.81,0.59,1.03,0.81,0.59,1.03,99%,99%,7.14,85%,80%,71%,99%,1
1,331,4037,136963,Finham Park School,0,ACC,235,52.8,226,0.00,0.35,0.18,0.51,0.35,0.18,0.51,82%,54%,4.91,70%,40%,26%,77%,2
1,837,5405,136996,Bournemouth School for Girls,0,ACC,167,73.3,149,0.00,0.51,0.31,0.71,0.51,0.30,0.72,100%,95%,6.71,66%,63%,55%,99%,1
1,936,5413,137003,Fullbrook School,0,ACC,255,48.9,249,2.00,-0.04,-0.20,0.11,-0.05,-0.21,0.11,76%,50%,4.28,45%,29%,19%,64%,3
1,865,4072,137230,Kingdown School,0,ACC,242,46.8,233,0.00,0.15,-0.01,0.32,0.15,-0.01,0.32,63%,42%,4.01,19%,16%,10%,62%,3
1,936,5410,137237,Thamesmead School,0,ACC,194,54.2,188,1.00,0.18,0.00,0.36,0.18,-0.01,0.36,78%,56%,4.84,47%,36%,28%,73%,3
1,909,5402,137369,Trinity School,0,ACC,236,45.0,233,4.00,-0.52,-0.68,-0.36,-0.53,-0.70,-0.37,69%,43%,3.95,31%,25%,19%,61%,5
1,320,4076,133287,Lammas School and Sixth Form,0,CY,106,41.5,89,0.00,0.38,0.12,0.64,0.38,0.11,0.65,54%,32%,3.61,49%,18%,8%,47%,2
1,370,4805,136404,Horizon Community College,0,VC,381,43.1,368,0.00,0.02,-0.11,0.15,0.02,-0.11,0.15,57%,32%,3.65,52%,24%,10%,51%,3
1,887,5451,137376,The Thomas Aveling School,0,ACC,177,42.6,173,0.00,0.32,0.13,0.51,0.32,0.13,0.51,56%,23%,3.43,18%,11%,5%,53%,2
1,866,5409,136980,St Joseph's Catholic College,0,ACC,221,44.8,202,3.00,0.06,-0.12,0.23,0.05,-0.13,0.23,57%,38%,3.87,32%,24%,15%,52%,3
1,886,5455,136349,The Hayesbrook School,0,ACC,134,39.6,131,3.00,-0.27,-0.49,-0.06,-0.28,-0.50,-0.06,54%,29%,3.08,11%,7%,3%,46%,4
1,308,4015,136327,Kingsmead School,0,ACC,226,48.4,218,0.00,0.31,0.14,0.48,0.31,0.14,0.48,70%,44%,4.50,81%,43%,27%,66%,2
1,313,4027,136341,Lampton Academy,0,ACC,238,51.7,215,2.00,0.55,0.38,0.72,0.55,0.37,0.72,71%,50%,4.70,65%,43%,28%,69%,1
1,925,5412,136871,North Kesteven School,0,ACC,192,39.1,187,1.00,-0.66,-0.84,-0.48,-0.66,-0.84,-0.47,53%,26%,3.22,27%,19%,10%,46%,5
1,893,4437,136979,The Marches School,0,ACC,232,44.4,204,1.00,-0.19,-0.37,-0.02,-0.19,-0.37,-0.02,61%,39%,4.14,70%,39%,20%,57%,4
2,885,7011,139444,Vale of Evesham School,0,ACCS,17,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,823,4005,137886,Stratton Upper School,0,ACC,241,41.2,236,3.00,-0.25,-0.41,-0.09,-0.25,-0.42,-0.09,55%,28%,3.64,34%,20%,12%,49%,NA
1,871,5405,136521,Langley Grammar School,0,ACC,151,76.5,146,0.00,0.97,0.77,1.18,0.97,0.76,1.18,99%,99%,7.06,72%,69%,60%,99%,1
1,888,4630,137421,Accrington St Christopher's Church of England High School,0,ACC,204,51.3,203,2.00,-0.06,-0.23,0.12,-0.08,-0.25,0.10,78%,54%,4.26,16%,11%,6%,75%,3
2,805,7026,139976,Catcote Academy,0,ACCS,21,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,919,5411,137224,Mount Grace School,0,ACC,107,45.9,103,0.00,-0.09,-0.33,0.16,-0.09,-0.33,0.16,56%,36%,3.60,24%,9%,5%,52%,3
1,916,5411,138746,Newent Community School and Sixth Form Centre,0,ACC,131,45.9,126,1.00,-0.17,-0.39,0.05,-0.17,-0.39,0.06,68%,43%,3.93,28%,19%,11%,61%,3
1,886,5467,137834,"Mayfield Grammar School, Gravesend",0,ACC,133,65.7,131,1.00,0.34,0.12,0.56,0.32,0.10,0.54,98%,85%,6.22,74%,70%,56%,97%,2
1,916,5415,137382,Wyedean School and 6th Form Centre,0,ACC,144,48.3,86,1.00,0.13,-0.13,0.40,0.13,-0.14,0.40,63%,40%,3.90,13%,11%,10%,61%,3
1,928,5409,137912,Sir Christopher Hatton Academy,0,ACC,194,51.6,177,0.00,0.76,0.58,0.95,0.76,0.57,0.95,69%,51%,4.45,34%,27%,20%,66%,1
1,871,4082,137259,Baylis Court School,0,ACC,151,54.1,146,0.00,0.98,0.78,1.19,0.98,0.77,1.19,78%,60%,4.58,47%,23%,15%,75%,1
1,919,4028,137270,Sir John Lawes School,0,ACC,196,58.6,189,0.00,0.48,0.29,0.66,0.48,0.29,0.66,84%,72%,5.30,48%,45%,38%,82%,2
1,925,4514,136491,De Aston School,0,ACC,135,46.2,122,0.00,-0.03,-0.26,0.19,-0.03,-0.26,0.20,60%,37%,4.20,66%,34%,15%,54%,3
1,358,4029,136498,Sale Grammar School,0,ACC,180,71.3,174,0.00,0.44,0.25,0.62,0.44,0.24,0.63,100%,97%,6.78,82%,71%,60%,99%,2
1,335,5404,136773,Queen Mary's Grammar School,0,ACC,111,73.9,107,0.00,0.53,0.29,0.77,0.53,0.28,0.77,99%,96%,7.01,90%,82%,70%,98%,1
1,933,4291,136791,West Somerset College,0,ACC,189,43.8,185,0.00,0.21,0.03,0.39,0.21,0.02,0.39,56%,37%,3.37,6%,3%,3%,52%,NA
1,925,5401,136315,Queen Elizabeth's Grammar Alford - A Selective Academy,0,ACC,75,66.3,68,0.00,0.68,0.38,0.98,0.68,0.37,0.98,100%,93%,6.39,91%,79%,56%,100%,1
1,886,4080,136305,Highsted Grammar School,0,ACC,123,66.9,120,0.00,0.51,0.29,0.74,0.51,0.28,0.74,98%,89%,6.51,97%,84%,72%,98%,1
1,938,4029,137263,Hazelwick School,0,ACC,283,48.5,260,2.00,0.45,0.30,0.61,0.45,0.29,0.61,69%,45%,4.52,47%,36%,23%,63%,2
1,886,5448,136465,Herne Bay High School,0,ACC,262,37.9,257,3.00,-0.32,-0.47,-0.16,-0.32,-0.48,-0.16,50%,18%,3.19,48%,14%,7%,44%,4
1,873,5408,136775,Sawston Village College,0,ACC,209,57.4,200,1.00,0.60,0.43,0.78,0.60,0.42,0.78,77%,68%,5.39,59%,51%,45%,77%,1
1,935,4099,136969,Kesgrave High School,0,ACC,281,48.5,273,2.00,-0.27,-0.42,-0.12,-0.28,-0.43,-0.12,73%,41%,4.16,21%,15%,12%,70%,4
1,878,4005,136673,The King's School,0,ACC,184,50.8,178,4.00,-0.04,-0.23,0.14,-0.07,-0.26,0.12,78%,51%,4.39,25%,21%,17%,73%,3
1,886,5421,136302,The Canterbury Academy,0,ACC,180,36.2,175,4.00,-0.53,-0.72,-0.34,-0.54,-0.73,-0.35,45%,24%,2.84,23%,6%,2%,38%,5
1,870,4020,136307,Highdown School and Sixth Form Centre,0,ACC,206,46.3,191,2.00,-0.16,-0.34,0.01,-0.17,-0.35,0.01,63%,47%,4.20,33%,26%,23%,56%,3
1,937,5406,136595,Rugby High School,0,ACC,118,75.0,110,0.00,0.70,0.46,0.94,0.70,0.46,0.94,99%,95%,7.26,88%,84%,75%,99%,1
1,358,5401,138123,Ashton-on-Mersey School,0,ACC,258,48.8,255,2.00,0.04,-0.11,0.20,0.04,-0.12,0.20,73%,52%,4.26,40%,31%,22%,71%,3
1,303,5402,137681,St Catherine's Catholic School,0,ACC,207,53.6,199,1.00,0.50,0.33,0.68,0.49,0.31,0.67,80%,57%,4.79,66%,44%,28%,74%,1
1,879,5406,136496,Devonport High School for Boys,0,ACC,174,68.3,162,0.00,0.07,-0.12,0.27,0.07,-0.13,0.27,99%,93%,6.04,52%,38%,32%,99%,3
1,334,4015,136994,Alderbrook School,0,ACC,230,49.5,224,1.00,-0.04,-0.21,0.12,-0.05,-0.21,0.12,78%,55%,4.46,42%,25%,17%,66%,3
1,928,4071,138932,Kingsthorpe College,0,ACC,194,39.7,173,2.00,-0.35,-0.54,-0.17,-0.36,-0.55,-0.16,46%,25%,3.44,31%,12%,5%,40%,4
1,213,4628,138313,The Grey Coat Hospital,0,ACC,151,63.6,144,1.00,0.74,0.53,0.95,0.71,0.50,0.92,86%,72%,5.99,77%,68%,57%,85%,1
1,881,5411,136642,"King Edward VI Grammar School, Chelmsford",0,ACC,119,82.6,103,0.00,1.11,0.87,1.36,1.11,0.86,1.36,100%,100%,7.96,80%,78%,77%,100%,1
1,811,4056,136667,South Hunsley School and Sixth Form College,0,ACC,323,54.2,318,0.00,0.45,0.31,0.59,0.45,0.31,0.60,84%,66%,4.90,45%,35%,25%,76%,2
1,909,5400,136671,Kirkbie Kendal School,0,ACC,163,46.8,161,0.00,0.10,-0.09,0.30,0.10,-0.10,0.30,66%,45%,4.03,28%,19%,9%,61%,3
1,312,5403,136711,Queensmead School,0,ACC,234,51.0,224,0.00,0.47,0.30,0.63,0.47,0.30,0.64,72%,56%,4.84,69%,45%,34%,70%,2
1,933,4250,136839,Ansford Academy,0,ACC,121,45.5,115,0.00,-0.31,-0.55,-0.08,-0.31,-0.55,-0.08,60%,45%,3.96,27%,21%,16%,57%,4
1,826,4704,136844,The Hazeley Academy,0,ACC,237,49.8,221,2.00,0.13,-0.03,0.30,0.13,-0.04,0.30,78%,55%,4.56,69%,35%,26%,70%,3
1,933,4450,137080,Stanchester Academy,0,ACC,93,42.5,89,1.00,-0.27,-0.53,-0.01,-0.29,-0.56,-0.02,61%,31%,3.71,42%,20%,12%,57%,4
1,308,5404,137094,Enfield Grammar School,0,ACC,178,48.3,174,2.00,-0.14,-0.33,0.05,-0.15,-0.34,0.05,74%,50%,4.49,39%,25%,19%,67%,3
1,916,5401,137123,Marling School,0,ACC,123,69.8,110,0.00,0.49,0.26,0.73,0.49,0.25,0.73,99%,94%,6.49,67%,52%,43%,99%,2
1,925,5413,137135,Sir Robert Pattinson Academy,0,ACC,175,44.0,172,4.00,-0.41,-0.60,-0.22,-0.43,-0.62,-0.23,62%,37%,3.91,41%,22%,14%,56%,4
1,302,5401,136290,"Queen Elizabeth's School, Barnet",0,ACC,180,84.6,165,0.00,1.22,1.03,1.42,1.22,1.03,1.42,100%,100%,8.47,100%,99%,99%,100%,1
1,931,4142,137140,King Alfred's,0,ACC,282,48.3,277,3.00,-0.05,-0.20,0.10,-0.06,-0.22,0.09,65%,47%,4.22,54%,32%,21%,62%,3
1,933,4274,136295,Holyrood Academy,0,ACC,203,45.8,198,0.00,0.12,-0.06,0.29,0.12,-0.06,0.30,66%,41%,4.06,50%,24%,12%,61%,3
1,319,5403,136785,Cheam High School,0,ACC,296,52.3,281,3.00,0.25,0.10,0.40,0.25,0.09,0.40,80%,59%,4.59,35%,30%,23%,78%,2
1,312,5404,136768,Uxbridge High School,0,ACC,189,44.4,184,4.00,0.00,-0.18,0.18,-0.01,-0.20,0.18,56%,37%,3.97,46%,16%,8%,52%,3
1,371,5400,136672,The Hayfield School,0,ACC,179,49.3,177,2.00,-0.03,-0.22,0.15,-0.04,-0.23,0.15,75%,55%,4.47,48%,36%,22%,70%,3
1,919,5412,137938,Nicholas Breakspear Catholic School,0,ACC,63,45.3,56,0.00,-0.01,-0.34,0.32,-0.01,-0.35,0.33,59%,41%,4.00,40%,27%,17%,52%,3
1,873,4004,137826,Impington Village College,0,ACC,201,54.4,188,3.00,0.40,0.22,0.58,0.37,0.19,0.56,74%,54%,5.10,54%,46%,33%,70%,2
1,909,5411,136357,Queen Elizabeth School,0,ACC,201,53.2,189,0.00,0.29,0.11,0.47,0.29,0.11,0.47,76%,56%,4.66,39%,28%,20%,75%,2
1,887,5429,137389,Chatham Grammar School for Girls,0,ACC,100,63.6,97,0.00,0.60,0.35,0.86,0.60,0.35,0.86,99%,91%,5.84,65%,56%,34%,99%,1
1,319,5405,136789,Wallington High School for Girls,0,ACC,209,76.4,199,0.00,1.04,0.86,1.22,1.04,0.86,1.22,100%,98%,7.39,96%,92%,85%,100%,1
1,860,4610,138729,Painsley Catholic College,0,ACC,188,55.9,186,1.00,0.52,0.34,0.70,0.51,0.32,0.70,84%,62%,5.11,82%,47%,26%,81%,1
1,880,4114,136506,Torquay Girls Grammar School,0,ACC,128,73.3,125,0.00,0.83,0.60,1.05,0.83,0.60,1.05,100%,100%,7.19,93%,92%,85%,99%,1
1,935,4000,136990,Bury St Edmunds County Upper School,0,ACC,232,50.6,212,1.00,0.38,0.21,0.55,0.38,0.21,0.55,74%,52%,4.82,79%,51%,35%,71%,NA
1,938,4103,137416,Warden Park School,0,ACC,294,54.2,281,1.00,0.41,0.26,0.55,0.40,0.25,0.56,79%,57%,4.95,53%,39%,31%,76%,2
1,382,4013,137869,Salendine Nook High School Academy,0,ACC,258,45.9,256,10.00,-0.32,-0.48,-0.17,-0.34,-0.50,-0.18,64%,48%,4.04,40%,29%,16%,62%,4
1,894,5402,123595,Ercall Wood Technology College,0,FD,125,41.4,119,0.00,-0.31,-0.54,-0.09,-0.31,-0.54,-0.08,46%,29%,3.41,6%,5%,3%,45%,4
1,807,4639,142273,Sacred Heart Secondary Catholic Voluntary Academy,0,ACC,143,52.2,142,2.00,-0.01,-0.22,0.20,-0.01,-0.23,0.20,75%,54%,4.44,31%,29%,24%,72%,3
2,845,7032,114694,Hazel Court School,0,CYS,8,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,873,5415,136610,Soham Village College,0,ACC,256,53.8,248,0.00,0.43,0.27,0.58,0.43,0.26,0.59,74%,53%,4.68,29%,26%,21%,73%,2
1,816,4500,136617,"Archbishop Holgate's School, A Church of England Academy",0,ACC,193,52.5,183,0.00,0.60,0.41,0.78,0.60,0.41,0.78,71%,48%,4.53,37%,33%,22%,68%,1
1,891,4328,136628,The West Bridgford School,0,ACC,227,63.3,226,1.00,0.84,0.68,1.01,0.84,0.67,1.01,91%,80%,5.68,36%,33%,27%,89%,1
1,916,5412,136623,Chosen Hill School,0,ACC,225,47.0,219,2.00,0.02,-0.14,0.19,0.02,-0.15,0.19,65%,37%,3.98,24%,18%,11%,61%,3
1,935,4504,136416,Debenham High School,0,ACC,134,58.4,130,2.00,0.74,0.53,0.96,0.74,0.52,0.96,88%,76%,5.24,42%,42%,37%,87%,1
1,305,5418,136355,Darrick Wood School,0,ACC,253,49.9,249,0.00,-0.03,-0.18,0.13,-0.03,-0.19,0.14,72%,44%,4.65,81%,40%,24%,68%,3
1,937,4004,137771,Etone College,0,ACC,134,46.4,124,0.00,0.06,-0.16,0.28,0.06,-0.17,0.29,63%,37%,3.77,34%,27%,16%,58%,3
1,896,4603,139343,"The Catholic High School, Chester A Specialist Science College",0,ACC,140,42.6,118,3.00,-0.26,-0.49,-0.03,-0.27,-0.50,-0.04,61%,35%,3.58,13%,11%,6%,54%,4
1,891,4617,137409,The Becket School,0,ACC,164,58.5,161,1.00,0.20,0.00,0.39,0.20,0.00,0.39,82%,66%,5.49,87%,60%,44%,80%,3
1,916,5422,137387,Dene Magna School,0,ACC,134,48.4,126,0.00,0.22,0.00,0.44,0.22,0.00,0.45,72%,46%,4.25,45%,28%,14%,68%,3
1,310,5400,138458,Salvatorian Roman Catholic College,0,ACC,111,55.3,97,1.00,0.61,0.36,0.87,0.60,0.35,0.86,77%,50%,5.25,93%,50%,28%,74%,1
1,937,5408,136786,Studley High School,0,ACC,137,49.3,132,0.00,0.25,0.04,0.47,0.25,0.03,0.47,69%,50%,4.25,32%,25%,18%,66%,2
1,803,4148,139345,Downend School,0,ACC,156,45.9,151,3.00,-0.17,-0.37,0.03,-0.19,-0.39,0.02,66%,41%,4.29,63%,34%,26%,60%,3
