RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,303,4021,136720,Welling School,0,ACC,208,38.4,191,3.00,-0.49,-0.67,-0.31,-0.50,-0.68,-0.32,52%,25%,3.16,30%,16%,6%,41%,4
1,304,5403,138609,Queens Park Community School,0,ACC,200,49.1,184,3.00,0.17,-0.01,0.36,0.17,-0.02,0.36,70%,49%,4.33,28%,25%,21%,65%,3
1,354,5400,140055,Wardle Academy,0,ACC,215,45.5,211,2.00,-0.03,-0.20,0.14,-0.03,-0.20,0.15,61%,39%,3.89,23%,7%,4%,57%,3
1,391,4714,140081,St Mary's Catholic School,0,ACC,192,55.0,189,0.00,0.67,0.49,0.85,0.67,0.49,0.86,76%,56%,5.04,74%,49%,38%,72%,1
2,852,7036,144205,Great Oaks School,0,ACCS,28,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,908,4171,112065,Hayle Community School,0,CY,117,39.2,113,2.00,-0.51,-0.74,-0.28,-0.53,-0.76,-0.29,45%,25%,3.51,30%,21%,12%,41%,5
1,926,4056,121170,Alderman Peel High School,0,CY,86,43.0,85,0.00,0.17,-0.10,0.43,0.17,-0.11,0.44,60%,38%,3.53,17%,9%,8%,55%,3
2,891,7018,122952,Yeoman Park School,0,CYS,8,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,888,4167,119748,Carnforth High School,0,CY,102,44.7,101,1.00,0.07,-0.18,0.31,0.06,-0.19,0.31,63%,25%,3.70,31%,17%,8%,60%,3
1,856,4723,120307,Saint Paul's Catholic School,0,VA,167,47.5,155,2.00,0.07,-0.13,0.27,0.07,-0.14,0.27,64%,40%,4.05,40%,25%,18%,62%,3
1,855,4036,138819,The Priory Belvoir Academy,0,ACC,107,47.3,106,0.00,0.14,-0.10,0.38,0.14,-0.11,0.38,69%,41%,4.49,79%,42%,23%,66%,3
1,384,4029,137001,Crofton Academy,0,ACC,203,46.2,198,0.00,-0.29,-0.47,-0.12,-0.29,-0.47,-0.11,67%,36%,3.79,20%,13%,7%,60%,4
1,909,6025,141106,Chetwynde School,0,F,56,47.9,44,0.00,-0.18,-0.56,0.19,-0.18,-0.56,0.20,66%,38%,4.34,48%,29%,18%,63%,3
1,310,2049,141071,Whitefriars School,0,ACC
1,885,6009,141105,Holy Trinity School,0,F,29,50.4,27,0.00,0.22,-0.26,0.69,0.22,-0.27,0.70,76%,66%,4.14,14%,14%,14%,76%,3
2,304,7009,101583,The Village School,0,CYS,19,0.2,15,0.00,-1.33,-1.97,-0.69,-1.33,-1.99,-0.68,0%,0%,0.00,0%,0%,0%,0%,5
1,806,4136,111751,Acklam Grange School,0,CY,282,48.1,270,0.00,0.39,0.24,0.54,0.39,0.23,0.54,63%,38%,3.75,32%,20%,12%,62%,2
1,394,4063,138923,Oxclose Community Academy,0,ACC,188,41.8,184,1.00,-0.20,-0.38,-0.02,-0.20,-0.39,-0.01,51%,27%,3.45,47%,21%,10%,50%,4
1,330,4207,138937,Handsworth Wood Girls' Academy,0,ACC,123,43.9,118,1.00,0.00,-0.23,0.23,-0.02,-0.25,0.22,67%,42%,3.78,15%,10%,7%,58%,3
1,888,4135,138948,Penwortham Priory Academy,0,ACC,104,43.3,101,1.00,-0.48,-0.72,-0.23,-0.48,-0.73,-0.23,55%,38%,3.43,7%,5%,2%,54%,4
1,855,4018,139442,South Charnwood High School,0,ACC,125,51.5,123,0.00,0.69,0.47,0.91,0.69,0.46,0.92,78%,58%,4.44,25%,14%,10%,73%,1
1,810,4001,139629,Winifred Holtby Academy,0,ACC,245,44.5,244,7.00,-0.40,-0.56,-0.24,-0.44,-0.60,-0.27,61%,39%,3.58,23%,14%,7%,57%,4
2,380,7033,139978,Southfield School,0,ACCS,32,0.6,29,0.00,-1.35,-1.81,-0.89,-1.35,-1.82,-0.88,0%,0%,0.06,0%,0%,0%,0%,5
1,885,5400,141063,St Augustine's Catholic High School,0,ACC,222,55.9,216,1.00,1.22,1.05,1.39,1.21,1.04,1.38,83%,59%,4.78,36%,30%,22%,81%,NA
2,919,7004,141251,Pinewood School,0,ACCS,33,0.5,32,0.00,-1.58,-2.01,-1.14,-1.58,-2.02,-1.13,0%,0%,0.04,0%,0%,0%,0%,5
1,394,4037,139852,Farringdon Community Academy,0,ACC,153,39.4,153,1.00,-0.80,-1.00,-0.60,-0.80,-1.01,-0.60,55%,38%,3.22,8%,8%,7%,45%,5
1,330,4084,139888,Washwood Heath Academy,0,ACC,235,39.4,220,3.00,-0.32,-0.49,-0.15,-0.34,-0.51,-0.17,47%,25%,3.40,46%,15%,8%,43%,4
1,314,5403,137859,Coombe Boys' School,0,ACC,138,48.8,112,3.00,0.24,0.00,0.47,0.23,-0.01,0.46,70%,55%,4.27,35%,26%,17%,67%,3
1,931,4077,140875,Wheatley Park School,0,ACC,159,45.4,155,2.00,-0.23,-0.43,-0.03,-0.24,-0.44,-0.03,66%,48%,3.99,28%,21%,14%,58%,4
2,855,7008,137905,Forest Way School,0,ACCS,14,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,830,5405,136591,John Port School,1,ACC,314,51.7,310,6.00,-0.01,-0.15,0.13,-0.03,-0.17,0.12,76%,60%,4.30,15%,13%,11%,72%,3
2,823,7006,137896,Weatherfield Academy,0,ACCS,28,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1,891,4068,137857,Quarrydale Academy,0,ACC,170,42.7,169,2.00,-0.60,-0.79,-0.41,-0.60,-0.79,-0.40,60%,33%,3.72,41%,26%,14%,58%,5
1,936,4462,139993,Woking High School,0,ACC,240,55.0,222,3.00,0.41,0.24,0.57,0.39,0.22,0.56,82%,60%,4.89,31%,27%,24%,79%,2
