"TIME_PERIOD","TIME_IDENTIFIER","TRUST_GROUP_TYPE","TRUST_NAME","TRUST_UID","TRUST_ID","TRUST_COMPANIES_HOUSE_NUMBER","TRUST_UKPRN","TRUST_LEADREGION","INSTITUTIONS_MATPTINC","NUMINST_MATPTINC","NUMINST_FSM6CLA1A_MATPTINC","NUMINST_CONVERTER_MATPTINC","NUMINST_SPONSOR_MATPTINC","NUMINST_FREE_MATPTINC","NUMINST_3_MATPTINC","NUMINST_4PLUS_MATPTINC","TELIG_MATPTINC","PFSM6CLA1A_MATPTINC","PNOTFSM6CLA1A_MATPTINC","PEALGRP2_MATPTINC","PSEN_MATPTINC","PRWM_EXP_WGTAVG","PRWM_EXP_WGTAVG_FSM6CLA1A","PRWM_EXP_WGTAVG_NOTFSM6CLA1A","INSTITUTIONS_INMAT","NUMINST_INMAT","NUMINST_CONVERTER_INMAT","NUMINST_SPONSOR_INMAT","NUMINST_FREE_INMAT","TELIG_INMAT","PFSM6CLA1A_INMAT","PNOTFSM6CLA1A_INMAT"
202324,"AcademicYear","Multi-academy trust","ARK SCHOOLS",2157,"TR00081",5112090,10044534,"London","135242;135584;135600;137114;137323;137331;137578;138397;138518;138680;139645;139699;139713;139815;139820;139830;141020;141021;141022;141752;142110;144083;146214",23,23,2,16,5,0,23,1401,"46%","54%","41%","17%","76%","69%","83%","135242;135584;135600;137114;137323;137331;137578;138397;138518;138680;139645;139699;139713;139815;139820;139830;141020;141021;141022;141752;142110;144083;146214",23,2,16,5,1401,"46%","54%"
202324,"AcademicYear","Multi-academy trust","THE ARTHUR TERRY LEARNING PARTNERSHIP",2166,"TR00089",7730920,10034759,"West Midlands","138590;139452;139465;139520;145538;146130;146457;146513;147758;147826;148316",11,11,8,3,0,2,9,462,"SUPPMAT","SUPPMAT","24%","19%","58%","SUPPMAT","SUPPMAT","138590;139452;139465;139520;145538;146130;146457;146513;147758;147826;148316;148748;148749",13,10,3,0,554,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","ASHLEY HILL MULTI ACADEMY TRUST",2177,"TR02469",8163445,10059985,"South East","138635;141295;144249",3,3,3,0,0,0,3,61,"10%","90%","13%","25%","66%","33%","69%","138635;141295;144249",3,3,0,0,61,"10%","90%"
202324,"AcademicYear","Multi-academy trust","ASPIRATIONS ACADEMIES TRUST",2186,"TR00103",7867577,10059468,"London","138501;139298;139692;140158;140718;141089;145119;147264",8,8,2,6,0,0,8,464,"31%","69%","29%","21%","69%","63%","72%","138501;139298;139692;140158;140718;141089;145119;147264",8,2,6,0,464,"31%","69%"
202324,"AcademicYear","Multi-academy trust","ASPIRE ACADEMIES TRUST",2189,"TR02430",8187216,10060045,"East of England","136857;137238;138507;144909;144959;146123",6,6,4,2,0,0,6,280,"SUPPMAT","SUPPMAT","24%","18%","SUPPMAT","SUPPMAT","SUPPMAT","136857;137238;138507;144909;144959;146123",6,4,2,0,280,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","ASPIRE ACADEMY TRUST",2192,"TR00579",7387540,10058372,"South West","136318;136597;137076;137142;137183;137616;137758;138963;139073;139960;140318;140897;141283;141322;141528;142144;142303;142389;143099;143165;143171;143778;144062;145077;145965;146077;147079",27,26,20,6,1,1,26,810,"30%","70%","3%","24%","57%","43%","63%","136318;136597;137076;137142;137183;137616;137758;138671;138963;139073;139960;140318;140630;140632;140635;140642;140897;141283;141322;141528;142144;142303;142389;143099;143165;143171;143778;143967;144062;145077;145965;146077;147079;149434",34,26,7,1,914,"30%","70%"
202324,"AcademicYear","Multi-academy trust","ASPIRE MULTI - ACADEMY TRUST",2194,"TR00104",8840094,10060710,"East Midlands","140574;140591;143301;144184;144534;146537;148218",7,7,6,1,0,1,6,227,"32%","68%","7%","8%","67%","49%","75%","140574;140591;143301;144184;144534;146537;148218",7,6,1,0,227,"32%","68%"
202324,"AcademicYear","Multi-academy trust","ASTON COMMUNITY EDUCATION TRUST",2195,"TR00105",7577113,10058668,"Yorkshire and the Humber","138357;141102;141539;142139;143482;144344;145928;145967;147871",9,9,4,4,1,0,9,321,"38%","62%","11%","18%","62%","48%","71%","138357;141102;141539;142139;143482;144344;145928;145967;147871",9,4,4,1,321,"38%","62%"
202324,"AcademicYear","Multi-academy trust","AURORA ACADEMIES TRUST",2206,"TR00111",8107711,10059853,"South East","138390;138391;138392;138400;139677;141038",6,6,0,5,1,0,6,334,"45%","55%","13%","19%","55%","47%","61%","138390;138391;138392;138400;139677;141038",6,0,5,1,334,"45%","55%"
202324,"AcademicYear","Multi-academy trust","AVANTI SCHOOLS TRUST",2209,"TR00112",7506598,10058487,"London","136930;138688;142489;142861;145142;147651;147652;147834",8,8,2,0,6,1,7,425,"12%","88%","59%","13%","74%","51%","77%","136930;138688;142489;142861;145142;147651;147652;147834",8,2,0,6,425,"12%","88%"
202324,"AcademicYear","Multi-academy trust","AVOCET ACADEMY TRUST",2212,"TR03025",9254238,10060882,"East of England","141550;141551;141554;144211;146494",5,5,5,0,0,0,5,123,"37%","63%","2%","28%","52%","30%","65%","141550;141551;141554;144211;146494",5,5,0,0,123,"37%","63%"
