RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,341,4429,104700,Gateacre School,CY,0,0,3,2,12,-8,69,71%,0%,67%,23%,4%,65,74%,3,12,-6,3,4,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,75%,0%,SUPP,SUPP,SUPP
1,341,4690,104703,King David High School,VA,0,0,3,7,16,-2,84,89%,0%,88%,38%,1%,84,89%,7,15,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,0%,SUPP,SUPP,SUPP
1,341,4781,104705,Archbishop Blanch CofE High School,VA,0,0,3,6,15,-3,78,82%,0%,82%,29%,0%,78,82%,6,14,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,84%,0%,84%,28%,0%
1,341,4782,104706,Notre Dame Catholic College,VA,0,1,3,2,13,-9,50,66%,2%,64%,12%,0%,50,66%,2,13,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,58%,SUPP,SUPP,SUPP,0%
1,341,4787,138183,Bellerive FCJ Catholic College,ACC,0,0,3,1,12,-10,50,76%,0%,76%,30%,0%,50,76%,1,12,-10,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,61%,0%,61%,22%,0%
1,341,4790,104712,St Julie's Catholic High School,VA,0,0,3,9,18,0,71,79%,0%,79%,23%,0%,71,79%,9,18,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,77%,0%,77%,23%,0%
1,341,4792,104713,Broughton Hall Catholic High School,VA,0,0,3,0,9,-9,85,73%,1%,72%,29%,0%,84,73%,-1,7,-9,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,73%,SUPP,SUPP,SUPP,0%
1,341,4793,104714,Cardinal Heenan Catholic High School,VA,0,0,3,-2,8,-12,64,70%,3%,66%,25%,2%,63,71%,-2,7,-11,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,53%,11%,SUPP
1,341,4794,104715,St John Bosco Arts College,VA,0,0,3,-1,9,-11,65,68%,2%,65%,14%,2%,64,67%,-1,8,-10,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,72%,SUPP,SUPP,SUPP,SUPP
1,341,4796,104717,Archbishop Beck Catholic College,VA,0,0,3,3,10,-4,112,69%,3%,64%,12%,2%,95,78%,8,16,0,3,0,0%,NA,NA,NA,NA,17,18%,-25,-1,-48,4,71%,SUPP,68%,9%,SUPP
1,341,5400,138463,St Francis Xavier's College,ACC,0,1,3,2,12,-8,61,74%,0%,74%,18%,0%,61,74%,2,12,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,64%,0%,64%,0%,0%
1,341,5402,138850,St Margaret's Church of England Academy,ACC,0,0,3,0,8,-8,101,72%,2%,69%,28%,1%,85,75%,-1,7,-9,3,15,60%,7,31,-17,3,1,SUPP,SUPP,SUPP,SUPP,3,75%,SUPP,67%,33%,SUPP
1,341,5403,104721,St Hilda's Church of England High School,VA,0,0,2,10,17,2,108,83%,1%,81%,28%,1%,108,83%,10,17,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,SUPP,77%,7%,SUPP
1,341,5404,137916,The Blue Coat School,ACC,0,0,3,6,12,0,146,97%,1%,95%,79%,1%,146,97%,6,12,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,73%,0%
1,341,5900,136735,St Edward's College,ACC,0,0,3,5,12,-2,135,84%,1%,83%,45%,0%,135,84%,5,11,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,96%,0%,96%,56%,0%
1,341,6906,131065,North Liverpool Academy,AC,0,0,3,8,18,-2,63,76%,0%,76%,43%,0%,48,81%,7,18,-4,3,15,60%,11,35,-13,3,0,0%,NA,NA,NA,NA,76%,0%,76%,38%,0%
1,341,6907,135174,The Belvedere Academy,AC,0,0,3,2,8,-4,148,83%,0%,82%,45%,1%,148,83%,2,8,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,0%,SUPP,SUPP,SUPP
1,341,6908,136119,The Academy of St Nicholas,AC,0,0,3,1,10,-8,85,61%,0%,61%,11%,0%,67,67%,2,11,-7,3,13,46%,4,30,-22,3,5,SUPP,SUPP,SUPP,SUPP,3,57%,0%,57%,12%,0%
1,341,8017,130487,The City of Liverpool College,General Further Education College,0,0,3,-2,2,-6,391,51%,2%,46%,5%,3%,153,57%,-8,-1,-14,4,62,48%,5,17,-7,3,176,47%,1,8,-6,3,47%,0%,43%,4%,4%
LA,341,,,,,,,NA,4,NA,NA,2739,73%,1%,70%,26%,2%,2216,77%,3,NA,NA,NA,164,49%,4,NA,NA,NA,359,57%,7,NA,NA,NA,76%,2%,72%,29%,2%
1,342,4050,144327,Rainford High School,ACC,0,0,3,-2,6,-10,95,67%,3%,64%,12%,0%,90,69%,-3,5,-11,3,0,0%,NA,NA,NA,NA,5,SUPP,SUPP,SUPP,SUPP,3,77%,0%,77%,23%,0%
1,342,4101,104829,Cowley International College,CY,0,0,3,2,10,-6,105,68%,2%,64%,15%,2%,73,71%,-3,6,-12,3,0,0%,NA,NA,NA,NA,32,59%,16,33,-1,3,63%,SUPP,59%,0%,SUPP
1,342,4104,144326,Rainhill High School,ACC,0,0,4,-13,-5,-20,125,54%,1%,51%,12%,2%,98,60%,-11,-3,-18,4,6,83%,27,66,-12,3,21,14%,-30,-8,-51,5,56%,SUPP,44%,0%,SUPP
1,342,6905,136141,The Sutton Academy,AC,0,0,3,-9,2,-20,48,44%,0%,44%,2%,0%,28,43%,-20,-5,-34,4,20,45%,6,27,-15,3,0,0%,NA,NA,NA,NA,20%,0%,20%,SUPP,0%
1,342,8000,130488,St Helens College,General Further Education College,0,0,3,-1,4,-6,222,50%,1%,41%,3%,7%,76,53%,-8,1,-17,3,72,50%,4,15,-7,3,74,46%,0,11,-11,3,46%,0%,38%,1%,8%
1,342,8600,130489,Carmel College,Sixth Form College,0,0,2,5,8,1,694,79%,3%,74%,27%,2%,641,79%,3,6,0,3,0,0%,NA,NA,NA,NA,53,70%,20,33,6,2,78%,2%,74%,24%,3%
LA,342,,,,,,,NA,0,NA,NA,1299,68%,2%,63%,18%,3%,1010,73%,-1,NA,NA,NA,98,51%,6,NA,NA,NA,191,50%,4,NA,NA,NA,69%,2%,65%,20%,2%
