RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,813,4501,118112,Sir John Nelthorpe School,VC,0,0,3,-4,11,-19,29,76%,0%,69%,24%,7%,28,79%,-3,11,-17,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,813,8603,130588,John Leggott Sixth Form College,Sixth Form College,0,0,4,-5,-1,-8,642,64%,1%,61%,17%,2%,473,73%,-4,0,-7,3,0,0%,NA,NA,NA,NA,169,40%,-7,0,-14,3,53%,0%,50%,9%,3%
LA,813,,,,,,,NA,-9,NA,NA,1229,52%,2%,46%,12%,5%,592,71%,-5,NA,NA,NA,173,36%,-10,NA,NA,NA,464,35%,-13,NA,NA,NA,56%,2%,50%,13%,4%
1,816,4063,121673,Huntington School,CY,0,0,3,-4,2,-10,147,77%,1%,76%,39%,1%,147,77%,-4,2,-10,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,77%,SUPP,SUPP,SUPP,SUPP
1,816,4153,144711,Fulford School,ACC,0,0,3,1,7,-5,154,86%,3%,82%,58%,1%,154,86%,1,7,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,816,4500,136617,"Archbishop Holgate's School, A Church of England Academy",ACC,0,0,3,-2,5,-9,134,75%,1%,72%,45%,1%,125,77%,-2,5,-9,3,9,56%,-1,31,-33,3,0,0%,NA,NA,NA,NA,67%,0%,67%,17%,0%
1,816,4508,121711,Joseph Rowntree School,VC,0,0,3,-2,6,-10,97,76%,1%,74%,34%,1%,97,76%,-2,6,-10,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,SUPP,SUPP,SUPP,SUPP
1,816,4702,149517,All Saints Catholic School York,ACC,0,0,3,1,6,-4,217,82%,1%,82%,55%,0%,217,82%,1,6,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,0%,67%,20%,0%
1,816,8002,130594,York College,General Further Education College,0,0,4,-6,-3,-8,846,57%,2%,53%,16%,2%,399,71%,-8,-4,-11,4,84,48%,1,11,-9,3,363,45%,-5,0,-10,3,47%,2%,43%,11%,2%
1,816,8300,130595,Askham Bryan College,Agriculture and Horticulture College,0,0,4,-12,-7,-16,422,36%,1%,21%,2%,14%,18,56%,-13,5,-31,3,310,35%,-12,-6,-17,4,94,37%,-9,0,-18,3,43%,0%,21%,0%,21%
LA,816,,,,,,,NA,-5,NA,NA,2017,61%,2%,56%,25%,4%,1157,77%,-4,NA,NA,NA,403,38%,-9,NA,NA,NA,457,43%,-6,NA,NA,NA,62%,2%,57%,26%,4%
1,370,4027,106653,Penistone Grammar School,CY,0,0,3,-1,7,-9,100,81%,1%,79%,44%,1%,100,81%,-1,6,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,SUPP,SUPP,SUPP,SUPP
1,370,8001,130524,Barnsley College,General Further Education College,0,0,4,-5,-2,-7,1090,57%,2%,49%,11%,6%,502,67%,-10,-6,-13,4,237,48%,-1,5,-7,3,351,47%,-2,3,-7,3,45%,1%,39%,7%,5%
LA,370,,,,,,,NA,-5,NA,NA,1190,59%,2%,51%,14%,5%,602,70%,-9,NA,NA,NA,237,48%,-1,NA,NA,NA,351,47%,-2,NA,NA,NA,61%,2%,53%,15%,6%
1,371,4006,143916,XP East,F,0,0,3,-22,1,-45,13,54%,0%,54%,15%,0%,13,54%,-22,0,-43,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,371,4007,143938,Outwood Academy Danum,AC,0,0,3,-8,3,-19,49,67%,0%,65%,14%,2%,46,67%,-9,2,-20,3,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,57%,0%,SUPP,SUPP,SUPP
1,371,4008,144364,Sir Thomas Wharton Academy,ACC,0,0,4,-14,-1,-26,42,60%,2%,57%,10%,0%,42,60%,-14,-1,-26,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,SUPP,SUPP,SUPP,0%
1,371,4009,144714,New College Doncaster,F1619,0,0,3,2,5,-1,591,71%,2%,68%,16%,1%,437,76%,-1,2,-4,3,0,0%,NA,NA,NA,NA,154,55%,9,16,1,2,80%,0%,78%,11%,3%
1,371,4010,146370,Astrea Academy Woodfields,AC,0,0,NA,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,3,0,SUPP,NA,NA,NA,NA,0,SUPP,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,371,4033,137603,Ridgewood School,ACC,0,0,3,5,14,-4,72,78%,4%,68%,24%,6%,66,77%,2,11,-7,3,6,83%,32,71,-7,3,0,0%,NA,NA,NA,NA,75%,SUPP,56%,19%,SUPP
1,371,4036,138116,Campsmount Academy,ACC,0,0,3,-12,3,-27,28,50%,0%,46%,14%,4%,27,52%,-11,4,-26,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,0%,SUPP,SUPP,SUPP
1,371,4062,137842,Hall Cross Academy,ACC,0,0,2,7,12,1,214,86%,1%,84%,37%,1%,212,87%,7,12,1,2,2,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,82%,3%,77%,31%,3%
1,371,4606,140865,The McAuley Catholic High School,ACC,0,0,2,10,17,2,121,82%,1%,79%,26%,2%,121,82%,10,17,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,SUPP,SUPP,SUPP,0%
1,371,6905,135007,Trinity Academy,AC,0,0,3,-11,0,-21,61,61%,0%,57%,30%,3%,59,63%,-10,0,-20,3,2,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,70%,0%,SUPP,SUPP,SUPP
1,371,6907,135963,Outwood Academy Adwick,AC,0,0,5,-25,-12,-37,43,49%,0%,47%,9%,2%,41,49%,-26,-13,-38,5,2,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
LA,371,,,,,,,NA,0,NA,NA,1263,72%,2%,69%,21%,1%,1093,75%,-1,NA,NA,NA,16,56%,6,NA,NA,NA,154,55%,9,NA,NA,NA,72%,2%,69%,22%,1%
1,372,4007,145848,Wath Academy,AC,0,0,3,1,7,-5,149,77%,3%,72%,28%,2%,144,79%,2,8,-4,3,1,SUPP,SUPP,SUPP,SUPP,3,4,SUPP,SUPP,SUPP,SUPP,3,72%,6%,67%,6%,0%
1,372,4018,140646,Wickersley School and Sports College,ACC,0,0,3,4,10,-2,178,79%,2%,75%,26%,2%,159,82%,3,9,-3,3,19,58%,9,31,-13,3,0,0%,NA,NA,NA,NA,80%,0%,73%,33%,7%
1,372,4021,136718,Aston Academy,ACC,0,0,3,0,8,-8,89,74%,6%,65%,13%,3%,83,77%,1,9,-7,3,6,33%,-13,26,-52,3,0,0%,NA,NA,NA,NA,82%,0%,73%,36%,9%
1,372,4022,141730,Dinnington High School,ACC,0,1,3,-6,3,-15,72,61%,0%,57%,10%,4%,60,65%,-7,3,-17,3,12,42%,-3,24,-30,3,0,0%,NA,NA,NA,NA,73%,0%,64%,0%,9%
1,372,4024,136301,Brinsworth Academy,ACC,0,0,3,7,15,-1,87,80%,2%,76%,25%,2%,83,80%,5,13,-3,3,4,SUPP,SUPP,SUPP,SUPP,1,0,0%,NA,NA,NA,NA,83%,0%,83%,33%,0%
1,372,4025,136331,Wales High School,ACC,0,0,4,-11,-3,-18,109,65%,8%,56%,28%,1%,106,66%,-11,-3,-18,4,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,18%,0%,SUPP,SUPP,SUPP
1,372,6905,136042,Maltby Academy,AC,0,0,3,-8,1,-17,76,66%,1%,63%,17%,1%,76,66%,-8,1,-17,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,77%,SUPP,SUPP,SUPP,SUPP
1,372,8000,130527,RNN Group,General Further Education College,0,0,4,-13,-8,-17,349,36%,SP,28%,1%,8%,59,34%,-28,-17,-38,5,65,32%,-17,-5,-28,4,225,38%,-8,-1,-14,4,32%,SUPP,24%,SUPP,SUPP
1,372,8600,145230,Thomas Rotherham College,ACC1619,0,0,3,3,6,0,566,72%,2%,68%,16%,3%,399,74%,-3,0,-6,3,11,73%,24,53,-5,3,156,67%,17,24,9,2,71%,2%,66%,13%,3%
LA,372,,,,,,,NA,-2,NA,NA,1675,65%,2%,59%,16%,4%,1169,73%,-3,NA,NA,NA,121,43%,-5,NA,NA,NA,385,50%,2,NA,NA,NA,67%,3%,61%,17%,3%
1,373,4004,139695,UTC Sheffield City Centre,UTC,0,0,3,2,12,-8,63,60%,8%,48%,10%,5%,23,74%,-3,13,-19,3,40,53%,5,20,-10,3,0,0%,NA,NA,NA,NA,44%,0%,33%,11%,11%
1,373,4007,140547,Forge Valley School,AC,0,0,3,-5,4,-14,78,68%,1%,67%,28%,0%,76,70%,-4,5,-13,3,0,0%,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,3,45%,SUPP,SUPP,SUPP,0%
1,373,4009,140940,Chapeltown Academy,F1619,0,0,3,-9,0,-18,73,70%,0%,70%,30%,0%,73,70%,-9,0,-18,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,0%,80%,27%,0%
1,373,4010,142605,UTC Sheffield Olympic Legacy Park,UTC,0,0,1,24,35,12,54,89%,6%,83%,19%,0%,33,85%,11,24,-2,3,21,95%,46,67,24,1,0,0%,NA,NA,NA,NA,75%,0%,75%,0%,0%
1,373,4229,139167,Silverdale School,ACC,0,0,3,6,12,0,178,88%,2%,86%,52%,1%,178,88%,6,11,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,72%,0%,SUPP,SUPP,SUPP
1,373,4230,138841,King Ecgbert School,ACC,0,0,2,10,16,3,174,88%,3%,84%,34%,1%,146,88%,5,11,-1,3,0,0%,NA,NA,NA,NA,28,89%,38,56,19,1,85%,0%,85%,15%,0%
1,373,4234,138069,Tapton School,ACC,0,0,3,4,9,-1,255,85%,1%,82%,46%,2%,255,85%,4,8,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,88%,0%,85%,35%,3%
1,373,4257,145455,High Storrs School,ACC,0,0,3,6,11,0,228,87%,1%,83%,45%,4%,228,87%,6,11,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,0%,92%,31%,0%
1,373,4259,107140,King Edward VII School,CY,0,0,3,4,9,-1,267,84%,1%,82%,39%,SP,267,84%,4,8,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,77%,0%,SUPP,SUPP,SUPP
1,373,4279,138545,Meadowhead School Academy Trust,ACC,0,0,3,2,10,-6,93,76%,0%,75%,19%,1%,93,76%,2,10,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,55%,0%,SUPP,SUPP,SUPP
1,373,5400,138361,Notre Dame High School,ACC,0,0,2,8,13,2,207,88%,2%,85%,43%,1%,207,88%,8,13,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,0%,67%,25%,0%
1,373,5401,138337,All Saints' Catholic High School,ACC,0,0,3,6,12,0,181,86%,2%,82%,39%,2%,181,86%,6,11,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,0%,88%,35%,4%
1,373,6905,131895,Sheffield Park Academy,AC,0,0,1,25,35,14,62,92%,0%,89%,34%,3%,62,92%,25,35,14,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,0%,SUPP,SUPP,SUPP
1,373,8022,130531,The Sheffield College,General Further Education College,0,0,3,1,3,-1,788,53%,2%,40%,5%,11%,178,64%,-3,2,-8,3,58,53%,5,17,-7,3,552,50%,1,5,-3,3,56%,1%,43%,6%,12%
1,373,8023,144886,Longley Park Sixth Form Academy,ACC1619,0,0,1,18,22,13,277,79%,1%,77%,10%,2%,257,83%,20,24,15,1,4,SUPP,SUPP,SUPP,SUPP,3,16,25%,-20,4,-44,3,77%,1%,74%,6%,2%
LA,373,,,,,,,NA,6,NA,NA,2978,75%,2%,70%,27%,4%,2257,83%,6,NA,NA,NA,123,61%,13,NA,NA,NA,598,51%,2,NA,NA,NA,77%,2%,71%,30%,4%
1,380,4019,139995,Oasis Academy Lister Park,AC,0,0,1,20,29,10,76,82%,0%,76%,1%,5%,75,83%,21,30,11,1,0,0%,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,3,SUPP,0%,69%,SUPP,SUPP
1,380,4023,148520,"St Bede's and St Joseph's Catholic College, A Voluntary Academy",ACC,0,0,2,10,16,3,141,82%,1%,74%,24%,7%,134,82%,10,16,3,2,7,71%,24,60,-12,3,0,0%,NA,NA,NA,NA,76%,SUPP,68%,16%,SUPP
1,380,4028,142761,Tong Leadership Academy,AC,0,0,3,9,24,-6,28,75%,0%,75%,4%,0%,28,75%,9,23,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,82%,0%,82%,SUPP,0%
1,380,4032,143112,Beckfoot Oakbank,AC,0,0,3,1,10,-8,70,76%,1%,74%,26%,0%,70,76%,1,10,-8,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,81%,SUPP,SUPP,SUPP,0%
1,380,4041,138087,Belle Vue Girls' Academy,ACC,0,0,3,-1,11,-13,44,73%,0%,70%,9%,2%,44,73%,-1,10,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,74%,0%,SUPP,SUPP,SUPP
1,380,4047,143689,New College Bradford,F1619,0,0,1,19,22,15,471,84%,1%,76%,9%,7%,315,86%,13,17,8,2,11,64%,19,48,-10,3,145,81%,34,42,25,1,84%,1%,76%,7%,7%
1,380,4048,143704,"Dixons Sixth Form, Bradford",F1619,0,0,2,11,15,6,280,91%,1%,85%,22%,6%,280,91%,11,15,6,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,92%,0%,84%,16%,8%
1,380,4064,139975,Beckfoot School,ACC,0,0,3,5,11,-1,147,86%,3%,81%,31%,2%,147,86%,5,11,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,70%,0%,70%,10%,0%
1,380,4074,107395,Titus Salt School,CY,0,0,2,10,18,1,103,79%,5%,70%,14%,4%,97,80%,10,18,1,2,6,50%,10,49,-29,3,0,0%,NA,NA,NA,NA,90%,0%,81%,5%,10%
1,380,4112,150001,Parkside School,ACC,0,0,3,-4,8,-16,42,76%,2%,69%,29%,5%,42,76%,-4,8,-16,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,380,4502,136905,Ilkley Grammar School,ACC,0,0,3,0,5,-5,207,83%,2%,78%,46%,2%,207,83%,0,5,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,0%,83%,25%,0%
1,380,4613,136962,Feversham Girls' Secondary Academy,ACC,0,0,3,-7,3,-17,69,67%,0%,65%,6%,1%,69,67%,-7,2,-16,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,74%,0%,SUPP,SUPP,SUPP
1,380,4616,142590,Immanuel College,ACC,0,0,4,-13,-4,-21,101,60%,5%,52%,19%,3%,94,65%,-11,-2,-19,4,2,SUPP,SUPP,SUPP,SUPP,3,5,SUPP,SUPP,SUPP,SUPP,3,42%,5%,37%,5%,0%
1,380,5400,107439,Bingley Grammar School,VA,0,0,3,-3,3,-9,170,72%,2%,68%,26%,2%,163,73%,-3,3,-9,3,7,43%,-6,30,-42,3,0,0%,NA,NA,NA,NA,59%,0%,55%,18%,5%
1,380,6906,135367,Bradford Academy,AC,0,0,3,14,30,-2,24,75%,0%,71%,4%,4%,24,75%,14,30,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,87%,0%,SUPP,SUPP,SUPP
1,380,6908,135866,Dixons Allerton Academy,AC,0,0,1,20,28,11,92,90%,0%,86%,12%,4%,92,90%,20,28,11,1,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,0%,89%,14%,0%
1,380,8004,130532,Bradford College,General Further Education College,0,0,3,5,9,0,357,57%,1%,52%,3%,4%,107,72%,4,11,-3,3,90,53%,8,18,-2,3,160,49%,4,11,-3,3,60%,1%,52%,5%,7%
1,380,8011,130534,Shipley College,General Further Education College,0,0,3,-5,2,-12,136,46%,1%,41%,1%,4%,57,54%,-3,7,-13,3,1,SUPP,SUPP,SUPP,SUPP,3,78,40%,-6,4,-16,3,43%,SUPP,SUPP,SUPP,0%
LA,380,,,,,,,NA,7,NA,NA,2743,76%,1%,71%,17%,4%,2212,81%,6,NA,NA,NA,142,54%,10,NA,NA,NA,389,58%,13,NA,NA,NA,77%,2%,71%,19%,4%
1,381,4003,139433,Trinity Sixth Form Academy,F1619,0,0,3,0,6,-6,180,76%,4%,63%,17%,9%,179,77%,0,5,-5,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,50%,8%,16%
1,381,5400,136788,The North Halifax Grammar School,ACC,0,0,3,3,9,-3,156,88%,6%,81%,49%,1%,156,88%,3,9,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,381,5401,139182,The Crossley Heath School,ACC,0,0,3,-1,7,-9,103,83%,5%,73%,43%,6%,101,84%,-1,6,-8,3,0,0%,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,3,86%,0%,79%,50%,7%
1,381,5406,136604,Brighouse High School,ACC,0,0,4,-9,-1,-16,130,62%,8%,48%,10%,6%,130,62%,-9,-2,-15,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,60%,5%,45%,0%,10%
1,381,5408,141307,Ryburn Valley High School,ACC,0,0,3,-2,6,-10,106,68%,4%,61%,15%,3%,105,68%,-3,4,-10,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,47%,7%,33%,7%,7%
1,381,8000,130535,Calderdale College,General Further Education College,0,0,3,3,8,-2,202,52%,3%,38%,2%,11%,16,63%,-1,18,-20,3,61,51%,5,17,-7,3,125,51%,2,10,-6,3,49%,0%,40%,1%,9%
LA,381,,,,,,,NA,-1,NA,NA,1079,70%,4%,59%,20%,6%,889,74%,-2,NA,NA,NA,63,51%,5,NA,NA,NA,127,51%,2,NA,NA,NA,72%,5%,62%,22%,6%
1,382,4009,107756,Netherhall Learning Campus High School,CY,0,0,3,-4,9,-17,38,63%,0%,55%,16%,8%,34,62%,-8,5,-21,3,3,SUPP,SUPP,SUPP,SUPP,3,1,SUPP,SUPP,SUPP,SUPP,3,43%,0%,29%,14%,14%
1,382,4040,136674,The Mirfield Free Grammar,ACC,0,0,2,9,15,2,150,75%,1%,59%,4%,15%,146,77%,9,15,2,2,4,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,78%,0%,63%,5%,15%
1,382,4048,137424,Batley Girls High School,ACC,0,0,3,-5,3,-13,101,66%,0%,50%,9%,16%,101,66%,-5,2,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,58%,0%,32%,16%,26%
1,382,4049,137352,"Shelley College, A Share Academy",ACC,0,0,3,9,17,0,104,79%,1%,69%,17%,9%,90,79%,6,14,-2,3,14,79%,26,51,0,3,0,0%,NA,NA,NA,NA,80%,SUPP,SUPP,SUPP,0%
1,382,4800,141470,St John Fisher Catholic Voluntary Academy,ACC,0,0,3,-4,6,-14,69,62%,1%,57%,19%,4%,65,63%,-5,4,-14,3,4,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,69%,SUPP,62%,8%,SUPP
1,382,5401,136283,Heckmondwike Grammar School,ACC,0,0,3,0,5,-5,240,85%,3%,75%,40%,7%,240,85%,0,5,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,86%,0%,71%,18%,14%
1,382,8001,130537,Kirklees College,General Further Education College,0,0,4,-6,-1,-10,336,41%,1%,26%,1%,13%,18,72%,13,31,-5,3,1,SUPP,SUPP,SUPP,SUPP,3,317,39%,-7,-1,-12,4,37%,2%,30%,SUPP,6%
1,382,8600,130538,Greenhead College,Sixth Form College,0,0,2,5,7,2,1226,90%,3%,81%,45%,6%,1226,90%,5,7,2,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,87%,2%,76%,36%,10%
1,382,8601,130539,Huddersfield New College,Sixth Form College,0,0,2,5,7,2,1129,67%,2%,56%,8%,9%,678,67%,-6,-2,-9,4,35,63%,16,32,0,3,416,68%,21,25,16,2,67%,SP,55%,8%,12%
LA,382,,,,,,,NA,3,NA,NA,3393,75%,2%,64%,23%,9%,2598,80%,1,NA,NA,NA,61,62%,16,NA,NA,NA,734,56%,9,NA,NA,NA,76%,2%,66%,25%,8%
1,383,4006,108055,Lawnswood School,CY,0,0,1,19,29,8,59,85%,3%,80%,31%,2%,47,85%,14,25,2,2,12,83%,40,67,12,1,0,0%,NA,NA,NA,NA,85%,0%,SUPP,SUPP,SUPP
1,383,4032,108057,Allerton High School,CY,0,0,3,6,12,0,158,81%,6%,73%,30%,2%,143,84%,5,11,-1,3,0,0%,NA,NA,NA,NA,15,53%,7,31,-17,3,76%,SUPP,68%,12%,SUPP
1,383,4040,108058,Allerton Grange School,CY,0,0,2,14,22,5,101,83%,1%,77%,21%,5%,100,84%,15,22,7,2,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,80%,13%,SUPP
1,383,4046,146247,Temple Moor High School,ACC,0,0,3,-9,1,-19,67,66%,4%,61%,21%,0%,61,67%,-9,1,-19,3,6,50%,-2,37,-41,3,0,0%,NA,NA,NA,NA,43%,14%,29%,14%,0%
1,383,4062,108075,Ralph Thoresby School,FD,0,0,3,4,15,-7,50,70%,0%,66%,16%,4%,49,69%,3,14,-8,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,67%,0%,SUPP,SUPP,SUPP
1,383,4063,108076,Roundhay School,CY,0,0,3,4,9,-1,234,83%,SP,78%,35%,5%,233,84%,4,9,-1,3,0,0%,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,73%,36%,SUPP
1,383,4070,141940,Elliott Hudson College,F1619,0,0,3,0,3,-3,479,78%,2%,72%,24%,4%,479,78%,0,3,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,81%,0%,78%,19%,3%
1,383,4072,142604,University Technical College Leeds,UTC,0,0,3,-3,8,-14,50,62%,12%,44%,14%,6%,29,69%,-7,7,-21,3,21,52%,2,23,-19,3,0,0%,NA,NA,NA,NA,70%,20%,50%,20%,0%
1,383,4102,108079,Pudsey Grammar School,FD,0,0,5,-20,-11,-28,90,52%,1%,49%,13%,2%,89,53%,-20,-11,-28,4,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,0%
1,383,4103,138336,Rodillian Academy,ACC,0,0,4,-17,-7,-26,85,62%,6%,54%,22%,2%,85,62%,-17,-8,-25,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,54%,0%,54%,15%,0%
1,383,4105,137383,Woodkirk Academy,ACC,0,0,4,-9,-1,-16,133,67%,9%,53%,17%,5%,133,67%,-9,-2,-15,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,40%,7%,33%,0%,0%
1,383,4106,108083,Benton Park School,CY,0,0,2,11,18,3,115,87%,4%,82%,33%,1%,105,90%,11,18,3,2,3,SUPP,SUPP,SUPP,SUPP,3,7,57%,8,44,-28,3,86%,0%,SUPP,SUPP,SUPP
1,383,4107,138304,Crawshaw Academy,AC,0,0,3,-10,3,-23,39,56%,0%,54%,8%,3%,36,56%,-12,1,-25,3,3,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,75%,0%,SUPP,SUPP,SUPP
1,383,4108,108085,Guiseley School,FD,0,0,3,5,13,-3,102,82%,4%,77%,45%,1%,102,82%,5,12,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,383,4110,144588,Co-op Academy Priesthorpe,ACC,0,0,3,7,17,-3,61,74%,2%,72%,11%,0%,61,74%,7,17,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,70%,SUPP,SUPP,SUPP,0%
1,383,4112,136343,Garforth Academy,ACC,0,0,4,-8,-1,-14,157,69%,3%,64%,21%,3%,148,70%,-9,-2,-15,4,9,56%,10,42,-22,3,0,0%,NA,NA,NA,NA,71%,0%,71%,14%,0%
1,383,4113,143238,Brigshaw High School,ACC,0,0,4,-15,-6,-23,87,57%,1%,56%,21%,0%,79,59%,-16,-7,-24,4,8,38%,-1,33,-35,3,0,0%,NA,NA,NA,NA,60%,SUPP,SUPP,SUPP,0%
1,383,4114,146217,Boston Spa Academy,ACC,0,0,2,15,25,4,61,90%,0%,90%,39%,0%,61,90%,15,25,4,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,25%,0%
1,383,4115,137775,Horsforth School,ACC,0,0,3,-2,5,-9,119,81%,5%,76%,43%,0%,119,81%,-2,5,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,45%,0%,45%,36%,0%
1,383,4501,137704,Otley Prince Henry's Grammar School Specialist Language College,ACC,0,0,3,2,9,-5,137,81%,3%,77%,35%,1%,137,81%,2,8,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,0%,SUPP,SUPP,SUPP
1,383,4601,139351,"St. Mary's Menston, a Catholic Voluntary Academy",ACC,0,0,3,4,11,-3,118,84%,4%,79%,39%,1%,118,84%,4,11,-3,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,383,5400,137083,Abbey Grange Church of England Academy,ACC,0,0,2,8,14,1,156,87%,2%,83%,43%,1%,156,87%,8,14,1,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,83%,SUPP,76%,17%,SUPP
1,383,8008,130542,Leeds College of Building,General Further Education College,0,0,2,13,21,4,96,61%,30%,28%,3%,3%,0,0%,NA,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,3,94,61%,11,20,1,2,60%,27%,33%,7%,0%
1,383,8025,135771,Luminate Education Group,General Further Education College,0,0,3,-3,0,-5,1071,50%,2%,40%,6%,8%,351,54%,-11,-6,-15,4,155,48%,3,10,-4,3,565,48%,1,5,-3,3,49%,1%,40%,5%,8%
