TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_ACAD_MATPTINC,NUMINST_ACAD_CONVERTER_MATPTINC,NUMINST_ACAD_SPONSOR_MATPTINC,NUMINST_ACAD_FREE_MATPTINC,NUMINST_ACAD_UTC_MATPTINC,NUMINST_ACAD_STUDIO_MATPTINC,NUMINST_ACAD_3_MATPTINC,NUMINST_ACAD_4_MATPTINC,NUMINST_ACAD_5PLUS_MATPTINC,NUMINST_AGEN_MATPTINC,NUMINST_AGEN_CONVERTER_MATPTINC,NUMINST_AGEN_SPONSOR_MATPTINC,NUMINST_AGEN_FREE_MATPTINC,NUMINST_AGEN_UTC_MATPTINC,NUMINST_AGEN_STUDIO_MATPTINC,NUMINST_AGEN_3_MATPTINC,NUMINST_AGEN_4_MATPTINC,NUMINST_AGEN_5PLUS_MATPTINC,TALLPUP_ACAD_MATPTINC,TALLSCR_ACAD_1618,TALLENT_ACAD_1618,TALLPPE_ACAD_1618,TALLPPE_GRD_ACAD_1618,VA_ACAD_1618,LCI_ACAD_1618,UCI_ACAD_1618,PB_ACAD_1618,TALLPUP_ACAD_DIS_MATPTINC,TALLSCR_ACAD_1618_DIS,TALLENT_ACAD_1618_DIS,TALLPPE_ACAD_1618_DIS,TALLPPE_GRD_ACAD_1618_DIS,perc_DIS_ACAD,VA_ACAD_1618_DIS,LCI_ACAD_1618_DIS,UCI_ACAD_1618_DIS,TALLPUP_ACAD_NOTDIS_MATPTINC,TALLSCR_ACAD_1618_NOTDIS,TALLENT_ACAD_1618_NOTDIS,TALLPPE_ACAD_1618_NOTDIS,TALLPPE_GRD_ACAD_1618_NOTDIS,VA_ACAD_1618_NOTDIS,LCI_ACAD_1618_NOTDIS,UCI_ACAD_1618_NOTDIS,TALLPUP_AGEN_MATPTINC,TALLSCR_AGEN,TALLENT_AGEN,TALLPPE_AGEN,TALLPPE_GRD_AGEN,VA_AGEN,LCI_AGEN,UCI_AGEN,PB_AGEN,TALLPUP_AGEN_DIS_MATPTINC,TALLSCR_AGEN_DIS,TALLENT_AGEN_DIS,TALLPPE_AGEN_DIS,TALLPPE_GRD_AGEN_DIS,perc_DIS_AGEN,VA_AGEN_DIS,LCI_AGEN_DIS,UCI_AGEN_DIS,TALLPUP_AGEN_NOTDIS_MATPTINC,TALLSCR_AGEN_NOTDIS,TALLENT_AGEN_NOTDIS,TALLPPE_AGEN_NOTDIS,TALLPPE_GRD_AGEN_NOTDIS,VA_AGEN_NOTDIS,LCI_AGEN_NOTDIS,UCI_AGEN_NOTDIS,INSTITUTIONS_INMAT,NUMINST_1618_INMAT,NUMINST_1618_CONVERTER_INMAT,NUMINST_1618_SPONSOR_INMAT,NUMINST_1618_FREE_INMAT,NUMINST_1618_UTC_INMAT,NUMINST_1618_STUDIO_INMAT,NUMINST_ACAD_INMAT,NUMINST_ACAD_CONVERTER_INMAT,NUMINST_ACAD_SPONSOR_INMAT,NUMINST_ACAD_FREE_INMAT,NUMINST_ACAD_UTC_INMAT,NUMINST_ACAD_STUDIO_INMAT,NUMINST_AGEN_INMAT,NUMINST_AGEN_CONVERTER_INMAT,NUMINST_AGEN_SPONSOR_INMAT,NUMINST_AGEN_FREE_INMAT,NUMINST_AGEN_UTC_INMAT,NUMINST_AGEN_STUDIO_INMAT,TALLPUP_1618_INMAT,TALLPUP_ACAD_INMAT,TALLPUP_ACAD_DIS_INMAT,TALLPUP_ACAD_NOTDIS_INMAT,TALLPUP_AGEN_INMAT,TALLPUP_AGEN_DIS_INMAT,TALLPUP_AGEN_NOTDIS_INMAT
202324,AcademicYear,Multi-academy trust,NORTHERN SCHOOLS TRUST,4041,TR01530,5067702,10058179,North West,"131065, 139588, 139589",3,0,1,0,1,1,0,0,3,3,0,1,0,1,1,0,0,3,157,13096,395.2,33.14,C+,-0.03,-0.14,0.07,3,60,4405,140.5,31.35,C,38%,-0.07,-0.26,0.12,95,8551,247.7,34.52,C+,-0.01,-0.15,0.12,110,7932.5,227.5,34.87,Dist,0.45,0.28,0.62,2,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,"131065, 139588, 139589",3,0,1,0,1,1,3,0,1,0,1,1,3,0,1,0,1,1,273,157,60,95,110,54,55
202324,AcademicYear,Multi-academy trust,NOVA EDUCATION TRUST,5084,TR02306,7635510,10055362,East Midlands,"145158, 146374, 144489, 144687, 136878, 140984, 141010, 135761, 138411",9,4,3,2,0,0,0,0,9,7,4,3,0,0,0,0,0,7,688,62486,1866.2,33.48,C+,-0.06,-0.11,-0.01,4,72,5618,186,30.2,C,10%,-0.07,-0.24,0.1,612,56409,1667.9,33.82,C+,-0.06,-0.11,-0.01,198,9215.5,301,30.62,Dist-,-0.1,-0.22,0.02,3,25,1303.5,40.5,32.19,Dist-,13%,0.08,-0.25,0.41,170,7842,257.5,30.45,Dist-,-0.13,-0.25,0,"145158, 146374, 144489, 144687, 136878, 140984, 141010, 135761, 138411",9,4,3,2,0,0,9,4,3,2,0,0,7,4,3,0,0,0,845,688,72,612,198,25,173
202324,AcademicYear,Multi-academy trust,OASIS COMMUNITY LEARNING,4076,TR01553,5398529,10058190,London,"139659, 135968, 134311, 135958, 135721",5,0,4,1,0,0,0,0,5,4,0,4,0,0,0,0,0,4,256,19500,593.6,32.85,C+,0.02,-0.07,0.1,3,101,7053,226.2,31.18,C,39%,-0.12,-0.26,0.03,153,12327,363.4,33.92,C+,0.1,-0.01,0.22,219,12792,442,28.94,Merit+,0.07,-0.03,0.16,3,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,"139659, 135968, 134311, 135958, 135721",5,0,4,1,0,0,5,0,4,1,0,0,4,0,4,0,0,0,431,256,101,153,219,90,126
202324,AcademicYear,Multi-academy trust,ORMISTON ACADEMIES TRUST,4106,TR01577,6982127,10058272,West Midlands,"141269, 137673, 135234, 135769, 145008, 145134, 137152, 136186, 135980, 136185, 140845",11,1,10,0,0,0,0,0,11,11,1,10,0,0,0,0,0,11,690,53017,1694,31.3,C,-0.07,-0.12,-0.02,4,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,437,22230,752,29.56,Merit+,0.07,0,0.14,3,139,6258.5,223.5,28,Merit+,32%,0.06,-0.07,0.19,296,15931.5,526.5,30.26,Dist-,0.07,-0.01,0.15,"141269, 137673, 135234, 135769, 145008, 145134, 137152, 136186, 135980, 136185, 140845",11,1,10,0,0,0,11,1,10,0,0,0,11,1,10,0,0,0,995,690,169,517,437,139,297
202324,AcademicYear,Multi-academy trust,OUR LADY OF LOURDES CATHOLIC MULTI-ACADEMY TRUST,4581,TR01962,7743523,10059277,East Midlands,"137409, 138810, 140698, 138341",4,4,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,3,329,30017,923.7,32.5,C+,-0.13,-0.2,-0.06,4,38,2876,100.2,28.7,C,12%,-0.12,-0.33,0.09,280,26049,793.7,32.82,C+,-0.13,-0.2,-0.05,54,3147.5,98,32.12,Dist-,-0.03,-0.26,0.19,3,8,312.5,12,26.04,Merit,15%,-0.53,-1.18,0.13,43,2615,80,32.69,Dist-,0.04,-0.19,0.27,"137409, 138810, 140698, 138341, 139623",5,5,0,0,0,0,5,5,0,0,0,0,4,4,0,0,0,0,383,347,39,296,66,8,55
202324,AcademicYear,Multi-academy trust,OUR LADY OF THE MAGNIFICAT MULTI-ACADEMY COMPANY,4115,TR02695,9064485,10060812,West Midlands,"143634, 148362, 141063",3,3,0,0,0,0,2,0,1,3,3,0,0,0,0,2,0,1,156,9760,333.8,29.24,C,-0.35,-0.47,-0.24,4,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,118,5870.5,186.5,31.48,Dist-,-0.03,-0.16,0.1,3,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,"143634, 148362, 141063",3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,219,156,17,137,118,13,104
202324,AcademicYear,Multi-academy trust,OUTWOOD GRANGE ACADEMIES TRUST,4119,TR01585,6995649,10058273,North East,"143938, 135963, 145938, 141377, 144976, 135961, 138247, 138248",8,0,8,0,0,0,0,0,8,8,0,8,0,0,0,0,0,8,482,37356,1222.8,30.55,C,-0.5,-0.56,-0.44,4,67,4050,154.5,26.21,C-,14%,-0.56,-0.74,-0.39,411,32887,1058,31.08,C,-0.49,-0.55,-0.42,204,9538,324.5,29.39,Merit+,-0.14,-0.25,-0.04,4,44,2137,76,28.12,Merit+,22%,-0.14,-0.35,0.08,160,7401,248.5,29.78,Merit+,-0.15,-0.26,-0.03,"143938, 135963, 145938, 141377, 144976, 135961, 138247, 138248",8,0,8,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,625,482,67,411,204,44,160
202324,AcademicYear,Multi-academy trust,PARTNERSHIP LEARNING,5485,TR01615,8339345,10053276,London,"139791, 142908, 141683",3,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,168,18034,513.2,35.14,B-,0.01,-0.09,0.1,3,46,4340,136.1,31.89,C+,27%,0.02,-0.17,0.21,121,13544,374.1,36.2,B-,0,-0.11,0.11,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,"139791, 142908, 148932, 141683",4,1,0,2,1,0,4,1,0,2,1,0,3,0,0,2,1,0,270,202,55,145,27,11,16
202324,AcademicYear,Multi-academy trust,RED KITE LEARNING TRUST,15727,TR00969,7523507,10054307,Yorkshire and the Humber,"138304, 136497, 146247",3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,411,41775,1194.6,34.97,C+,0.02,-0.04,0.08,3,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,"138304, 136497, 136896, 146247",4,3,1,0,0,0,4,3,1,0,0,0,3,3,0,0,0,0,533,487,45,434,153,20,130
202324,AcademicYear,Multi-academy trust,REDHILL ACADEMY TRUST,4338,TR01767,7430317,10058403,East Midlands,"136548, 146099, 140992, 144182, 136361, 137112, 137085",7,2,5,0,0,0,0,1,6,7,2,5,0,0,0,0,1,6,555,49425,1584.6,31.19,C,-0.13,-0.18,-0.07,4,74,5364,198.9,26.97,C-,13%,-0.2,-0.35,-0.05,444,41175,1280.4,32.16,C+,-0.11,-0.16,-0.05,89,4007,113,35.46,Dist,0.5,0.29,0.72,2,19,1245,32.5,38.31,Dist+,21%,0.9,0.45,1.34,64,2602,74.5,34.93,Dist,0.37,0.12,0.62,"136548, 146099, 140992, 144182, 136361, 137112, 137085",7,2,5,0,0,0,7,2,5,0,0,0,7,2,5,0,0,0,677,555,74,479,89,19,70
