TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202324,Academic year,Multi-academy trust,Valley Invicta Academies Trust,5178,TR02362,7559256,10058619,South East,136581;136582;143954,3,2,1,0,0,0,3,0,0,3,660,106.5,12%,88%,12%,10%,51.1,96%,-0.01,-0.12,0.1,52%,4.73,33%,41%,69%,38.7,-0.71,-1.03,-0.39,29%,3.46,12%,24%,52%,52.8,0.08,-0.03,0.2,55%,4.91,36%,43%,71%,Average,136581;136582;143954,3,2,1,0,0,0,660,12%,88%
202324,Academic year,Multi-academy trust,Washwood Heath Multi Academy Trust,5226,TR02400,8531479,10060454,West Midlands,139888;141668;144306,3,1,2,0,0,0,3,0,0,3,623,101.7,50%,50%,51%,13%,42.1,89%,0.02,-0.1,0.14,38%,3.76,13%,22%,51%,39.3,-0.12,-0.28,0.05,33%,3.5,10%,19%,47%,44.8,0.17,0,0.34,43%,4.03,17%,25%,55%,Average,139888;141668;144306,3,1,2,0,0,0,623,50%,50%
202324,Academic year,Multi-academy trust,Futura Learning Partnership,5253,TR02421,7746787,10059285,South West,137523;138204;141665;142127,4,2,1,0,1,0,4,0,0,4,653,104.2,17%,83%,5%,13%,46.1,96%,-0.01,-0.12,0.1,45%,3.99,12%,17%,23%,33.3,-0.72,-0.98,-0.45,18%,2.75,3%,3%,6%,48.8,0.14,0.02,0.27,51%,4.25,14%,19%,27%,Average,137523;137884;138204;141665;142127;145677,6,4,1,0,1,0,1063,18%,82%
202324,Academic year,Multi-academy trust,East Midlands Education Trust,2987,TR02426,7530373,10055367,East Midlands,136628;137367;137628;138191;138641;141259;142710,7,7,0,0,0,0,7,1,0,6,1286,105.2,18%,82%,9%,9%,50.2,97%,0.2,0.12,0.28,57%,4.53,22%,30%,45%,37.6,-0.51,-0.7,-0.33,33%,3.3,10%,14%,30%,52.8,0.35,0.26,0.44,62%,4.79,24%,34%,49%,Above average,136628;137367;137628;138191;138641;138820;141259;142710;148299,9,9,0,0,0,0,1606,18%,82%
202324,Academic year,Multi-academy trust,Weydon Multi Academy Trust,16644,TR02463,7552535,10058582,South East,136531;137019;137314;144520,4,4,0,0,0,0,4,1,0,3,889,106.9,12%,88%,7%,14%,55.9,94%,0.41,0.31,0.51,62%,4.94,22%,27%,34%,36.8,-0.79,-1.08,-0.51,26%,3.23,10%,12%,21%,58.5,0.56,0.46,0.67,67%,5.17,24%,29%,36%,Above average,136531;137019;137314;144520,4,4,0,0,0,0,889,12%,88%
202324,Academic year,Multi-academy trust,The White Horse Federation,5315,TR02468,8075785,10048061,South West,130247;137160;138630;146344,4,3,1,0,0,0,4,0,0,4,836,103.5,25%,75%,13%,20%,43.7,95%,-0.11,-0.21,-0.01,43%,3.81,10%,13%,21%,31.8,-0.76,-0.95,-0.56,23%,2.73,3%,5%,13%,47.7,0.11,0,0.23,50%,4.17,12%,15%,24%,Below average,130247;137160;138630;146344,4,3,1,0,0,0,836,25%,75%
202324,Academic year,Multi-academy trust,Wickersley Partnership Trust,5329,TR02478,8833508,10060709,Yorkshire and the Humber,140553;140646;143545;145954;148547,5,2,3,0,0,0,5,1,0,4,982,102.6,38%,62%,10%,21%,40.1,96%,-0.31,-0.4,-0.22,34%,3.53,8%,17%,61%,30.2,-0.78,-0.92,-0.63,17%,2.6,3%,7%,50%,45.9,-0.05,-0.16,0.07,44%,4.08,10%,23%,68%,Below average,140553;140646;143545;145954;148547,5,2,3,0,0,0,982,38%,62%
202324,Academic year,Multi-academy trust,Cumbria Education Trust,15765,TR02488,7698631,10059094,North West,137252;141499;146634,3,1,2,0,0,0,3,0,0,3,517,103,28%,72%,2%,14%,41.3,98%,-0.2,-0.33,-0.08,34%,3.63,11%,19%,34%,32.5,-0.71,-0.94,-0.47,21%,2.76,5%,12%,19%,44.7,-0.01,-0.15,0.14,39%,3.97,13%,22%,40%,Below average,137252;141499;146634,3,1,2,0,0,0,517,28%,72%
202324,Academic year,Multi-academy trust,Endeavour Mat,16655,TR02497,7682332,10058938,South East,137227;137250;147059,3,2,0,1,0,0,3,0,0,3,412,109.3,12%,88%,10%,14%,61.6,97%,0.46,0.32,0.6,80%,5.73,47%,60%,76%,49,-0.24,-0.64,0.15,58%,4.44,28%,40%,60%,63.4,0.56,0.41,0.7,83%,5.91,50%,63%,78%,Above average,137227;137250;147059,3,2,0,1,0,0,412,12%,88%
202324,Academic year,Multi-academy trust,Windsor Academy Trust,5361,TR02503,7523436,10058502,West Midlands,136618;137773;144988;146443,4,3,1,0,0,0,4,0,0,4,749,104.5,21%,79%,8%,13%,46.6,97%,0.01,-0.1,0.11,47%,4.05,17%,25%,37%,35.5,-0.49,-0.71,-0.27,25%,3.05,8%,14%,29%,49.6,0.14,0.02,0.26,53%,4.32,19%,28%,39%,Average,136618;137773;144988;146443,4,3,1,0,0,0,749,21%,79%
202324,Academic year,Multi-academy trust,Woodard Academies Trust,5385,TR02518,6415729,10027236,South East,135744;135745;136824;136923;139658;142174,6,0,5,1,0,0,6,0,0,6,1086,103.8,24%,76%,15%,19%,42.2,94%,-0.31,-0.4,-0.23,37%,3.78,15%,24%,42%,31.8,-0.89,-1.06,-0.71,20%,2.76,6%,11%,28%,45.5,-0.13,-0.23,-0.04,42%,4.11,18%,28%,47%,Below average,135744;135745;136824;136923;139658;142174,6,0,5,1,0,0,1086,24%,76%
202324,Academic year,Multi-academy trust,Sapientia Education Trust,16336,TR02551,7466353,10058443,East of England,136481;137901;139572;140534;145776;146144,6,5,1,0,0,0,6,0,2,4,855,104,17%,83%,6%,13%,48.4,93%,0.21,0.11,0.3,51%,4.46,21%,32%,64%,35.7,-0.35,-0.59,-0.11,26%,3.2,6%,15%,41%,50.8,0.32,0.21,0.42,55%,4.7,24%,36%,68%,Above average,135904;136481;137901;139572;140534;145776;146144,7,5,2,0,0,0,997,21%,79%
202324,Academic year,Multi-academy trust,Enrich Learning Trust,16674,TR02552,7725111,10059209,East of England,137461;144018;144316;147505,4,3,1,0,0,0,4,0,1,3,696,105.1,15%,85%,5%,19%,48.9,96%,0.1,-0.01,0.2,50%,4.53,20%,34%,67%,38,-0.33,-0.61,-0.05,27%,3.42,2%,9%,51%,50.8,0.17,0.05,0.29,55%,4.73,23%,38%,70%,Average,137461;144018;144316;147505,4,3,1,0,0,0,696,15%,85%
202324,Academic year,Multi-academy trust,Russell Education Trust,4421,TR02562,7452885,10058425,London,136822;138239;139409;139410;141963,5,0,0,5,0,0,5,0,0,5,782,106.7,14%,86%,14%,16%,56.5,94%,0.55,0.44,0.65,67%,5.22,35%,44%,60%,43.4,-0.09,-0.37,0.19,36%,3.89,17%,26%,48%,58.6,0.64,0.53,0.75,72%,5.43,38%,47%,62%,Well above average,136822;138239;139409;139410;141963,5,0,0,5,0,0,782,14%,86%
202324,Academic year,Multi-academy trust,Mercia Learning Trust,3899,TR02564,8119703,10059864,Yorkshire and the Humber,138841;140821;145897,3,1,1,1,0,0,3,0,0,3,519,104.8,26%,74%,25%,10%,54.9,94%,0.74,0.62,0.87,60%,5,34%,40%,46%,42,0.1,-0.15,0.34,36%,3.72,20%,28%,34%,59.5,0.97,0.83,1.12,68%,5.45,38%,45%,51%,Well above average,138841;140821;145897,3,1,1,1,0,0,519,26%,74%
202324,Academic year,Multi-academy trust,West Norfolk Academies Trust,5275,TR02565,7546118,10058560,East of England,136515;140557;142396;143520,4,1,3,0,0,0,4,0,0,4,696,102.7,21%,79%,13%,13%,43.4,96%,-0.03,-0.14,0.08,37%,3.94,16%,28%,54%,34,-0.42,-0.65,-0.18,21%,3.02,8%,15%,38%,45.9,0.07,-0.05,0.19,41%,4.19,18%,31%,58%,Average,136515;140557;142396;143520,4,1,3,0,0,0,696,21%,79%
202324,Academic year,Multi-academy trust,Truro & Penwith Academy Trust,5119,TR02603,8880841,10060726,South West,140675;145211;146325,3,1,2,0,0,0,3,0,0,3,232,103.7,28%,72%,2%,19%,43.8,98%,-0.12,-0.3,0.07,40%,3.72,7%,13%,38%,35.3,-0.46,-0.81,-0.12,23%,2.9,3%,5%,23%,47.1,0.02,-0.2,0.24,46%,4.04,8%,17%,43%,Average,140675;143981;143993;145211;146325,5,3,2,0,0,0,569,22%,78%
202324,Academic year,Multi-academy trust,Trinity Multi Academy Trust,5689,TR02674,6897239,10058262,Yorkshire and the Humber,136094;144946;145579;148545,4,1,3,0,0,0,4,1,0,3,874,102.3,36%,64%,23%,17%,44.6,95%,0.17,0.08,0.27,42%,4.13,24%,35%,63%,39,-0.09,-0.25,0.07,34%,3.59,18%,27%,56%,47.8,0.33,0.2,0.45,47%,4.44,28%,41%,67%,Above average,136094;144946;145579;148545,4,1,3,0,0,0,874,36%,64%
202324,Academic year,Multi-academy trust,Our Lady Of The Magnificat Multi-Academy Company,4115,TR02695,9064485,10060812,West Midlands,141063;143634;148362,3,3,0,0,0,0,3,2,0,1,457,104,21%,79%,21%,16%,47.8,95%,0.23,0.1,0.36,54%,4.21,14%,22%,40%,33.2,-0.46,-0.75,-0.17,26%,2.88,7%,9%,18%,51.2,0.39,0.24,0.54,60%,4.52,16%,25%,46%,Above average,141063;143634;148362,3,3,0,0,0,0,457,21%,79%
202324,Academic year,Multi-academy trust,White Rose Academies Trust,5316,TR02700,7958615,10059613,Yorkshire and the Humber,135935;136826;139646,3,0,3,0,0,0,3,0,0,3,622,100.4,53%,47%,33%,14%,36.6,88%,-0.34,-0.45,-0.22,27%,3.08,6%,8%,19%,30.4,-0.59,-0.75,-0.43,17%,2.52,5%,6%,18%,43.7,-0.03,-0.21,0.14,38%,3.71,7%,11%,21%,Below average,135935;136826;139646,3,0,3,0,0,0,622,53%,47%
202324,Academic year,Multi-academy trust,The Shaw Education Trust,4499,TR02713,9067175,10060817,West Midlands,140154;142015;143435;143848;146087;146529;146635;148002;148097,9,6,3,0,0,0,9,2,0,7,1508,104.1,31%,69%,13%,13%,42.8,93%,-0.27,-0.34,-0.19,38%,3.66,8%,12%,19%,33.9,-0.68,-0.81,-0.54,20%,2.8,3%,5%,9%,47.2,-0.06,-0.15,0.03,47%,4.09,10%,16%,24%,Below average,140154;142015;143435;143848;146087;146529;146635;148002;148097,9,6,3,0,0,0,1508,31%,69%
202324,Academic year,Multi-academy trust,The Mead Educational Trust,15900,TR02730,9079258,10055113,East Midlands,137540;141916;144629;147068,4,2,1,1,0,0,4,1,0,3,964,103.8,26%,74%,50%,13%,47.5,91%,0.23,0.14,0.32,48%,4.51,29%,41%,69%,38.2,-0.49,-0.68,-0.31,30%,3.57,16%,27%,61%,50.9,0.5,0.39,0.61,55%,4.85,33%,45%,72%,Above average,137540;141916;144629;147068,4,2,1,1,0,0,964,26%,74%
202324,Academic year,Multi-academy trust,Invictus Education Trust,5519,TR02737,9284368,10060890,West Midlands,141325;141342;141343;141570;143582;145593,6,3,3,0,0,0,6,0,0,6,1039,103.7,24%,76%,9%,18%,42.6,97%,-0.24,-0.33,-0.15,39%,3.59,9%,15%,30%,30.8,-0.88,-1.06,-0.7,17%,2.52,2%,6%,18%,46.3,-0.04,-0.14,0.06,47%,3.93,10%,18%,33%,Below average,141325;141342;141343;141570;143582;145593,6,3,3,0,0,0,1039,24%,76%
202324,Academic year,Multi-academy trust,Greater Manchester Education Trust,3010,TR02745,8913502,10060739,North West,141196;141264;144494,3,1,2,0,0,0,3,0,0,3,660,102.6,57%,43%,70%,20%,48.6,89%,0.56,0.45,0.68,44%,4.5,27%,41%,58%,45,0.35,0.2,0.5,36%,4.09,21%,34%,52%,53.2,0.86,0.68,1.03,53%,5.03,36%,50%,66%,Well above average,141196;141264;143260;144494,4,2,2,0,0,0,948,51%,49%
202324,Academic year,Multi-academy trust,Activate Learning Education Trust,15710,TR02786,8707909,10060613,South East,139268;141111;142024;145155;145945;146375,6,0,2,0,0,4,6,0,0,6,701,104,23%,77%,9%,21%,40.2,92%,-0.58,-0.69,-0.47,38%,3.38,7%,11%,19%,29.6,-1.13,-1.35,-0.9,18%,2.41,2%,2%,8%,43.4,-0.41,-0.53,-0.28,43%,3.66,9%,14%,23%,Well below average,139268;141111;142024;145155;145945;146375,6,0,2,0,0,4,701,23%,77%
202324,Academic year,Multi-academy trust,Minerva Learning Trust,3921,TR02980,9200332,10060869,Yorkshire and the Humber,141495;145191;145274;145455,4,3,1,0,0,0,4,0,0,4,938,105.1,22%,78%,7%,14%,46.7,98%,-0.13,-0.23,-0.04,47%,4.26,26%,37%,56%,33,-0.76,-0.96,-0.56,22%,2.88,7%,14%,38%,50.4,0.03,-0.07,0.14,54%,4.64,31%,43%,61%,Below average,141495;145191;145274;145455,4,3,1,0,0,0,938,22%,78%
202324,Academic year,Multi-academy trust,Nicholas Postgate Catholic Academy Trust,4002,TR02982,9203984,10060872,North East,140751;142273;142281;142382,4,4,0,0,0,0,4,0,0,4,560,104.8,39%,61%,6%,14%,42.5,98%,-0.46,-0.58,-0.34,39%,3.6,10%,17%,28%,34.9,-0.89,-1.08,-0.71,23%,2.9,6%,10%,19%,47.4,-0.18,-0.33,-0.03,50%,4.05,12%,22%,34%,Below average,140751;142273;142281;142382;147213;149517,6,6,0,0,0,0,884,29%,71%
202324,Academic year,Multi-academy trust,Areté Learning Trust,5622,TR03123,9471240,10060960,Yorkshire and the Humber,141930;145090;146969,3,2,1,0,0,0,3,0,0,3,594,104.6,17%,83%,3%,15%,45.5,97%,-0.13,-0.24,-0.01,47%,4.09,18%,27%,44%,31.6,-0.75,-1.04,-0.46,19%,2.78,5%,11%,26%,48.2,-0.01,-0.13,0.12,53%,4.35,21%,31%,47%,Below average,141930;145090;146969,3,2,1,0,0,0,594,17%,83%
202324,Academic year,Multi-academy trust,United Endeavour Trust,15863,TR03224,9679560,10061008,West Midlands,142277;142278;145047,3,3,0,0,0,0,3,0,0,3,379,102.9,20%,80%,8%,11%,40.3,97%,-0.37,-0.51,-0.23,31%,3.5,10%,16%,33%,31,-0.93,-1.25,-0.61,19%,2.67,7%,9%,25%,42.5,-0.23,-0.39,-0.06,34%,3.71,11%,17%,35%,Below average,142277;142278;145047,3,3,0,0,0,0,379,20%,80%
202324,Academic year,Multi-academy trust,Bishop Chadwick Catholic Education Trust,16013,TR03359,9940352,10061060,North East,138054;139538;139878;142601;148304,5,5,0,0,0,0,5,1,2,2,979,105.8,23%,77%,8%,11%,48.6,97%,-0.11,-0.2,-0.02,50%,4.38,23%,35%,61%,39.5,-0.52,-0.71,-0.34,31%,3.5,11%,19%,43%,51.2,0.02,-0.08,0.12,55%,4.63,26%,40%,67%,Below average,138054;139538;139878;142601;148304,5,5,0,0,0,0,979,23%,77%
202324,Academic year,Multi-academy trust,Astrea Academy Trust,16104,TR03436,9791051,10061035,Yorkshire and the Humber,136992;137305;137434;143907;145864;146369;146370;146501,8,4,3,1,0,0,8,0,0,8,1584,103.7,28%,72%,13%,18%,43.7,96%,-0.16,-0.23,-0.09,42%,4.03,19%,29%,49%,32.7,-0.78,-0.91,-0.64,24%,2.95,8%,15%,34%,48,0.08,-0.01,0.16,49%,4.46,23%,34%,55%,Below average,136992;137305;137434;143907;145864;146369;146370;146501,8,4,3,1,0,0,1584,28%,72%
202324,Academic year,Multi-academy trust,King's Group Academies,16043,TR03446,9017776,10060788,South East,136876;144505;145892,3,2,0,1,0,0,3,1,0,2,453,103.1,27%,73%,18%,29%,43.9,89%,-0.03,-0.17,0.1,40%,4.09,21%,31%,71%,35.4,-0.29,-0.55,-0.04,28%,3.21,11%,19%,58%,46.8,0.06,-0.1,0.22,45%,4.39,24%,35%,75%,Average,136876;144505;145892;149365,4,3,0,1,0,0,613,25%,75%
202324,Academic year,Multi-academy trust,Learning Without Limits Academy Trust,16379,TR03451,10269535,10064327,East Midlands,137931;143247;143857,3,2,1,0,0,0,3,1,0,2,630,102.4,40%,60%,35%,16%,35,84%,-0.8,-0.92,-0.68,25%,2.9,2%,4%,12%,28.9,-1.16,-1.35,-0.98,19%,2.36,0%,1%,7%,39.3,-0.52,-0.68,-0.37,30%,3.27,3%,6%,16%,Well below average,137931;143247;143857,3,2,1,0,0,0,630,40%,60%
202324,Academic year,Multi-academy trust,Xavier Catholic Education Trust,16307,TR03468,10236797,10057399,South East,143367;143369;147430,3,3,0,0,0,0,3,0,1,2,721,107.4,7%,93%,17%,16%,62.2,95%,0.92,0.82,1.03,77%,5.6,36%,44%,52%,48.4,0.31,-0.08,0.7,44%,4.16,16%,23%,30%,63.2,0.97,0.86,1.08,79%,5.71,38%,45%,54%,Well above average,143367;143369;147430,3,3,0,0,0,0,721,7%,93%
202324,Academic year,Multi-academy trust,Mulberry Schools Trust,16669,TR03507,10035860,10064234,London,137789;143629;144756,3,2,0,0,0,1,3,0,0,3,466,105.7,52%,48%,68%,13%,52.1,94%,0.28,0.15,0.41,55%,4.81,28%,42%,86%,48.8,0.16,-0.03,0.34,49%,4.49,23%,38%,84%,55.7,0.42,0.22,0.61,61%,5.15,33%,47%,87%,Above average,137745;137789;143629;144700;144756,5,4,0,0,0,1,878,48%,52%
202324,Academic year,Multi-academy trust,Vision Academy Learning Trust,16169,TR03523,10249712,10061188,North East,143063;147724;148335,3,1,2,0,0,0,3,1,1,1,577,106.1,18%,82%,2%,17%,50,99%,-0.05,-0.17,0.07,51%,4.41,22%,30%,44%,37.5,-0.68,-0.95,-0.41,23%,3.13,6%,13%,22%,52.6,0.08,-0.05,0.21,57%,4.68,26%,34%,48%,Average,143063;147724;148335,3,1,2,0,0,0,577,18%,82%
202324,Academic year,Multi-academy trust,Community Schools Trust,16390,TR03549,10337377,10064174,London,143274;145113;147653,3,1,1,1,0,0,3,0,1,2,654,104.3,48%,52%,61%,6%,54.5,83%,0.9,0.78,1.02,65%,4.99,29%,43%,79%,52.3,0.65,0.48,0.82,61%,4.77,24%,38%,76%,56.5,1.14,0.97,1.31,70%,5.19,33%,47%,82%,Well above average,131062;141086;143274;145113;147653;149901,6,2,2,1,0,1,1214,46%,54%
202324,Academic year,Multi-academy trust,Reach South Academy Trust,16503,TR03589,10151730,10064245,South West,146386;146560;147905,3,0,0,2,0,1,3,0,1,2,208,100.3,38%,63%,15%,22%,31.5,93%,-0.78,-0.98,-0.58,17%,2.57,2%,3%,11%,27.4,-0.99,-1.32,-0.67,9%,2.22,0%,0%,6%,34,-0.65,-0.9,-0.4,23%,2.78,4%,5%,14%,Well below average,146386;146560;147650;147905,4,0,0,3,0,1,262,37%,63%
202324,Academic year,Multi-academy trust,South East Surrey Schools Education Trust,16540,TR03597,10479401,10064268,South East,143901;143902;143903,3,3,0,0,0,0,3,0,0,3,607,105.7,15%,85%,8%,23%,50.4,95%,0.11,0,0.23,54%,4.69,32%,43%,63%,30.4,-1.14,-1.44,-0.84,18%,2.67,7%,11%,25%,53.9,0.33,0.21,0.46,61%,5.03,36%,48%,69%,Average,143901;143902;143903,3,3,0,0,0,0,607,15%,85%
202324,Academic year,Multi-academy trust,Stowe Valley Multi Academy Trust,16616,TR03608,10445759,10064277,West Midlands,143905;145575;147432,3,2,1,0,0,0,3,0,0,3,630,104.4,20%,80%,6%,20%,46.3,96%,0,-0.11,0.12,45%,4.1,15%,25%,44%,30,-1,-1.25,-0.74,15%,2.51,2%,4%,23%,50.3,0.26,0.13,0.38,52%,4.49,19%,30%,49%,Average,143905;145575;147432,3,2,1,0,0,0,630,20%,80%
202324,Academic year,Multi-academy trust,The Bishop Fraser Trust,16888,TR03689,11005401,10067113,North West,144044;144046;145314,3,3,0,0,0,0,3,0,0,3,649,105.5,23%,77%,11%,15%,48.2,94%,-0.02,-0.13,0.09,51%,4.05,12%,16%,23%,38.2,-0.39,-0.63,-0.16,33%,3.16,7%,9%,16%,51.2,0.1,-0.03,0.23,57%,4.32,13%,19%,25%,Average,144044;144046;145314;148866,4,4,0,0,0,0,810,21%,79%
202324,Academic year,Multi-academy trust,Emmanuel Schools Foundation,16552,TR03704,4464331,10064192,North East,134223;135007;135619;138567;147178,5,1,3,1,0,0,5,0,0,5,946,104.2,33%,67%,6%,19%,41.1,97%,-0.52,-0.62,-0.43,39%,3.63,14%,21%,40%,32.2,-1.02,-1.18,-0.86,24%,2.79,8%,11%,29%,45.5,-0.27,-0.39,-0.16,46%,4.05,18%,26%,46%,Well below average,134223;135007;135619;138567;147178,5,1,3,1,0,0,946,33%,67%
202324,Academic year,Multi-academy trust,Dudley Academies Trust,16764,TR03705,10897797,10066093,West Midlands,137390;137705;144657;144952,4,3,1,0,0,0,4,0,0,4,663,100.3,45%,55%,24%,14%,39.6,91%,0.01,-0.1,0.13,35%,3.33,5%,8%,15%,34.3,-0.3,-0.47,-0.13,25%,2.89,5%,7%,14%,44,0.28,0.12,0.43,43%,3.69,5%,8%,15%,Average,137390;137705;144657;144952,4,3,1,0,0,0,663,45%,55%
202324,Academic year,Multi-academy trust,The Challenge Academy Trust,16682,TR03727,10689247,10064284,North West,139196;141598;144799;145157;146765,5,2,3,0,0,0,5,0,0,5,922,104.3,29%,71%,12%,17%,46.1,93%,-0.06,-0.16,0.03,43%,4.09,16%,25%,50%,36.5,-0.47,-0.64,-0.29,23%,3.17,7%,14%,44%,50,0.11,-0.01,0.22,52%,4.46,19%,29%,52%,Average,139196;141598;144799;145157;146765,5,2,3,0,0,0,922,29%,71%
202324,Academic year,Multi-academy trust,Learning Community Trust,16959,TR03737,10846393,10067120,West Midlands,142821;144853;145707,3,2,1,0,0,0,3,0,0,3,655,103,26%,74%,21%,22%,40.7,94%,-0.25,-0.37,-0.14,29%,3.58,13%,22%,44%,33.9,-0.73,-0.94,-0.51,17%,2.89,7%,11%,30%,43.1,-0.08,-0.21,0.05,33%,3.83,15%,27%,50%,Below average,142821;144853;145707,3,2,1,0,0,0,655,26%,74%
202324,Academic year,Multi-academy trust,Dartmoor Multi Academy Trust,16913,TR03738,11075564,10067101,South West,145336;145337;145343,3,3,0,0,0,0,3,0,0,3,569,103.5,20%,80%,3%,20%,42.4,97%,-0.24,-0.35,-0.12,37%,3.71,10%,19%,38%,32.3,-0.54,-0.8,-0.27,16%,2.79,4%,10%,29%,44.8,-0.16,-0.29,-0.03,43%,3.93,11%,21%,41%,Below average,145336;145337;145343,3,3,0,0,0,0,569,20%,80%
202324,Academic year,Multi-academy trust,Prospere Learning Trust,16846,TR03794,10872612,10066112,North West,135874;139148;144755;145873,4,1,1,2,0,0,4,0,2,2,878,104.4,51%,49%,28%,23%,46.1,92%,-0.04,-0.14,0.06,45%,4.2,20%,33%,59%,39.2,-0.43,-0.57,-0.3,32%,3.44,11%,20%,48%,52.9,0.35,0.21,0.49,59%,4.94,29%,45%,70%,Average,135874;139148;144755;145873,4,1,1,2,0,0,878,51%,49%
202324,Academic year,Multi-academy trust,King Edward Vi Academy Trust Birmingham,16826,TR03804,10654935,10065300,West Midlands,136152;137043;137044;137045;137046;137047;138937;143562;147440;148684,10,8,2,0,0,0,10,1,0,9,1480,110,32%,68%,27%,9%,65.2,93%,0.48,0.41,0.56,77%,6.06,48%,54%,61%,52.7,0.08,-0.05,0.21,55%,4.72,27%,33%,46%,70.9,0.68,0.58,0.77,87%,6.67,57%,63%,68%,Above average,136152;136592;137043;137044;137045;137046;137047;138937;143562;147440;148684,11,9,2,0,0,0,1628,32%,68%
202324,Academic year,Multi-academy trust,Eden Learning Trust,17010,TR03809,10980753,10067657,North East,138717;145253;147711;147894,4,3,1,0,0,0,4,0,2,2,673,104,34%,66%,3%,18%,45.4,98%,-0.03,-0.14,0.08,39%,3.82,14%,23%,36%,39.3,-0.27,-0.45,-0.08,27%,3.17,8%,15%,25%,48.5,0.09,-0.04,0.22,45%,4.15,18%,27%,42%,Average,138717;145253;147711;147894,4,3,1,0,0,0,673,34%,66%
202324,Academic year,Multi-academy trust,Emmaus Catholic Academy Trust,17428,TR03926,12206105,10086423,North West,147942;148026;148389,3,0,3,0,0,0,3,2,1,0,534,102.5,41%,59%,20%,18%,40,89%,-0.36,-0.49,-0.24,29%,3.36,6%,10%,16%,34.3,-0.69,-0.89,-0.49,22%,2.87,5%,7%,14%,43.9,-0.15,-0.31,0.02,34%,3.69,7%,12%,17%,Below average,147942;148026;148389,3,0,3,0,0,0,534,41%,59%
