TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202324,Academic year,Multi-academy trust,Our Lady Of Lourdes Catholic Multi-Academy Trust,4581,TR01962,7743523,10059277,East Midlands,137409;138341;138810;140698,4,4,0,0,0,0,4,0,0,4,712,106.1,17%,83%,33%,8%,52.6,95%,0.25,0.14,0.35,55%,4.78,30%,39%,56%,40.6,-0.44,-0.7,-0.17,33%,3.54,11%,17%,35%,55,0.39,0.27,0.5,59%,5.03,34%,44%,61%,Above average,137409;138018;138341;138810;139623;140698,6,6,0,0,0,0,936,20%,80%
202324,Academic year,Multi-academy trust,Tyne Coast Academy Trust,4586,TR01966,8313162,10060208,North East,145528;145900;147532,3,2,0,0,0,1,3,0,0,3,531,104.9,45%,55%,11%,7%,39.6,94%,-0.78,-0.91,-0.66,36%,3.44,11%,17%,36%,31.3,-1.31,-1.5,-1.13,19%,2.65,5%,10%,22%,46.3,-0.36,-0.52,-0.19,49%,4.08,15%,23%,47%,Well below average,145528;145900;147532,3,2,0,0,0,1,531,45%,55%
202324,Academic year,Multi-academy trust,Diocese Of Southwell And Nottingham Multi-Academy Trust,2925,TR01983,8738949,10060643,East Midlands,135583;140549;148433,3,1,2,0,0,0,3,1,0,2,338,102.1,36%,64%,13%,17%,36.4,94%,-0.58,-0.74,-0.43,25%,3.08,5%,9%,20%,27.7,-0.9,-1.16,-0.65,14%,2.26,0%,1%,7%,41.1,-0.41,-0.6,-0.21,31%,3.53,8%,14%,28%,Well below average,135583;140549;148433,3,1,2,0,0,0,338,36%,64%
202324,Academic year,Multi-academy trust,The Spencer Academies Trust,4609,TR01987,7353824,10058352,East Midlands,136291;137606;138482;138628;145327;145500;146562;146564,8,6,2,0,0,0,8,0,0,8,1991,104.8,21%,79%,13%,13%,49,96%,0.12,0.06,0.19,52%,4.42,21%,28%,38%,35.7,-0.51,-0.64,-0.37,26%,3.13,7%,11%,21%,52.6,0.29,0.22,0.37,59%,4.77,25%,32%,42%,Above average,136291;137606;138482;138628;145327;145500;146562;146564,8,6,2,0,0,0,1991,21%,79%
202324,Academic year,Multi-academy trust,Tove Learning Trust,16243,TR01990,7525820,10058513,East Midlands,129342;135335;135956;136488;143421;145736;146209;148835,8,2,6,0,0,0,8,1,0,7,1651,103.9,30%,70%,15%,13%,44.1,92%,-0.11,-0.18,-0.04,42%,3.79,10%,13%,21%,37,-0.45,-0.58,-0.32,27%,3.08,4%,6%,14%,47.2,0.04,-0.04,0.13,48%,4.08,12%,16%,24%,Below average,129342;135335;135956;136488;143421;145736;146209;148835;149433,9,3,6,0,0,0,1822,29%,71%
202324,Academic year,Multi-academy trust,Danes Educational Trust,16254,TR02032,7671949,10058906,East of England,136901;139416;144402;147246;147535,5,3,0,1,0,1,5,1,0,4,859,105.5,17%,83%,15%,18%,51.5,93%,0.21,0.11,0.31,55%,4.69,29%,39%,56%,38.1,-0.24,-0.48,-0.01,28%,3.27,8%,14%,30%,54.1,0.31,0.2,0.41,61%,4.97,33%,44%,61%,Above average,136901;139416;144402;147246;147535,5,3,0,1,0,1,859,17%,83%
202324,Academic year,Multi-academy trust,Magna Learning Partnership,16649,TR02045,7865850,10059466,South West,136183;144388;144389,3,2,1,0,0,0,3,0,0,3,530,103.4,20%,80%,8%,20%,41.5,94%,-0.29,-0.41,-0.16,36%,3.58,8%,13%,20%,31.1,-0.9,-1.18,-0.62,15%,2.67,5%,6%,12%,44.2,-0.14,-0.27,0,41%,3.81,8%,14%,22%,Below average,136183;144388;144389,3,2,1,0,0,0,530,20%,80%
202324,Academic year,Multi-academy trust,Swale Academies Trust,4885,TR02230,7344732,10058331,South East,136106;136286;137687;139075;144354;144661;148179,7,3,4,0,0,0,7,0,1,6,1394,101.9,31%,69%,6%,18%,36.6,96%,-0.48,-0.56,-0.41,27%,3.12,5%,9%,27%,27.5,-0.99,-1.12,-0.85,12%,2.27,1%,2%,15%,40.7,-0.25,-0.34,-0.16,34%,3.5,7%,12%,32%,Below average,136106;136286;137687;139075;144354;144661;147897;148179;148712,9,4,5,0,0,0,1687,32%,68%
202324,Academic year,Multi-academy trust,Tapton School Academy Trust,4899,TR02239,7697171,10059064,Yorkshire and the Humber,138069;138414;140547;147788,4,2,2,0,0,0,4,0,1,3,902,105.4,25%,75%,12%,19%,47.1,95%,-0.17,-0.27,-0.08,51%,4.23,22%,29%,41%,30.1,-0.97,-1.16,-0.77,21%,2.64,6%,12%,27%,52.8,0.08,-0.02,0.19,61%,4.77,27%,35%,46%,Below average,138069;138414;140547;147788,4,2,2,0,0,0,902,25%,75%
202324,Academic year,Multi-academy trust,Star Academies,4903,TR02243,7353849,10048788,North West,138220;140957;140958;140959;141565;141969;141970;141971;142469;142681;142761;144464;144646;144744;144745;145878;147018;147201;147204;147757,20,1,7,12,0,0,20,1,0,19,2615,103.5,39%,61%,61%,15%,50.8,92%,0.58,0.52,0.63,60%,4.73,27%,38%,84%,44.9,0.32,0.23,0.41,49%,4.14,19%,30%,77%,54.6,0.74,0.67,0.82,67%,5.1,33%,44%,89%,Well above average,138220;140957;140958;140959;141565;141969;141970;141971;142469;142681;142761;144464;144646;144744;144745;145878;147018;147201;147204;147757;148847;150261,22,2,8,12,0,0,3052,37%,63%
